step,active_fraction,mean_mismatch,mean_residue,admissible_cells,activation_events,activation_fraction_of_admissible,inadmissible_update_count,inadmissible_update_fraction,inadmissible_activation_count,inadmissible_activation_fraction,traceability_failure_count,traceability_failure_fraction,trace_depth_mean
0,0.342529296875,0.0194659587572326,0.11612646484375,1403,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1,0.034912109375,0.019473606927536555,0.1167108056640625,143,0,0.0,0,0.0,0,0.0,0,0.0,0.0
2,0.03125,0.019469807326318454,0.11710619760742187,128,0,0.0,0,0.0,0,0.0,0,0.0,0.0
3,0.032470703125,0.019433327825525405,0.11755867078759764,133,0,0.0,0,0.0,0,0.0,0,0.0,0.0
4,0.03369140625,0.019373238177756578,0.11806765439222167,138,0,0.0,0,0.0,0,0.0,0,0.0,0.0
5,0.0341796875,0.019370955576133282,0.11859596222329946,140,0,0.0,0,0.0,0,0.0,0,0.0,0.0
6,0.03369140625,0.01931866185690525,0.11909457291356644,138,0,0.0,0,0.0,0,0.0,0,0.0,0.0
7,0.032958984375,0.019230677489585193,0.11955157640318079,135,0,0.0,0,0.0,0,0.0,0,0.0,0.0
8,0.0283203125,0.01913729824542658,0.11977207626414901,116,0,0.0,0,0.0,0,0.0,0,0.0,0.0
9,0.026123046875,0.019056413311569223,0.11988050784525751,107,0,0.0,0,0.0,0,0.0,0,0.0,0.0
10,0.0244140625,0.018923454005136616,0.11990240589180495,100,0,0.0,0,0.0,0,0.0,0,0.0,0.0
11,0.015869140625,0.018844136514630634,0.11949683886413687,65,0,0.0,0,0.0,0,0.0,0,0.0,0.0
12,0.005615234375,0.01882412179444875,0.11858263219424552,23,0,0.0,0,0.0,0,0.0,0,0.0,0.0
13,0.00732421875,0.01878995799735419,0.11776301680980304,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0
14,0.0087890625,0.018762658866857247,0.11702483976670502,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
15,0.00927734375,0.018729625317024323,0.11631845855653795,38,0,0.0,0,0.0,0,0.0,0,0.0,0.0
16,0.008544921875,0.018685507802046405,0.11558252006472261,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
17,0.008544921875,0.018679197340590786,0.11485394095782533,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
18,0.005126953125,0.018692107123099128,0.11396174920449709,21,0,0.0,0,0.0,0,0.0,0,0.0,0.0
19,0.006591796875,0.01869799718026752,0.11315172155620212,27,0,0.0,0,0.0,0,0.0,0,0.0,0.0
20,0.0068359375,0.01871859382619987,0.11236200121564009,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
21,0.005126953125,0.01872866126549649,0.11149472885973372,21,0,0.0,0,0.0,0,0.0,0,0.0,0.0
22,0.00830078125,0.01871428271339097,0.11079482063363638,34,0,0.0,0,0.0,0,0.0,0,0.0,0.0
23,0.00830078125,0.01870235928024717,0.1101019114898,34,0,0.0,0,0.0,0,0.0,0,0.0,0.0
24,0.008056640625,0.01867524179131691,0.10940372440615201,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
25,0.00830078125,0.01868277526388486,0.10872472622459049,34,0,0.0,0,0.0,0,0.0,0,0.0,0.0
26,0.008056640625,0.018677574121057944,0.1080403109935946,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
