config.K,config.box.epsilon_max,config.box.residue_max,config.box.rho_max,config.box.rho_min,config.diffusion_rate,config.dt,config.edge_prob,config.forbidden_node,config.grid.dt,config.grid.length,config.grid.nx,config.grid.save_every,config.grid.t_final,config.grid_size,config.initial_condition.epsilon_amplitude,config.initial_condition.epsilon_base,config.initial_condition.epsilon_kind,config.initial_condition.epsilon_offset,config.initial_condition.epsilon_sigma,config.initial_condition.noise_std,config.initial_condition.residue_amplitude,config.initial_condition.residue_base,config.initial_condition.residue_kind,config.initial_condition.residue_offset,config.initial_condition.residue_sigma,config.initial_condition.rho_amplitude,config.initial_condition.rho_base,config.initial_condition.rho_kind,config.initial_condition.rho_offset,config.initial_condition.rho_sigma,config.initial_condition.seed,config.initial_residue,config.initial_x,config.kappa,config.model.D_R,config.model.D_epsilon,config.model.D_rho,config.model.a,config.model.alpha,config.model.b,config.model.beta,config.model.c,config.model.clamp_nonnegative,config.model.epsilon_activity_threshold,config.model.gamma,config.model.h,config.model.kappa,config.model.lambda_R,config.model.s,config.model.u,config.model.v,config.n_agents,config.n_oscillators,config.n_particles,config.n_states,config.omega_dist,config.omega_mean,config.omega_std,config.output_dir,config.residue_decay,config.residue_growth,config.residue_required,config.residue_threshold_node,config.seed,config.sigma,config.source_radius,config.source_strength,config.steps,config.x_thresh,final.active_count,final.active_fraction,final.box_epsilon_margin,final.box_residue_margin,final.box_rho_lower_margin,final.box_rho_upper_margin,final.crossing_fraction,final.epsilon_active_fraction,final.epsilon_max,final.epsilon_mean,final.live_easy_regime_margin,final.live_support_floor_margin,final.local_coherence_mean,final.max_mismatch,final.mean_mismatch,final.mean_residue,final.mean_x,final.onset_count,final.order_parameter,final.residue_max,final.residue_mean,final.rho_max,final.rho_mean,final.rho_min,final.saved_steps,final.std_x,final.step,final.time,final.within_box,final.worst_box_face,final.worst_box_margin,first_box_violation,run_dir,run_name,status,summary_path,total_halted
,0.45,0.38,0.75,0.0,,,,,0.0001,1.0,256,100,2.0,,0.32,0.0,gaussian_bump,0.0,0.08,0.01,0.0,0.0,zero,0.0,0.1,0.03,0.25,uniform,0.0,0.14,1001,,,,0.0002,0.0006,0.0004,0.6,0.7,1.2,0.8,2.0,True,0.05,1.2,0.08,0.6,0.8,0.01,0.15,0.08,,,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_baseline_seed1001,,,,,,,,,,,,,0.26025720114917184,0.24678840504928393,0.450393722297063,0.2023550608881569,,0.40625,0.18974279885082815,0.07042047847765562,0.06934307240394272,0.06934307240394272,,,,,,,,0.13321159495071608,0.041534804519313004,0.5476449391118431,0.5226210796398068,0.450393722297063,201,,,,True,rho_upper,0.2023550608881569,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_baseline_seed1001,box_baseline_seed1001,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_baseline_seed1001\summary.json,
,0.45,0.38,0.75,0.0,,,,,0.0001,1.0,256,100,2.0,,0.32,0.0,gaussian_bump,0.0,0.08,0.01,0.0,0.0,zero,0.0,0.1,0.03,0.25,uniform,0.0,0.14,1002,,,,0.0002,0.0006,0.0004,0.6,0.7,1.2,0.8,2.0,True,0.05,1.2,0.08,0.6,0.8,0.01,0.15,0.08,,,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_baseline_seed1002,,,,,,,,,,,,,0.2607427032674896,0.24718563606302105,0.45071626167787876,0.20171358907588532,,0.40625,0.18925729673251038,0.06960147746667064,0.06937485088504168,0.06937485088504168,,,,,,,,0.13281436393697896,0.04098444849745126,0.5482864109241147,0.5230684603995186,0.45071626167787876,201,,,,True,rho_upper,0.20171358907588532,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_baseline_seed1002,box_baseline_seed1002,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_baseline_seed1002\summary.json,
,0.45,0.38,0.75,0.0,,,,,0.0001,1.0,256,100,2.0,,0.32,0.0,gaussian_bump,0.0,0.08,0.01,0.0,0.0,zero,0.0,0.1,0.03,0.25,uniform,0.0,0.14,1003,,,,0.0002,0.0006,0.0004,0.6,0.7,1.2,0.8,2.0,True,0.05,1.2,0.08,0.6,0.8,0.01,0.15,0.08,,,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_baseline_seed1003,,,,,,,,,,,,,0.25998299684921183,0.24625751677639368,0.4500892225501869,0.20177361970297103,,0.40234375,0.19001700315078818,0.06968492635246731,0.0693006013421115,0.0693006013421115,,,,,,,,0.13374248322360632,0.04104066207810633,0.548226380297029,0.5230227127483661,0.4500892225501869,201,,,,True,rho_upper,0.20177361970297103,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_baseline_seed1003,box_baseline_seed1003,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_baseline_seed1003\summary.json,
,0.45,0.38,0.75,0.0,,,,,0.0001,1.0,256,100,2.0,,0.32,0.0,gaussian_bump,0.0,0.08,0.01,0.0,0.0,zero,0.0,0.1,0.03,0.25,uniform,0.0,0.14,1001,,,,0.0002,0.0006,0.0004,0.6,0.7,1.2,0.8,2.0,True,0.05,1.2,0.08,1e-06,0.8,0.01,0.15,0.08,,,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_no_residue_seed1001,,,,,,,,,,,,,0.2790652959004518,0.37999978876820256,0.46516310982134357,0.20155206057263741,,0.39453125,0.1709347040995482,0.06449376596274817,0.0799999831014562,0.0799999831014562,,,,,,,,2.1123179744204823e-07,6.604866428009668e-08,0.5484479394273626,0.526885765550583,0.46516310982134357,201,,,,True,rho_upper,0.20155206057263741,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_no_residue_seed1001,box_no_residue_seed1001,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_no_residue_seed1001\summary.json,
,0.45,0.38,0.75,0.0,,,,,0.0001,1.0,256,100,2.0,,0.32,0.0,gaussian_bump,0.0,0.08,0.01,0.0,0.0,zero,0.0,0.1,0.03,0.25,uniform,0.0,0.14,1002,,,,0.0002,0.0006,0.0004,0.6,0.7,1.2,0.8,2.0,True,0.05,1.2,0.08,1e-06,0.8,0.01,0.15,0.08,,,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_no_residue_seed1002,,,,,,,,,,,,,0.2794999135915138,0.3799997893991981,0.4654373997946002,0.2009991777200396,,0.390625,0.17050008640848616,0.06375892545587446,0.07999998315193585,0.07999998315193585,,,,,,,,2.1060080192347972e-07,6.517811696388595e-08,0.5490008222799604,0.5272715804079039,0.4654373997946002,201,,,,True,rho_upper,0.2009991777200396,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_no_residue_seed1002,box_no_residue_seed1002,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_no_residue_seed1002\summary.json,
,0.45,0.38,0.75,0.0,,,,,0.0001,1.0,256,100,2.0,,0.32,0.0,gaussian_bump,0.0,0.08,0.01,0.0,0.0,zero,0.0,0.1,0.03,0.25,uniform,0.0,0.14,1003,,,,0.0002,0.0006,0.0004,0.6,0.7,1.2,0.8,2.0,True,0.05,1.2,0.08,1e-06,0.8,0.01,0.15,0.08,,,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_no_residue_seed1003,,,,,,,,,,,,,0.2788538005597203,0.37999978793067674,0.4649248257751229,0.2010504553682847,,0.390625,0.17114619944027967,0.06383291171702975,0.07999998303445414,0.07999998303445414,,,,,,,,2.120693232928182e-07,6.526672842006717e-08,0.5489495446317153,0.5272326919518302,0.4649248257751229,201,,,,True,rho_upper,0.2010504553682847,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_no_residue_seed1003,box_no_residue_seed1003,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\box_no_residue_seed1003\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,,,11,,5,1.0,500,,,0.006103515625,,,,,,,,,,,,0.7805201307163795,0.016866377560431866,0.017875318512714435,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed11,ca_baseline_seed11,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed11\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,,,12,,5,1.0,500,,,0.006103515625,,,,,,,,,,,,0.7805201307163795,0.016866377560431866,0.017875318512714435,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed12,ca_baseline_seed12,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed12\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,,,13,,5,1.0,500,,,0.006103515625,,,,,,,,,,,,0.7805201307163795,0.016866377560431866,0.017875318512714435,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed13,ca_baseline_seed13,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed13\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,,,21,,5,1.0,500,,,0.006103515625,,,,,,,,,,,,0.7805201307163795,0.016866377560431866,0.017875318512714435,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed21,ca_baseline_seed21,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed21\summary.json,
