active_fraction,mean_mismatch,max_mismatch,mean_residue,step
0.0146484375,0.019775390625,1.0,0.0,0
0.159423828125,0.019775390625,0.99577883796,0.0,10
0.388916015625,0.019775390625,0.9502896263390864,0.0,20
0.682373046875,0.019775390625,0.8724107628550141,0.0,30
0.882568359375,0.019775390624999997,0.7906620025073291,0.0,40
0.985107421875,0.019775390625,0.7162753204352217,0.0,50
1.0,0.019775390625,0.651588585040784,0.0,60
1.0,0.019775390625,0.5960406658273751,0.0,70
1.0,0.019775390625,0.5483521064576038,0.0,80
1.0,0.019775390625,0.5072214491696484,0.0,90
1.0,0.019775390625,0.4715177618818092,0.0,100
1.0,0.019775390625,0.4403090010325772,0.0,110
1.0,0.019775390625,0.4128412566485277,0.0,120
1.0,0.019775390625,0.38850746726258467,0.0,130
1.0,0.019775390625,0.3668178654222584,0.0,140
1.0,0.019775390625,0.3473753257476127,0.0,150
1.0,0.019775390625,0.32985575937786954,0.0,160
1.0,0.019775390625,0.31399281896751996,0.0,170
1.0,0.019775390625,0.2995660425420888,0.0,180
1.0,0.019775390625,0.28639166265946997,0.0,190
1.0,0.019775390625,0.2743154572355057,0.0,200
1.0,0.019775390625,0.2632071593157978,0.0,210
1.0,0.019775390625,0.2529560588189805,0.0,220
1.0,0.019775390625,0.24346751919771406,0.0,230
1.0,0.019775390625,0.23466020006919086,0.0,240
1.0,0.019775390625,0.2264638278725865,0.0,250
1.0,0.019775390625,0.21881739466630168,0.0,260
1.0,0.019775390625,0.21166769358367943,0.0,270
1.0,0.019775390625,0.20496812073077436,0.0,280
1.0,0.019775390625,0.19867768929862234,0.0,290
1.0,0.019775390625,0.19276021374741034,0.0,300
1.0,0.019775390625,0.18718363110652086,0.0,310
1.0,0.019775390625,0.18191943345947473,0.0,320
1.0,0.019775390625,0.17694219108746898,0.0,330
1.0,0.019775390625,0.17222914992839505,0.0,340
1.0,0.019775390625,0.1677598902652967,0.0,350
1.0,0.019775390625,0.16351603610902027,0.0,360
1.0,0.019775390625,0.15948100674883728,0.0,370
1.0,0.019775390625,0.1556398035358696,0.0,380
1.0,0.019775390625,0.1519788262309098,0.0,390
1.0,0.019775390625,0.14848571426200025,0.0,400
1.0,0.019775390625,0.1451492090524729,0.0,410
1.0,0.019775390625,0.14195903423904926,0.0,420
1.0,0.019775390625,0.1389057911345276,0.0,430
1.0,0.019775390624999997,0.13598086722580274,0.0,440
1.0,0.019775390625,0.13317635585521334,0.0,450
1.0,0.019775390625,0.1304849855269925,0.0,460
1.0,0.019775390625,0.127900057523151,0.0,470
1.0,0.019775390625,0.12541539071414354,0.0,480
1.0,0.019775390625,0.1230252726168903,0.0,490
