step,active_count,mean_residue
0,1000,1.0
1,1000,2.0
2,684,3.0
3,348,4.0
4,307,5.0
5,199,6.0
6,103,7.0
7,88,8.0
8,49,9.0
9,28,10.0
10,21,11.0
11,11,12.0
12,7,13.0
13,6,14.0
14,4,15.0
15,4,16.0
16,4,17.0
17,4,18.0
18,4,19.0
19,4,20.0
20,4,21.0
21,4,22.0
22,4,23.0
23,4,24.0
24,4,25.0
25,4,26.0
26,4,27.0
27,4,28.0
28,4,29.0
29,4,30.0
30,4,31.0
31,4,32.0
32,4,33.0
33,4,34.0
34,4,35.0
35,4,36.0
36,4,37.0
37,4,38.0
38,4,39.0
39,4,40.0
40,4,41.0
41,4,42.0
42,4,43.0
43,4,44.0
44,4,45.0
45,4,46.0
46,4,47.0
47,4,48.0
48,4,49.0
49,4,50.0
50,4,51.0
51,4,52.0
52,4,53.0
53,4,54.0
54,4,55.0
55,4,56.0
56,4,57.0
57,4,58.0
58,4,59.0
59,4,60.0
60,4,61.0
61,4,62.0
62,4,63.0
63,4,64.0
64,4,65.0
65,4,66.0
66,4,67.0
67,4,68.0
68,4,69.0
69,4,70.0
70,4,71.0
71,4,72.0
72,4,73.0
73,4,74.0
74,4,75.0
75,4,76.0
76,4,77.0
77,4,78.0
78,4,79.0
79,4,80.0
80,4,81.0
81,4,82.0
82,4,83.0
83,4,84.0
84,4,85.0
85,4,86.0
86,4,87.0
87,4,88.0
88,4,89.0
89,4,90.0
90,4,91.0
91,4,92.0
92,4,93.0
93,4,94.0
94,4,95.0
95,4,96.0
96,4,97.0
97,4,98.0
98,4,99.0
99,4,100.0
