step,active_count,mean_residue
0,1000,1.0
1,688,2.0
2,557,3.0
3,497,4.0
4,457,5.0
5,423,6.0
6,396,7.0
7,366,8.0
8,326,9.0
9,302,10.0
10,275,11.0
11,257,12.0
12,236,13.0
13,220,14.0
14,200,15.0
15,200,16.0
16,200,17.0
17,200,18.0
18,200,19.0
19,200,20.0
20,200,21.0
21,200,22.0
22,200,23.0
23,200,24.0
24,200,25.0
25,200,26.0
26,200,27.0
27,200,28.0
28,200,29.0
29,200,30.0
30,200,31.0
31,200,32.0
32,200,33.0
33,200,34.0
34,200,35.0
35,200,36.0
36,200,37.0
37,200,38.0
38,200,39.0
39,200,40.0
40,200,41.0
41,200,42.0
42,200,43.0
43,200,44.0
44,200,45.0
45,200,46.0
46,200,47.0
47,200,48.0
48,200,49.0
49,200,50.0
50,200,51.0
51,200,52.0
52,200,53.0
53,200,54.0
54,200,55.0
55,200,56.0
56,200,57.0
57,200,58.0
58,200,59.0
59,200,60.0
60,200,61.0
61,200,62.0
62,200,63.0
63,200,64.0
64,200,65.0
65,200,66.0
66,200,67.0
67,200,68.0
68,200,69.0
69,200,70.0
70,200,71.0
71,200,72.0
72,200,73.0
73,200,74.0
74,200,75.0
75,200,76.0
76,200,77.0
77,200,78.0
78,200,79.0
79,200,80.0
80,200,81.0
81,200,82.0
82,200,83.0
83,200,84.0
84,200,85.0
85,200,86.0
86,200,87.0
87,200,88.0
88,200,89.0
89,200,90.0
90,200,91.0
91,200,92.0
92,200,93.0
93,200,94.0
94,200,95.0
95,200,96.0
96,200,97.0
97,200,98.0
98,200,99.0
99,200,100.0
