step,residue_coherence,orientation_alignment,corridor_count
0,3.13913e-06,0.000529815,0
100,0.000153532,0.00052283,0
200,0.000200502,0.000529163,0
300,0.00024881,0.00055175,0
400,0.000295909,0.000582809,0
500,0.000331977,0.000620427,0
600,0.000355123,0.000660812,0
700,0.000367662,0.000699227,0
800,0.000372572,0.000732376,0
900,0.000372296,0.000758599,0
1000,0.000368555,0.000777495,0
1100,0.000362544,0.000789415,0
1200,0.000355053,0.000795156,0
1300,0.000346618,0.00079565,0
1400,0.000337596,0.000791893,0
1500,0.000328245,0.000784812,0
1600,0.000318734,0.000775244,0
1700,0.000309186,0.000763868,0
1800,0.000299689,0.000751284,0
1900,0.000290299,0.000737972,0
1999,0.000281156,0.00072444,0
