step,time_s,active_count,lost_count,transmission_fraction,mean_energy_ev,rms_energy_spread_ev,mean_position_m,rms_bunch_length_m,mean_y_m,rms_beam_size_m,rms_divergence_rad,geometric_emittance_m_rad,normalized_emittance_m_rad,mean_z_m,rms_z_beam_size_m,rms_z_divergence_rad,z_geometric_emittance_m_rad,z_normalized_emittance_m_rad,rms_radial_beam_size_m
0,0.0,10000,0,1.0,1000017.1607059143,9882.772545318072,1.7602963634351874e-05,0.002013613628250072,4.1956961908062266e-06,0.0010077512714687124,0.0009884221154730713,9.960591753758687e-07,4.599915524707981e-08,6.974081788348368e-06,0.0009905130278474665,0.0010057770811655962,9.96235132143546e-07,4.600728113244211e-08,0.0014130622509874356
25,4.9999999999999995e-11,10000,0,1.0,1000017.1607059143,9882.772545318072,0.000709103212754693,0.0020136267322360298,4.190520906511724e-06,0.0010077562499837454,0.0009884221154730713,9.96059131985495e-07,4.599915324326259e-08,6.983249651380961e-06,0.0009905136653456995,0.0010057770811655962,9.962351193037982e-07,4.6007280539487824e-08,0.0014130662782966107
50,1.0000000000000012e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.0014006034618750341,0.002013645617277392,4.185345622217222e-06,0.0010077616920383798,0.0009884221154730713,9.960590886067233e-07,4.599915123998115e-08,6.992417514413554e-06,0.000990514791148656,0.0010057770811655962,9.962351064765058e-07,4.600727994710874e-08,0.0014130709785587549
75,1.5000000000000005e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.002092103710995375,0.0020136702832115067,4.180170337922718e-06,0.0010077675976251062,0.0009884221154730713,9.96059045239553e-07,4.5999149237235484e-08,7.001585377446147e-06,0.000990516405254671,0.0010057770811655962,9.962350936616685e-07,4.600727935530486e-08,0.0014130763517671526
100,1.9999999999999988e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.002783603960115716,0.0020137007298259425,4.174995053628214e-06,0.0010077739667357759,0.0009884221154730713,9.960590018839847e-07,4.59991472350256e-08,7.01075324047874e-06,0.0009905185076613575,0.0010057770811655962,9.96235080859287e-07,4.60072787640762e-08,0.0014130823979141272
125,2.499999999999997e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.0034751042092360574,0.002013736956858497,4.16981976933371e-06,0.0010077807993616001,0.0009884221154730713,9.96058958540018e-07,4.599914523335151e-08,7.019921103511333e-06,0.000990521098365606,0.0010057770811655962,9.962350680693606e-07,4.600727817342272e-08,0.0014130891169910412
150,2.9999999999999953e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.004166604458356399,0.0020137789639972084,4.164644485039206e-06,0.0010077880954931517,0.0009884221154730713,9.960589152076531e-07,4.599914323221319e-08,7.029088966543926e-06,0.0009905241773635852,0.0010057770811655962,9.962350552918898e-07,4.6007277583344466e-08,0.0014130965089882953
175,3.4999999999999936e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.00485810470747674,0.002013826750880369,4.159469200744703e-06,0.0010077958551203633,0.0009884221154730713,9.960588718868902e-07,4.5999141231610667e-08,7.0382568295765194e-06,0.0009905277446507416,0.0010057770811655962,9.962350425268743e-07,4.600727699384141e-08,0.0014131045738953294
200,3.999999999999992e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.005549604956597081,0.0020138803170965404,4.1542939164501986e-06,0.0010078040782325291,0.0009884221154730713,9.960588285777286e-07,4.599913923154391e-08,7.047424692609112e-06,0.0009905318002217996,0.0010057770811655962,9.962350297743143e-07,4.6007276404913564e-08,0.001413113311700622
225,4.49999999999999e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.006241105205717422,0.0020139396621845704,4.149118632155695e-06,0.0010078127648183038,0.0009884221154730713,9.96058785280169e-07,4.599913723201294e-08,7.056592555641706e-06,0.0009905363440707617,0.0010057770811655962,9.9623501703421e-07,4.6007275816560925e-08,0.001413122722391691
250,4.999999999999989e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.0069326054548377635,0.0020140047856336152,4.143943347861192e-06,0.001007821914865703,0.0009884221154730713,9.96058741994211e-07,4.599913523301775e-08,7.0657604186743e-06,0.0009905413761909082,0.0010057770811655962,9.962350043065607e-07,4.600727522878349e-08,0.0014131328059550933
275,5.499999999999987e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.007624105703958104,0.0020140756868831594,4.138768063566689e-06,0.0010078315283621037,0.0009884221154730713,9.96058698719855e-07,4.599913323455835e-08,7.074928281706892e-06,0.0009905468965747978,0.0010057770811655962,9.962349915913667e-07,4.6007274641581246e-08,0.001413143562376425
300,5.999999999999985e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.008315605953078445,0.002014152365323041,4.133592779272185e-06,0.0010078416052942438,0.0009884221154730713,9.960586554571004e-07,4.599913123663472e-08,7.084096144739485e-06,0.0009905529052142673,0.0010057770811655962,9.962349788886285e-07,4.6007274054954225e-08,0.001413154991640321
325,6.499999999999984e-10,10000,0,1.0,1000017.1607059143,9882.772545318072,0.009007106202198786,0.0020142348202934765,4.128417494977681e-06,0.001007852145648222,0.0009884221154730713,9.960586122059477e-07,4.5999129239246877e-08,7.093264007772079e-06,0.0009905594021004313,0.0010057770811655962,9.962349661983456e-07,4.60072734689024e-08,0.0014131670937304569
350,6.999999999999982e-10,10000,0,1.0,1000017.1607045355,9882.772544819385,0.009698606451319128,0.002014323051085091,4.123242420858264e-06,0.001007863149103772,0.0009884207735873305,9.960572587954442e-07,4.599906673716573e-08,7.102431864960547e-06,0.0009905663871470078,0.0010057777313398116,9.96235604043256e-07,4.600730292528032e-08,0.0014131798683583436
375,7.49999999999998e-10,10000,0,1.0,1000017.1606994411,9882.772543850622,0.010390106700439472,0.0020144170569389593,4.118069817506504e-06,0.0010078746112821768,0.000988415712637699,9.9605226960331e-07,4.599883633043301e-08,7.111599070249566e-06,0.0009905738592987474,0.0010057802244945947,9.962380837732628e-07,4.6007417441939275e-08,0.0014131933116646042
400,7.999999999999979e-10,10000,0,1.0,1000017.1606932381,9882.772539264115,0.01108160694955982,0.0020145168370466187,4.112898620716722e-06,0.0010078865287880556,0.0009884087213440237,9.960454743017886e-07,4.5998522515472005e-08,7.120765370441852e-06,0.0009905818180016752,0.0010057840339292128,9.962418821302222e-07,4.600759285427832e-08,0.0014132074208347708
425,8.499999999999977e-10,10000,0,1.0,1000017.1606947059,9882.772533920393,0.01177310719868017,0.0020146223905501,4.1077247403144525e-06,0.0010078988925441472,0.0009884057512500636,9.9604302417876e-07,4.5998409366014544e-08,7.129932344053675e-06,0.0009905902589306462,0.0010057876368292139,9.96245633669426e-07,4.6007766104696365e-08,0.0014132221863591642
450,8.999999999999975e-10,10000,0,1.0,1000017.1606995461,9882.772535225626,0.012464607447800518,0.00201473371654198,4.102547526543552e-06,0.001007911690706973,0.000988403520460202,9.960417445315194e-07,4.59983502705484e-08,7.139103071450724e-06,0.0009905991700114945,0.0010057920999360199,9.96250529431548e-07,4.60079921967181e-08,0.0014132375913412873
475,9.499999999999973e-10,10000,0,1.0,1000017.1607276747,9882.772544593567,0.013156107696920853,0.002014850814065381,4.097362774668262e-06,0.001007924890808724,0.0009884090142942587,9.960499945920156e-07,4.599873126845161e-08,7.14827890696084e-06,0.0009906085206806976,0.0010058003847126901,9.962602649688727e-07,4.60084417956453e-08,0.0014132535911965754
500,9.999999999999972e-10,10000,0,1.0,1000017.160784088,9882.77262023624,0.013847607946041156,0.002014973682114051,4.092162935616424e-06,0.0010079383805488792,0.000988437745169615,9.960862497928642e-07,4.600040557650297e-08,7.157456637766857e-06,0.0009906182123640176,0.0010057997194029373,9.962641341111369e-07,4.6008620478363065e-08,0.0014132700366999197
525,1.049999999999997e-09,10000,0,1.0,1000017.1607803673,9882.772735071596,0.014539108195161436,0.0020151023196324424,4.086912791745726e-06,0.001007951965363646,0.0009884463550417614,9.96109628442785e-07,4.6001485229274086e-08,7.1666242229072436e-06,0.00099062803169455,0.0010057882753768158,9.962635187821095e-07,4.600859206166403e-08,0.0014132866393688065
550,1.0999999999999968e-09,10000,0,1.0,1000017.1608805663,9882.772801388117,0.015230608444281691,0.0020152367255157045,4.081604530547448e-06,0.0010079652423614735,0.0009884585895905448,9.961521528234557e-07,4.6003449056249465e-08,7.175783850726115e-06,0.000990637524454826,0.0010058255386747464,9.963221788289493e-07,4.601130105221192e-08,0.0014133027934721655
575,1.1499999999999966e-09,10000,0,1.0,1000017.1610024226,9882.772977933946,0.015922108693401854,0.0020153768986096287,4.0762388011117724e-06,0.0010079774932591989,0.0009885397410407425,9.962844903926893e-07,4.6009560559779556e-08,7.184904786082146e-06,0.0009906459503345431,0.0010058058669023839,9.963376227710018e-07,4.6012014273955806e-08,0.0014133174676663686
600,1.1999999999999965e-09,10000,0,1.0,1000017.1612086027,9882.773207266202,0.016613608942521917,0.0020155228377108764,4.07080572576934e-06,0.0010079876887460234,0.0009886453736218132,9.964585722639138e-07,4.601759986499482e-08,7.19395067853835e-06,0.0009906522593892653,0.0010058044175529914,9.96377482108088e-07,4.60138550285835e-08,0.0014133291916896887
625,1.2499999999999963e-09,10000,0,1.0,1000017.1616750816,9882.773617209812,0.017305109191641726,0.002015674541566831,4.06529481690989e-06,0.0010079944496732976,0.0009888018411874607,9.96683572263756e-07,4.6027990633771224e-08,7.202883830296284e-06,0.0009906551111888767,0.0010058823690239486,9.964819338849156e-07,4.601867874214288e-08,0.001413336042154958
650,1.2999999999999961e-09,10000,0,1.0,1000017.1623070528,9882.77422038376,0.017996609440761136,0.002015832008875774,4.05976150077139e-06,0.0010079961800479838,0.0009890103944280172,9.96917358072343e-07,4.603878714506816e-08,7.211684097847698e-06,0.000990653018177665,0.0010059908725732435,9.96563090325463e-07,4.60224266541419e-08,0.0014133358381739334
675,1.349999999999996e-09,10000,0,1.0,1000017.1633332883,9882.774757078374,0.018688109689879925,0.002015995238286981,4.054270651854283e-06,0.001007991343890462,0.0009892875740639669,9.971184598917253e-07,4.604807428134864e-08,7.220393033911777e-06,0.0009906444905849522,0.0010062285663231065,9.96665775065087e-07,4.602716877677565e-08,0.001413326440448385
700,1.3999999999999958e-09,10000,0,1.0,1000017.1650126933,9882.775288564257,0.01937960993899773,0.002016164228400825,4.048883909834908e-06,0.0010079786048554863,0.0009897276547077261,9.973232738764362e-07,4.605753286474255e-08,7.228982965834748e-06,0.0009906282463424388,0.0010066317182131279,9.967782099185259e-07,4.603236118589737e-08,0.0014133059972820975
725,1.4499999999999956e-09,10000,0,1.0,1000017.1670563399,9882.77599848364,0.020071110188114114,0.002016338977768857,4.04358705629523e-06,0.0010079570529386856,0.000990298099570589,9.974654074684496e-07,4.606409680408489e-08,7.237459382944154e-06,0.0009906035324733881,0.0010070851445632453,9.96764072480492e-07,4.603170834977311e-08,0.001413273331854881
750,1.4999999999999954e-09,10000,0,1.0,1000017.1693414078,9882.776638851543,0.020762610437228907,0.0020165194848940768,4.038326830062466e-06,0.0010079264017797103,0.0009908517127817753,9.974087104612111e-07,4.606147852383149e-08,7.2458807659312974e-06,0.0009905700861754308,0.001007673110971652,9.967215353485865e-07,4.6029743988770494e-08,0.0014132280558713285
775,1.5499999999999953e-09,10000,0,1.0,1000017.1718370216,9882.777060143591,0.021454110686341912,0.0020167057482307453,4.0330825730456955e-06,0.0010078870164682851,0.00099139676592005,9.972223053780942e-07,4.6052870180689704e-08,7.254288846675634e-06,0.0009905282841804564,0.0010083739401860025,9.966907172006145e-07,4.6028320828759816e-08,0.0014131706939320998
800,1.599999999999995e-09,10000,0,1.0,1000017.1740897704,9882.777304216457,0.022145610935453166,0.002016897766184585,4.0278634581878e-06,0.0010078398706441117,0.0009919161889016535,9.969923931075672e-07,4.6042252620119243e-08,7.26270805321845e-06,0.000990479047190703,0.0010089792004066803,9.965536857226844e-07,4.602199260973127e-08,0.001413102585942028
825,1.649999999999995e-09,10000,0,1.0,1000017.1761370697,9882.777268454325,0.02283711118456284,0.002017095537112583,4.022628912215126e-06,0.0010077864290182791,0.0009923553362112762,9.967544565841399e-07,4.6031264485619297e-08,7.2711638057259714e-06,0.0009904236979505882,0.0010095614325171642,9.964593735608097e-07,4.6017637213022317e-08,0.0014130257037088846
850,1.6999999999999947e-09,10000,0,1.0,1000017.177761092,9882.777228595502,0.023528611433671152,0.0020172990593230063,4.017322732000267e-06,0.0010077282518741544,0.0009927111288128535,9.96565820470816e-07,4.6022553090860226e-08,7.279623137604109e-06,0.0009903637127666096,0.0010100157095833146,9.963734746055689e-07,4.6013670338097375e-08,0.0014129421944952883
875,1.7499999999999946e-09,10000,0,1.0,1000017.1788506953,9882.777123143751,0.02422011168277846,0.0020175083310754057,4.011907586379487e-06,0.0010076668605354855,0.0009929284659656395,9.963920405979638e-07,4.6014527762024254e-08,7.288108518128953e-06,0.0009903005912671639,0.0010103401574076967,9.963063877150935e-07,4.6010572213609424e-08,0.001412854194463742
900,1.7999999999999944e-09,10000,0,1.0,1000017.1794992381,9882.777010351867,0.024911611931885153,0.0020177233505806725,4.006404407716854e-06,0.001007603556711846,0.000993015167029123,9.962324384221396e-07,4.600715716534654e-08,7.296631768859084e-06,0.0009902355231757199,0.0010105753853799197,9.962822527391454e-07,4.6009457647666904e-08,0.0014127634660370087
