id,active,lost_reason,x_m,y_m,y_prime_rad,z_m,z_prime_rad,beta,velocity_m_s,transverse_velocity_m_s,z_transverse_velocity_m_s,momentum_kg_m_s,transverse_momentum_kg_m_s,z_transverse_momentum_kg_m_s,kinetic_energy_ev
0,True,,1.0123067494258353,0.00029101685981039785,0.0021056590322528572,0.0006352050624375317,9.955588673067212e-05,0.04546618356388215,13630388.641772823,28700.950956665703,1356.985427715375,2.282208768510889e-20,4.805553506901624e-23,2.2720731765361676e-24,971291.8929899969
1,True,,1.019832823226048,0.0006621441327314461,-0.001130918855257718,-0.0007965228654423231,-0.0007456827970583172,0.04572598801164424,13708293.762996525,-15502.967889984544,-10222.038836088333,2.2952800855627936e-20,-2.5957755268605114e-23,-1.7115508742347177e-23,982441.4782044556
2,True,,1.0267258984798722,0.00046643335543387714,-0.004098084493858971,-4.6939682775785765e-05,0.0004603893823092501,0.04591579992200002,13765093.473806035,-56410.516121523826,6337.30288183465,2.3048105652343926e-20,-9.445308438669394e-23,1.0611103124680955e-23,990627.7280693745
3,True,,1.0156049640872888,-0.0007088754347885155,0.000551910504692827,6.339971913275757e-05,9.842546255662249e-05,0.04547669940399751,13633569.353585532,7524.51014270205,1341.8903699244486,2.2827424258786957e-20,1.2598695243504391e-23,2.2467997916473716e-24,971741.942033022
4,True,,1.0211391600380142,0.0005354339412593052,0.0028474336521900198,0.0006600344865054541,-0.0011200365571499458,0.04563361667063433,13680550.068149764,38954.45864452011,-15322.71619824792,2.2906250698820198e-20,6.522402908532179e-23,-2.5655838169920115e-23,978470.0107270803
5,True,,1.0120819678680546,-7.956111695279786e-05,0.0012351911922641862,-0.000945313611905153,-0.0003346189941558499,0.04541540003700969,13615183.259583788,16817.35444330069,-4555.898927569493,2.279657578632446e-20,2.815812962505099e-23,-7.628167259817493e-24,969119.9717270759
6,True,,1.0340650699349982,-9.821167214018881e-06,0.000458056563319573,0.0004866473783090181,-0.0010583989802045782,0.04642745757427389,13918592.36885291,6375.502586722799,-14731.423969077145,2.3305674086048396e-20,1.0675316977701358e-23,-2.466670168565389e-23,1012864.6026766121
7,True,,1.017380280255585,0.00020935324368471185,-0.0008977589445072612,0.00010320778295315666,0.0012897682878910824,0.04562557183752033,13678185.43987895,-12279.713323280313,17641.689816249407,2.2902283020587705e-20,-2.0560729431369386e-23,2.9538638360260413e-23,978124.5090195121
8,True,,1.0289326585248197,-0.00038253018685664735,-0.0015146583000356618,0.00047496415171712587,0.0009565854494452958,0.04600417887491992,13791683.732752278,-20889.688237280057,13192.923982102213,2.3092722058190693e-20,-3.4977583135855145e-23,2.209016190894964e-23,994450.9990394975
9,True,,1.0255743273126356,-8.717130328843314e-05,-0.0002248220655642002,0.0008496625100007405,0.0012407540241513148,0.04577933181642162,13724287.499931987,-3085.522664131643,17028.4649441502,2.2979636543637595e-20,-5.166329353655183e-24,2.8512076515052955e-23,984738.6539913967
10,True,,1.0227127883392102,0.0002669632364748986,-0.0008855993291974587,0.0010154547828511737,-0.0008164496368089201,0.04574859897630218,13715074.98772771,-12146.061209024505,-11197.667992537392,2.296417895566187e-20,-2.033706147870455e-23,-1.8749095567965178e-23,983414.8584504776
11,True,,1.0198847129172768,0.00018339077691769448,0.0016130818348742738,0.00013565867193935117,0.0006299106416287482,0.045664748043556525,13689926.533128256,22082.971811352534,8623.430406333244,2.2921982977829368e-20,3.697503436083387e-23,1.443880100496774e-23,979807.5883544213
12,True,,1.0243029479000219,0.0009161235949200902,-0.0012368882006176226,0.0005809792345649599,-0.0011116682628499058,0.04568614086065879,13696341.525186928,-16940.843224132885,-15225.788190703583,2.29327464940619e-20,-2.8365243546260314e-23,-2.5493606457431063e-23,980727.2753484492
13,True,,1.0198107513542325,0.0005251672381210382,0.001100828107865236,0.0010306693089074713,-0.0031239557448219705,0.04563737016851668,13681664.32944511,15061.160656230353,-42740.91388069589,2.290812031245981e-20,2.521790273831431e-23,-7.15639540531817e-23,978631.2332928942
14,True,,1.0189104148145323,0.0004968101045471823,-0.003878314978962887,0.0004675678582373432,-0.0028313187716379087,0.04568154390288854,13694824.447262654,-53112.842788085894,-38774.4135318205,2.293020151838328e-20,-8.893054401938342e-23,-6.492270999643866e-23,980529.6134672074
