step,active_count,mean_residue
0,1000,1.0
1,1000,2.0
2,860,3.0
3,818,4.0
4,722,5.0
5,670,6.0
6,589,7.0
7,544,8.0
8,488,9.0
9,425,10.0
10,374,11.0
11,348,12.0
12,305,13.0
13,279,14.0
14,257,15.0
15,257,16.0
16,257,17.0
17,257,18.0
18,257,19.0
19,257,20.0
20,257,21.0
21,257,22.0
22,257,23.0
23,257,24.0
24,257,25.0
25,257,26.0
26,257,27.0
27,257,28.0
28,257,29.0
29,257,30.0
30,257,31.0
31,257,32.0
32,257,33.0
33,257,34.0
34,257,35.0
35,257,36.0
36,257,37.0
37,257,38.0
38,257,39.0
39,257,40.0
40,257,41.0
41,257,42.0
42,257,43.0
43,257,44.0
44,257,45.0
45,257,46.0
46,257,47.0
47,257,48.0
48,257,49.0
49,257,50.0
50,257,51.0
51,257,52.0
52,257,53.0
53,257,54.0
54,257,55.0
55,257,56.0
56,257,57.0
57,257,58.0
58,257,59.0
59,257,60.0
60,257,61.0
61,257,62.0
62,257,63.0
63,257,64.0
64,257,65.0
65,257,66.0
66,257,67.0
67,257,68.0
68,257,69.0
69,257,70.0
70,257,71.0
71,257,72.0
72,257,73.0
73,257,74.0
74,257,75.0
75,257,76.0
76,257,77.0
77,257,78.0
78,257,79.0
79,257,80.0
80,257,81.0
81,257,82.0
82,257,83.0
83,257,84.0
84,257,85.0
85,257,86.0
86,257,87.0
87,257,88.0
88,257,89.0
89,257,90.0
90,257,91.0
91,257,92.0
92,257,93.0
93,257,94.0
94,257,95.0
95,257,96.0
96,257,97.0
97,257,98.0
98,257,99.0
99,257,100.0
