avg_degree,edge_count,order_parameter,step,time
5.24,131,0.13394201093804026,0,0.0
6.08,152,0.13559690622992193,10,0.5
6.68,167,0.13805161363646315,20,1.0
7.32,183,0.141515769105983,30,1.5
7.36,184,0.14649927015628988,40,2.0
7.72,193,0.15204251054443382,50,2.5
8.08,202,0.15974539729380974,60,3.0
8.36,209,0.16915849763562152,70,3.5
8.64,216,0.18007429929385027,80,4.0
8.6,215,0.19073650990005844,90,4.5
9.0,225,0.20028660633673806,100,5.0
9.32,233,0.21147454395005305,110,5.5
9.36,234,0.22320844159655404,120,6.0
9.8,245,0.23627703939420203,130,6.5
10.04,251,0.2523248597493157,140,7.0
10.48,262,0.2710743883918913,150,7.5
10.36,259,0.29128885870579796,160,8.0
10.68,267,0.31118466419237134,170,8.5
10.84,271,0.33250810094402095,180,9.0
10.92,273,0.35576610946897536,190,9.5
11.08,277,0.3803078526632336,200,10.0
11.24,281,0.40560873572300365,210,10.5
11.4,285,0.4319342551491272,220,11.0
11.36,284,0.4572337347608199,230,11.5
11.44,286,0.4807177934862134,240,12.0
11.8,295,0.5066148630331224,250,12.5
11.96,299,0.5356640895510016,260,13.0
11.64,291,0.5638034624507644,270,13.5
11.56,289,0.5890447599925789,280,14.0
11.36,284,0.609042494653019,290,14.5
11.72,293,0.6245027928982984,300,15.0
12.32,308,0.6378326156463126,310,15.5
12.96,324,0.6505401095902674,320,16.0
13.48,337,0.6629478391575063,330,16.5
14.04,351,0.6750726156063314,340,17.0
14.4,360,0.6880216597571331,350,17.5
14.92,373,0.7017801816237063,360,18.0
15.36,384,0.7168802959318145,370,18.5
15.64,391,0.731919838739007,380,19.0
15.88,397,0.7442514957704854,390,19.5
16.0,400,0.7559671855366159,400,20.0
16.16,404,0.7678536920691474,410,20.5
16.36,409,0.7806272566977196,420,21.0
16.56,414,0.7946856405880144,430,21.5
16.6,415,0.8090826292200691,440,22.0
16.56,414,0.8201311611667168,450,22.5
16.64,416,0.8297973240122938,460,23.0
16.72,418,0.8386060064015477,470,23.5
16.84,421,0.8468690736253748,480,24.0
16.96,424,0.8544558919879802,490,24.5
17.2,430,0.8618357808301544,500,25.0
17.44,436,0.869035920821443,510,25.5
17.6,440,0.8760489649619464,520,26.0
17.64,441,0.8828395009786421,530,26.5
17.8,445,0.8894148768528698,540,27.0
17.88,447,0.8957863468486034,550,27.5
18.0,450,0.9019374891027496,560,28.0
18.24,456,0.9078844081762276,570,28.5
18.64,466,0.9136359016983409,580,29.0
18.76,469,0.9192182889550998,590,29.5
19.0,475,0.9245973124267979,600,30.0
19.24,481,0.9297885408462004,610,30.5
19.32,483,0.9347485182315013,620,31.0
19.72,493,0.9394756657516934,630,31.5
20.0,500,0.9440204399173998,640,32.0
20.32,508,0.948337358495611,650,32.5
20.64,516,0.9524321646800864,660,33.0
21.04,526,0.9563195025251692,670,33.5
21.4,535,0.9600060303223081,680,34.0
21.76,544,0.9634634481694508,690,34.5
22.12,553,0.9667066795106444,700,35.0
22.72,568,0.9697589383137685,710,35.5
23.6,590,0.9726523334606823,720,36.0
24.52,613,0.9753431342442406,730,36.5
25.64,641,0.9778500945613896,740,37.0
26.64,666,0.9801677587137627,750,37.5
28.08,702,0.9822688880843956,760,38.0
30.04,751,0.9841700866202703,770,38.5
31.28,782,0.9858696550347594,780,39.0
32.84,821,0.9872886353025958,790,39.5
34.2,855,0.9885401515084298,800,40.0
35.56,889,0.9896218354933399,810,40.5
36.72,918,0.9905564915202945,820,41.0
37.64,941,0.9913365517007817,830,41.5
38.52,963,0.9920032385854033,840,42.0
39.08,977,0.9925840238165379,850,42.5
39.6,990,0.9930778470233459,860,43.0
40.36,1009,0.9935242271700003,870,43.5
40.92,1023,0.9939701996035463,880,44.0
41.64,1041,0.9944025914197763,890,44.5
41.92,1048,0.9948073149845013,900,45.0
42.44,1061,0.9951618781805556,910,45.5
43.0,1075,0.9954746706737267,920,46.0
43.52,1088,0.9957652751180203,930,46.5
43.96,1099,0.9960332239239493,940,47.0
44.28,1107,0.9962748460181047,950,47.5
44.8,1120,0.9964979282550229,960,48.0
45.0,1125,0.9967166781732861,970,48.5
45.48,1137,0.9969195529072031,980,49.0
45.72,1143,0.997072116104883,990,49.5
