step,active_count,mean_residue
0,1000,1.0
1,1000,2.0
2,837,3.0
3,682,4.0
4,520,5.0
5,404,6.0
6,294,7.0
7,226,8.0
8,158,9.0
9,116,10.0
10,92,11.0
11,66,12.0
12,51,13.0
13,38,14.0
14,28,15.0
15,28,16.0
16,28,17.0
17,28,18.0
18,28,19.0
19,28,20.0
20,28,21.0
21,28,22.0
22,28,23.0
23,28,24.0
24,28,25.0
25,28,26.0
26,28,27.0
27,28,28.0
28,28,29.0
29,28,30.0
30,28,31.0
31,28,32.0
32,28,33.0
33,28,34.0
34,28,35.0
35,28,36.0
36,28,37.0
37,28,38.0
38,28,39.0
39,28,40.0
40,28,41.0
41,28,42.0
42,28,43.0
43,28,44.0
44,28,45.0
45,28,46.0
46,28,47.0
47,28,48.0
48,28,49.0
49,28,50.0
50,28,51.0
51,28,52.0
52,28,53.0
53,28,54.0
54,28,55.0
55,28,56.0
56,28,57.0
57,28,58.0
58,28,59.0
59,28,60.0
60,28,61.0
61,28,62.0
62,28,63.0
63,28,64.0
64,28,65.0
65,28,66.0
66,28,67.0
67,28,68.0
68,28,69.0
69,28,70.0
70,28,71.0
71,28,72.0
72,28,73.0
73,28,74.0
74,28,75.0
75,28,76.0
76,28,77.0
77,28,78.0
78,28,79.0
79,28,80.0
80,28,81.0
81,28,82.0
82,28,83.0
83,28,84.0
84,28,85.0
85,28,86.0
86,28,87.0
87,28,88.0
88,28,89.0
89,28,90.0
90,28,91.0
91,28,92.0
92,28,93.0
93,28,94.0
94,28,95.0
95,28,96.0
96,28,97.0
97,28,98.0
98,28,99.0
99,28,100.0
