avg_degree,edge_count,order_parameter,step,time
5.44,136,0.1565054415379433,0,0.0
5.64,141,0.17082361033045562,10,0.5
5.96,149,0.18506746815832742,20,1.0
6.4,160,0.19850575007285215,30,1.5
6.92,173,0.21138486286077554,40,2.0
7.36,184,0.2238538340865782,50,2.5
7.56,189,0.23689763305050252,60,3.0
7.96,199,0.24939151415694222,70,3.5
8.04,201,0.2630757492171088,80,4.0
8.2,205,0.27829722301211485,90,4.5
8.32,208,0.2930905358704793,100,5.0
8.52,213,0.3054910032250734,110,5.5
8.8,220,0.3164445963658442,120,6.0
9.4,235,0.3275456434413248,130,6.5
9.84,246,0.33848855639464004,140,7.0
10.12,253,0.34977790035374523,150,7.5
10.68,267,0.36125345483180826,160,8.0
10.92,273,0.37134703386637313,170,8.5
11.6,290,0.3812124730183655,180,9.0
11.92,298,0.3913640871116447,190,9.5
12.24,306,0.4020036487350822,200,10.0
12.44,311,0.4137396092227432,210,10.5
12.68,317,0.42738693591644505,220,11.0
12.96,324,0.4434530160685664,230,11.5
13.0,325,0.4627022744463047,240,12.0
12.84,321,0.48361865160805234,250,12.5
12.92,323,0.5046223632635767,260,13.0
13.2,330,0.5267678528861091,270,13.5
12.96,324,0.5483342549741573,280,14.0
12.88,322,0.5663203828772763,290,14.5
13.2,330,0.582492180111438,300,15.0
13.64,341,0.5982776248471077,310,15.5
13.6,340,0.612756649463948,320,16.0
13.92,348,0.6259151319261255,330,16.5
14.32,358,0.6383557197024438,340,17.0
14.8,370,0.6510146381411226,350,17.5
15.24,381,0.6635772539039105,360,18.0
15.72,393,0.6749538178296387,370,18.5
16.04,401,0.6851417230520668,380,19.0
16.72,418,0.6936176748404698,390,19.5
17.12,428,0.7011388469284436,400,20.0
17.28,432,0.7077637540291339,410,20.5
17.4,435,0.7147718026589696,420,21.0
17.76,444,0.7217338417895321,430,21.5
18.16,454,0.7290378590847066,440,22.0
18.44,461,0.7370751471520705,450,22.5
18.8,470,0.744292073544562,460,23.0
19.08,477,0.7509085675079665,470,23.5
19.36,484,0.7576840290982911,480,24.0
19.72,493,0.7637673934798035,490,24.5
19.96,499,0.7695490001882942,500,25.0
20.2,505,0.7743722885705111,510,25.5
20.48,512,0.7791391206294374,520,26.0
20.64,516,0.7834002539264028,530,26.5
20.76,519,0.7879311162395701,540,27.0
20.88,522,0.7922535324824648,550,27.5
20.96,524,0.7955931005467565,560,28.0
21.16,529,0.7985580722757872,570,28.5
21.2,530,0.800883989405832,580,29.0
21.4,535,0.8030139197260028,590,29.5
21.44,536,0.8042582904119389,600,30.0
21.52,538,0.8054399273572678,610,30.5
21.84,546,0.8061470562225086,620,31.0
22.08,552,0.8067069281624729,630,31.5
22.36,559,0.8074016079357825,640,32.0
22.6,565,0.8083471503626597,650,32.5
22.88,572,0.8106697483223304,660,33.0
23.2,580,0.8149009590379576,670,33.5
23.12,578,0.8223091916613382,680,34.0
22.76,569,0.8296271954570046,690,34.5
22.64,566,0.8363417315471022,700,35.0
22.2,555,0.8428832031647417,710,35.5
22.32,558,0.8471498161041183,720,36.0
22.4,560,0.8515771533634902,730,36.5
22.48,562,0.8556332000525093,740,37.0
22.68,567,0.8596068086909522,750,37.5
22.88,572,0.8636942632690289,760,38.0
23.04,576,0.8678685779389864,770,38.5
23.04,576,0.8720745224990416,780,39.0
23.28,582,0.876240696413335,790,39.5
23.32,583,0.8799269559806898,800,40.0
23.56,589,0.8829751822629281,810,40.5
23.84,596,0.8859548476533837,820,41.0
24.2,605,0.8888814863457223,830,41.5
24.36,609,0.8917506276546134,840,42.0
24.56,614,0.8945238440084576,850,42.5
24.84,621,0.8972243439849312,860,43.0
25.0,625,0.8998365487139708,870,43.5
25.28,632,0.9023824922985415,880,44.0
25.36,634,0.9048726297498328,890,44.5
25.4,635,0.9072888766272841,900,45.0
25.44,636,0.9096413374446997,910,45.5
25.52,638,0.9119407524905844,920,46.0
25.72,643,0.9142036135833298,930,46.5
25.76,644,0.9164215556828387,940,47.0
26.0,650,0.9185951467777811,950,47.5
26.16,654,0.9207387356927899,960,48.0
26.16,654,0.9228323622122047,970,48.5
26.28,657,0.92487427323548,980,49.0
26.36,659,0.9268684949352114,990,49.5
