id,active,lost_reason,x_m,y_m,y_prime_rad,z_m,z_prime_rad,beta,velocity_m_s,transverse_velocity_m_s,z_transverse_velocity_m_s,momentum_kg_m_s,transverse_momentum_kg_m_s,z_transverse_momentum_kg_m_s,kinetic_energy_ev
0,True,,1.0107579798025697,6.134748760389096e-05,0.0007060459570428123,0.00022649227965213482,-0.0007693024285631788,0.04560874442351979,13673150.142919615,9653.872378447744,-10518.787611057034,2.2893834482238023e-20,1.616409927739148e-23,-1.7612282466309155e-23,977402.0197245103
1,True,,1.0110754709123675,-0.00013238950381093845,0.0009096271268053137,0.000489967800337732,0.00037371381809260735,0.04548222064437611,13635220.12907906,12402.966109372164,5095.67017497131,2.2830193986298276e-20,2.0766963760164452e-23,8.531958962414412e-24,971978.2778678995
2,True,,1.007875532196582,-0.0002273982193306132,-0.0016207489883554218,0.00027299474590750464,0.0002174951543158926,0.04548086320546591,13634801.541714933,-22098.59080516142,2965.5032653818594,2.2829491710227832e-20,-3.7000875594020245e-23,4.965303822469393e-24,971920.17023037
3,True,,1.0086568467026076,-5.105549428634303e-06,0.0001886464855793905,-8.580962445071743e-05,-0.0002901580533237254,0.045544710968637866,13653960.032457378,2575.7715743645444,-3961.8064631777834,2.286163638715923e-20,4.3127673590315025e-24,-6.633487909892969e-24,974655.1789857011
4,True,,1.0050518236112038,0.0013454045776485023,-0.0037714478631435196,0.001039924170769551,-8.810922037997652e-05,0.04542990675540331,13619446.500121646,-51365.03240008127,-1199.998813132518,2.2803728998350495e-20,-8.600307500253289e-23,-2.009218783800925e-24,969740.1491219307
5,True,,1.0192928119467344,-0.0007016581662782633,0.002851349039803554,7.208124595662077e-05,-0.0016967196270936047,0.045830110310022286,13739445.791346,39175.9555645874,-23311.98733956538,2.3005070863706637e-20,6.559548671784263e-23,-3.9033155257130274e-23,986927.8621649964
6,True,,1.0073212813854975,-0.0004747129359448276,0.0007479925052426949,0.0001411200333156285,0.002867971525248566,0.04534918071003635,13595282.637876049,10169.16951978742,38990.88348313472,2.276318664071904e-20,1.7026693002698478e-23,6.528417110950076e-23,966291.5573749171
7,True,,1.0130489169651504,-0.0004490510618404153,-0.0006455965726539703,0.00035819069412101873,0.001915922735589476,0.04565438430718917,13686812.117159735,-8836.158993397155,26222.874513007868,2.2916757430604938e-20,-1.4794980053540955e-23,4.3906736587285065e-23,979362.2024426
8,True,,1.0147638775880732,0.0007548351201475072,-0.0009255615457575627,-0.0016010654343962876,-0.00023628208499307113,0.045696690764016425,13699516.996252395,-12679.74612718337,-3236.950439272531,2.2938074488475953e-20,-2.1230599680255918e-23,-5.419856065863472e-24,981180.9801065873
9,True,,1.0230547594207933,-9.483328909529041e-05,0.000901521108908765,0.00027702039567357984,0.00022612220242623627,0.04600915767264515,13793192.511419768,12434.85420828722,3118.947069171307,2.3095253650555923e-20,2.082085868157838e-23,5.2223496210562785e-24,994666.601828743
10,True,,1.0112435265457773,9.727860262420394e-05,-0.0035792710879161706,-5.848220523574064e-05,0.00012181977228852723,0.04559123886025657,13667821.909573123,-48920.83979572226,1665.0109527043412,2.2884894772514645e-20,-8.191124220926558e-23,2.7878326700346413e-24,976650.69852859
11,True,,1.0166473433209557,-0.0010657611137792013,-0.0001302257626140532,-0.0005949814302898263,0.0018174303800582681,0.0456459734959177,13684295.876150057,-1782.0478663079846,24870.25505502119,2.2912535501936225e-20,-2.9838024091612132e-24,4.1641938105382515e-23,979000.8190835927
12,True,,1.0213397345790651,0.0004506524391415074,0.0034533569689461524,-0.000462190775259062,-0.0018757823480126984,0.045859148271504606,13748120.617916347,47477.1681457937,-25788.481973436916,2.301962653998871e-20,7.949498773440782e-23,-4.317980912155545e-23,988180.8705657193
13,True,,1.0133208681838184,0.001017676203195164,-0.0008460583634513137,-0.00026890351294805824,-0.00045791846089542884,0.0457299664200623,13709492.693233754,-11599.030951785093,-6277.829793742729,2.2954812497181987e-20,-1.9421111094697554e-23,-1.0511432408852731e-23,982612.7097494307
14,True,,1.0174016891901771,-3.9412484571190006e-05,0.00187642797309149,0.00028404604350500313,0.0004451093822040596,0.04571449950853771,13704836.689069476,25716.138930020523,6100.151391879243,2.2947000345073965e-20,4.305839334603686e-23,1.0213925147032215e-23,981947.0947355297
15,True,,1.0129962441053102,5.565113892490511e-05,0.002222769860616772,-0.0003626717848263957,0.00178296363392648,0.045607595659071534,13672757.697108615,30391.393720649015,24378.029749433026,2.289317618303859e-20,5.08862620334479e-23,4.0817700599429626e-23,977352.7070099604
16,True,,1.0192644510846525,0.00037808856245739,-0.001587127666838081,-0.0009200118557297315,0.0004630055642603419,0.04577419016920756,13722738.229286809,-21779.737508477716,6353.704157047904,2.297703706049881e-20,-3.64674912206816e-23,1.063849600922704e-23,984517.1188288793
17,True,,1.0132768020354552,0.0013242678506800835,0.0007816690435198333,0.0005460415038317972,-0.0006136923774908807,0.045603031411539804,13671438.12799253,10686.5399650485,-8390.05736848721,2.2890961968958642e-20,1.7893156347524782e-23,-1.404800887378356e-23,977156.7910841319
18,True,,1.0117979406023074,-0.0006838446107980969,0.0005027214921421163,3.523425342285605e-05,0.0013169002879551436,0.04547977283824832,13634479.342916558,6854.3457998518725,17955.249772805273,2.2828951100770698e-20,1.1476604361418854e-23,3.0063452278318826e-23,971873.4963454517
19,True,,1.020038356031096,0.0002834013190014638,-0.00025493357033465016,0.0002736462032313815,-0.0008184337486280163,0.04578249660865846,13725242.148862286,-3499.024984717088,-11233.20138272061,2.2981238322889765e-20,-5.858689136365775e-24,-1.8808621028716497e-23,984875.0260032649
20,True,,1.0182574818844832,-0.0003271367423995604,0.0008264393463725732,-0.0001407423315516619,0.002225511956254983,0.04570645087522281,13702410.641648222,11324.211294412347,30494.878712503632,2.2942929779686184e-20,1.8960939890995695e-23,5.105976453621011e-23,981600.813265374
21,True,,1.0144290993809046,-0.00041776721330190206,0.002067099115514042,-0.0005370927358178192,0.00021805137818792307,0.04562009047060566,13676529.512049314,28270.74205765883,2982.1861089301556,2.2899504653462144e-20,4.733554581488129e-23,4.993268549508178e-24,977889.1356875814
