mode,lambda_R,s_test,seed,active_fraction
baseline,0.2,0.01,2.0,0.0
baseline,0.2,0.02,2.0,0.0
baseline,0.2,0.03,2.0,0.0
baseline,0.2,0.04,2.0,0.0
baseline,0.2,0.05,2.0,0.0
baseline,0.2,0.06,2.0,0.0
baseline,0.2,0.07,2.0,0.0
baseline,0.2,0.08,2.0,0.0
baseline,0.2,0.09,2.0,0.0
baseline,0.2,0.1,2.0,0.0
baseline,0.2,0.12,2.0,0.0
baseline,0.2,0.15,2.0,0.0
baseline,0.8,0.01,2.0,0.0
baseline,0.8,0.02,2.0,0.0
baseline,0.8,0.03,2.0,0.0
baseline,0.8,0.04,2.0,0.0
baseline,0.8,0.05,2.0,0.0
baseline,0.8,0.06,2.0,0.0
baseline,0.8,0.07,2.0,0.0
baseline,0.8,0.08,2.0,0.0
baseline,0.8,0.09,2.0,0.0
baseline,0.8,0.1,2.0,0.0
baseline,0.8,0.12,2.0,0.0
baseline,0.8,0.15,2.0,0.0
baseline,2.0,0.01,2.0,0.0
baseline,2.0,0.02,2.0,0.0
baseline,2.0,0.03,2.0,0.0
baseline,2.0,0.04,2.0,0.0
baseline,2.0,0.05,2.0,0.0
baseline,2.0,0.06,2.0,0.0
baseline,2.0,0.07,2.0,0.0
baseline,2.0,0.08,2.0,0.0
baseline,2.0,0.09,2.0,0.0
baseline,2.0,0.1,2.0,0.0
baseline,2.0,0.12,2.0,0.0
baseline,2.0,0.15,2.0,0.0
preconditioned,0.2,0.01,2.0,1.0
preconditioned,0.2,0.02,2.0,1.0
preconditioned,0.2,0.03,2.0,1.0
preconditioned,0.2,0.04,2.0,1.0
preconditioned,0.2,0.05,2.0,1.0
preconditioned,0.2,0.06,2.0,1.0
preconditioned,0.2,0.07,2.0,1.0
preconditioned,0.2,0.08,2.0,1.0
preconditioned,0.2,0.09,2.0,1.0
preconditioned,0.2,0.1,2.0,1.0
preconditioned,0.2,0.12,2.0,1.0
preconditioned,0.2,0.15,2.0,1.0
preconditioned,0.8,0.01,2.0,1.0
preconditioned,0.8,0.02,2.0,1.0
preconditioned,0.8,0.03,2.0,1.0
preconditioned,0.8,0.04,2.0,1.0
preconditioned,0.8,0.05,2.0,1.0
preconditioned,0.8,0.06,2.0,1.0
preconditioned,0.8,0.07,2.0,1.0
preconditioned,0.8,0.08,2.0,1.0
preconditioned,0.8,0.09,2.0,1.0
preconditioned,0.8,0.1,2.0,1.0
preconditioned,0.8,0.12,2.0,1.0
preconditioned,0.8,0.15,2.0,1.0
preconditioned,2.0,0.01,2.0,1.0
preconditioned,2.0,0.02,2.0,1.0
preconditioned,2.0,0.03,2.0,1.0
preconditioned,2.0,0.04,2.0,1.0
preconditioned,2.0,0.05,2.0,1.0
preconditioned,2.0,0.06,2.0,1.0
preconditioned,2.0,0.07,2.0,1.0
preconditioned,2.0,0.08,2.0,1.0
preconditioned,2.0,0.09,2.0,1.0
preconditioned,2.0,0.1,2.0,1.0
preconditioned,2.0,0.12,2.0,1.0
preconditioned,2.0,0.15,2.0,1.0
