"mode","s_test","n","active_fraction_mean","active_fraction_std"
"baseline","0.02","3","0","0"
"baseline","0.04","3","0","0"
"baseline","0.06","3","0","0"
"baseline","0.08","3","0","0"
"baseline","0.1","3","0","0"
"baseline","0.12","3","1","0"
"baseline","0.14","3","1","0"
"preconditioned","0.02","3","1","0"
"preconditioned","0.04","3","1","0"
"preconditioned","0.06","3","1","0"
"preconditioned","0.08","3","1","0"
"preconditioned","0.1","3","1","0"
"preconditioned","0.12","3","1","0"
"preconditioned","0.14","3","1","0"
