mode,s_test,seed,epsilon_max,epsilon_min,active_fraction
baseline,-0.12,2.0,9.893225992915766e-05,0.0,0.2109375
baseline,-0.1,2.0,9.893462168774688e-05,0.0,0.1875
baseline,-0.08,2.0,9.893698344633275e-05,0.0,0.1484375
baseline,-0.06,2.0,9.893934520491459e-05,0.0,0.0859375
baseline,-0.04,2.0,9.894170696349244e-05,0.0,0.0
baseline,-0.02,2.0,9.894406872206667e-05,0.0,0.0
baseline,0.02,2.0,0.019547262444632212,0.0,0.0
baseline,0.04,2.0,0.038234179843332744,0.0,0.0
baseline,0.06,2.0,0.056269164775415936,0.0,0.0859375
baseline,0.08,2.0,0.07368617216033144,0.0,0.1484375
baseline,0.1,2.0,0.09051682957807415,0.0,0.1875
baseline,0.12,2.0,0.10679063368825008,0.0,0.2109375
preconditioned_neg,-0.12,2.0,9.835415777302731e-05,0.0,0.3828125
preconditioned_neg,-0.1,2.0,9.835651951300783e-05,0.0,0.3828125
preconditioned_neg,-0.08,2.0,9.835888125300249e-05,0.0,0.3828125
preconditioned_neg,-0.06,2.0,9.836124299301059e-05,0.0,0.3828125
preconditioned_neg,-0.04,2.0,9.836360473303281e-05,0.0,0.3671875
preconditioned_neg,-0.02,2.0,9.83659664730686e-05,0.0,0.3671875
preconditioned_neg,0.02,2.0,9.837068995318147e-05,0.0,0.3671875
preconditioned_neg,0.04,2.0,9.837305169325859e-05,0.0,0.3515625
preconditioned_neg,0.06,2.0,9.83754134333493e-05,0.0,0.3515625
preconditioned_neg,0.08,2.0,9.837777517345389e-05,0.0,0.3515625
preconditioned_neg,0.1,2.0,9.838013691357233e-05,0.0,0.3515625
preconditioned_neg,0.12,2.0,9.838249865370442e-05,0.0,0.3359375
preconditioned_pos,-0.12,2.0,0.139785566954137,0.0,0.3359375
preconditioned_pos,-0.1,2.0,0.1552822331178857,0.0,0.3515625
preconditioned_pos,-0.08,2.0,0.17028268737813926,0.0,0.3515625
preconditioned_pos,-0.06,2.0,0.18481067036491847,0.0,0.3515625
preconditioned_pos,-0.04,2.0,0.19888842613251512,0.0,0.3515625
preconditioned_pos,-0.02,2.0,0.2125368184719307,0.0,0.3671875
preconditioned_pos,0.02,2.0,0.23862269087036683,0.0,0.3671875
preconditioned_pos,0.04,2.0,0.25109590095712836,0.0,0.3671875
preconditioned_pos,0.06,2.0,0.26321137496474895,0.0,0.3828125
preconditioned_pos,0.08,2.0,0.27498448266677483,0.0,0.3828125
preconditioned_pos,0.1,2.0,0.2864297221068872,0.0,0.3828125
preconditioned_pos,0.12,2.0,0.29756078065865804,0.0,0.3828125
