mode,m_test,test_phi,seed,order_parameter
baseline,0.01,0.0,1,0.8232196725335206
baseline,0.01,0.0,2,0.7299083557097175
baseline,0.01,0.0,3,0.9399036327245524
baseline,0.01,3.14,1,0.6864277038409216
baseline,0.01,3.14,2,0.7708219122074468
baseline,0.01,3.14,3,0.7871721182352677
baseline,0.02,0.0,1,0.8258197624343209
baseline,0.02,0.0,2,0.8655540352661321
baseline,0.02,0.0,3,0.8886089272931356
baseline,0.02,3.14,1,0.7528939153480668
baseline,0.02,3.14,2,0.7540327473380213
baseline,0.02,3.14,3,0.8555630125147865
baseline,0.04,0.0,1,0.9174540036629991
baseline,0.04,0.0,2,0.9241503932771684
baseline,0.04,0.0,3,0.9173179122615484
baseline,0.04,3.14,1,0.8057571533539335
baseline,0.04,3.14,2,0.7188428894058109
baseline,0.04,3.14,3,0.7357870954719812
baseline,0.06,0.0,1,0.8920757451927173
baseline,0.06,0.0,2,0.9437898699007735
baseline,0.06,0.0,3,0.8727950117978558
baseline,0.06,3.14,1,0.7070744083438686
baseline,0.06,3.14,2,0.7728096631772334
baseline,0.06,3.14,3,0.8184221864409612
baseline,0.08,0.0,1,0.9276958106599166
baseline,0.08,0.0,2,0.89303101499417
baseline,0.08,0.0,3,0.9220133473295945
baseline,0.08,3.14,1,0.740138730773915
baseline,0.08,3.14,2,0.6625584148079172
baseline,0.08,3.14,3,0.7733646447386134
baseline,0.1,0.0,1,0.9362734292250043
baseline,0.1,0.0,2,0.9596370332993758
baseline,0.1,0.0,3,0.9073367255801317
baseline,0.1,3.14,1,0.7911189097037693
baseline,0.1,3.14,2,0.7708134748889011
baseline,0.1,3.14,3,0.8016263866166493
preconditioned_0,0.01,0.0,1,0.4367699423490457
preconditioned_0,0.01,0.0,2,0.32761754519426145
preconditioned_0,0.01,0.0,3,0.3946940194412152
preconditioned_0,0.01,3.14,1,0.3540332480589482
preconditioned_0,0.01,3.14,2,0.5347102199312921
preconditioned_0,0.01,3.14,3,0.33217986458459325
preconditioned_0,0.02,0.0,1,0.5331295463895459
preconditioned_0,0.02,0.0,2,0.3335227776668158
preconditioned_0,0.02,0.0,3,0.4397913949248856
preconditioned_0,0.02,3.14,1,0.37990777706761103
preconditioned_0,0.02,3.14,2,0.35903189167370586
preconditioned_0,0.02,3.14,3,0.37178365467548435
preconditioned_0,0.04,0.0,1,0.41917979288578644
preconditioned_0,0.04,0.0,2,0.3887932462676659
