mode,m_test,test_phi,seed,r_pre,r_wait,r_pulse_b
baseline,0.005,0.0,1,0.9782684225483524,0.9924025697560332,0.961729135484623
baseline,0.005,0.0,2,0.9706908832406842,0.9877220359080592,0.9871664092661434
baseline,0.005,0.0,3,0.97095743952695,0.9858336412805238,0.9838668118578902
baseline,0.005,3.14,1,0.9877686690537233,0.9924108227144269,0.9826268536618599
baseline,0.005,3.14,2,0.9748387594548066,0.9899408078147887,0.9875131896371963
baseline,0.005,3.14,3,0.9736895093578629,0.9763413435717415,0.990143643372771
baseline,0.015,0.0,1,0.9836852530369998,0.9907872801151791,0.9920169856923926
baseline,0.015,0.0,2,,,
baseline,0.015,0.0,3,0.9659196718154157,0.9702081211348492,0.9743354307808745
baseline,0.015,3.14,1,0.9770592060689665,0.989815236764053,0.9966465857431029
baseline,0.015,3.14,2,0.9682537254638841,0.9870236544374962,0.9841170588550265
baseline,0.015,3.14,3,0.9763775487029085,0.9890931256718944,0.9959589037843101
baseline,0.01,0.0,1,0.9743583964931263,0.991548365118765,0.9799824140926274
baseline,0.01,0.0,2,0.9705374336043039,0.9781339579087738,0.9956924180818584
baseline,0.01,0.0,3,0.9764732035220088,0.9804216520729027,0.9831615573829225
baseline,0.01,3.14,1,0.955370637751215,0.9888410188906833,0.9757953487582057
baseline,0.01,3.14,2,0.9742153333611602,0.9677714832252375,0.9121960752776291
baseline,0.01,3.14,3,0.9747448881115952,0.9890380193579064,0.992919768863048
baseline,0.025,0.0,1,0.9755263098112771,0.9853924207691586,0.9943590796386391
baseline,0.025,0.0,2,0.9647391068800074,0.9924311381204097,0.9961369449391465
baseline,0.025,0.0,3,0.9800441617630533,0.9841975710665563,0.9943108692204494
baseline,0.025,3.14,1,0.9831568327977769,0.9820618014048462,0.9707027482728796
baseline,0.025,3.14,2,0.979464151923742,0.9926901714878765,0.9941906220404515
baseline,0.025,3.14,3,0.9772988214421824,0.9791973579668191,0.9932247066913403
baseline,0.02,0.0,1,0.9817359668879159,0.9857386649380877,0.9875011166256471
baseline,0.02,0.0,2,0.966821034940793,0.9886742349504748,0.9970128800690392
baseline,0.02,0.0,3,0.9517073869608914,0.9898071356765076,0.9903053187497428
baseline,0.02,3.14,1,0.9823685745553505,0.9920050743236569,0.9816372354842043
baseline,0.02,3.14,2,0.9739862352517861,0.9688104463489953,0.9502433114400592
baseline,0.02,3.14,3,0.9643818705020679,0.99101915791153,0.9943407680788274
baseline,0.03,0.0,1,0.9781734998981442,0.991974424105606,0.9887063045707692
baseline,0.03,0.0,2,0.9732529883858464,0.990142135566187,0.9931400085654325
baseline,0.03,0.0,3,0.9552814817504638,0.9735720615140414,0.9878229372063185
baseline,0.03,3.14,1,0.9842085187571243,0.9906717912612154,0.9948075113324366
baseline,0.03,3.14,2,0.9735051923084326,0.9870701812569014,0.9921729709420878
baseline,0.03,3.14,3,0.9734052372736738,0.9830557061516509,0.9898938138547129
baseline,0.04,0.0,1,0.0,0.0,0.0
baseline,0.04,0.0,2,0.0,0.0,0.0
baseline,0.04,0.0,3,0.0,0.0,0.0
baseline,0.04,3.14,1,0.0,0.0,0.0
baseline,0.04,3.14,2,0.0,0.0,0.0
baseline,0.04,3.14,3,0.0,0.0,0.0
baseline,0.06,0.0,1,0.0,0.0,0.0
baseline,0.06,0.0,2,0.0,0.0,0.0
baseline,0.06,0.0,3,0.0,0.0,0.0
baseline,0.06,3.14,1,0.0,0.0,0.0
baseline,0.06,3.14,2,0.0,0.0,0.0
baseline,0.06,3.14,3,0.0,0.0,0.0
baseline,0.08,0.0,1,0.0,0.0,0.0
baseline,0.08,0.0,2,0.0,0.0,0.0
baseline,0.08,0.0,3,0.0,0.0,0.0
baseline,0.08,3.14,1,0.0,0.0,0.0
baseline,0.08,3.14,2,0.0,0.0,0.0
baseline,0.08,3.14,3,0.0,0.0,0.0
baseline,0.1,0.0,1,0.0,0.0,0.0
baseline,0.1,0.0,2,0.0,0.0,0.0
baseline,0.1,0.0,3,0.0,0.0,0.0
baseline,0.1,3.14,1,0.0,0.0,0.0
baseline,0.1,3.14,2,0.0,0.0,0.0
baseline,0.1,3.14,3,0.0,0.0,0.0
preconditioned_0,0.005,0.0,1,0.9132909642620262,0.8995380593585494,0.9166062388067967
preconditioned_0,0.005,0.0,2,0.8961770856394966,0.8930271404953313,0.888964916431743
preconditioned_0,0.005,0.0,3,0.8789598225505051,0.8561998268764915,0.854305670208514
preconditioned_0,0.005,3.14,1,0.9361170425669397,0.8966816050899549,0.910476434363565
preconditioned_0,0.005,3.14,2,0.9051539740310878,0.9011166862891993,0.9110140224759482
preconditioned_0,0.005,3.14,3,0.911682400256035,0.8877204104996976,0.8821221003777565
preconditioned_0,0.015,0.0,1,0.9226461578394121,0.8897840939451798,0.9067138973308981
preconditioned_0,0.015,0.0,2,0.9144624482659651,0.8858239954265139,0.8989769150439861
preconditioned_0,0.015,0.0,3,0.9134196974321724,0.8638328444117036,0.8805995407357671
preconditioned_0,0.015,3.14,1,0.9086225232343189,0.9156364130236837,0.8985598951802902
preconditioned_0,0.015,3.14,2,0.9015671940428759,0.8656863696436546,0.8856572484989021
preconditioned_0,0.015,3.14,3,0.9111421875447511,0.8444604302878039,0.8887554804371572
preconditioned_0,0.01,0.0,1,0.8913644298303111,0.8900862421130362,0.8945088368282502
preconditioned_0,0.01,0.0,2,0.9191193332601328,0.889776950149633,0.9160605571518071
preconditioned_0,0.01,0.0,3,0.8583455720440437,0.8442361050835285,0.8632024950162378
preconditioned_0,0.01,3.14,1,0.9243021454519201,0.8764320529340652,0.9035137926375388
preconditioned_0,0.01,3.14,2,0.9119329259527738,0.8824172724676216,0.894881539429014
preconditioned_0,0.01,3.14,3,0.9341114407794295,0.8888882204933681,0.919802256510178
preconditioned_0,0.025,0.0,1,0.9223733154161156,0.8963821331072039,0.867295295530672
preconditioned_0,0.025,0.0,2,0.9395329778757322,0.8958624089484013,0.8952098695833797
preconditioned_0,0.025,0.0,3,0.9166006016092949,0.8987856612129397,0.9104210385674348
preconditioned_0,0.025,3.14,1,0.909598011830856,0.883457845467043,0.8692919258545387
preconditioned_0,0.025,3.14,2,,,
preconditioned_0,0.025,3.14,3,0.892953787807386,0.8887788544733697,0.8628907709674489
preconditioned_0,0.02,0.0,1,0.8888449246691978,0.8794447518536793,0.8547314609183608
preconditioned_0,0.02,0.0,2,0.8918191248166898,0.8959137006194267,0.8890780987320427
preconditioned_0,0.02,0.0,3,0.914835025732116,0.867375095335647,0.8904110113241555
preconditioned_0,0.02,3.14,1,0.8983417066462345,0.8709391813540939,0.8872257676417321
preconditioned_0,0.02,3.14,2,0.9577875175073406,0.8776638871789711,0.915046507873192
preconditioned_0,0.02,3.14,3,0.8657238966231087,0.8495193677047221,0.8720836230928265
preconditioned_0,0.03,0.0,1,0.9154192039037891,0.8683629122090178,0.902460778926653
preconditioned_0,0.03,0.0,2,0.9266374647349038,0.9050016935591497,0.8947416758740215
preconditioned_0,0.03,0.0,3,0.846507805194322,0.8757841918956172,0.851865651033682
preconditioned_0,0.03,3.14,1,0.9344675521930534,0.9106025176289649,0.9181363568831381
preconditioned_0,0.03,3.14,2,0.9137038710516744,0.892867016390217,0.9156400982116386
preconditioned_0,0.03,3.14,3,0.9569270142917112,0.9160220430231323,0.906753774744644
preconditioned_0,0.04,0.0,1,0.0,0.0,0.0
preconditioned_0,0.04,0.0,2,0.0,0.0,0.0
preconditioned_0,0.04,0.0,3,0.0,0.0,0.0
preconditioned_0,0.04,3.14,1,0.0,0.0,0.0
preconditioned_0,0.04,3.14,2,0.0,0.0,0.0
preconditioned_0,0.04,3.14,3,0.0,0.0,0.0
preconditioned_0,0.06,0.0,1,0.0,0.0,0.0
preconditioned_0,0.06,0.0,2,0.0,0.0,0.0
preconditioned_0,0.06,0.0,3,0.0,0.0,0.0
preconditioned_0,0.06,3.14,1,0.0,0.0,0.0
preconditioned_0,0.06,3.14,2,0.0,0.0,0.0
preconditioned_0,0.06,3.14,3,0.0,0.0,0.0
preconditioned_0,0.08,0.0,1,0.0,0.0,0.0
preconditioned_0,0.08,0.0,2,0.0,0.0,0.0
preconditioned_0,0.08,0.0,3,0.0,0.0,0.0
preconditioned_0,0.08,3.14,1,0.0,0.0,0.0
preconditioned_0,0.08,3.14,2,0.0,0.0,0.0
preconditioned_0,0.08,3.14,3,0.0,0.0,0.0
preconditioned_0,0.1,0.0,1,0.0,0.0,0.0
preconditioned_0,0.1,0.0,2,0.0,0.0,0.0
preconditioned_0,0.1,0.0,3,0.0,0.0,0.0
preconditioned_0,0.1,3.14,1,0.0,0.0,0.0
preconditioned_0,0.1,3.14,2,0.0,0.0,0.0
preconditioned_0,0.1,3.14,3,0.0,0.0,0.0
preconditioned_pi,0.005,0.0,1,0.8611533969220002,0.828109165015059,0.8548511441031895
preconditioned_pi,0.005,0.0,2,0.850268163192912,0.8303904175915187,0.8547640302005348
preconditioned_pi,0.005,0.0,3,0.9140656200599956,0.861111758171803,0.8760728935718
preconditioned_pi,0.005,3.14,1,0.9107655885362905,0.8286674312851555,0.8600695937596832
preconditioned_pi,0.005,3.14,2,0.860158745762436,0.8552580715968623,0.8796345759543976
preconditioned_pi,0.005,3.14,3,0.8966735633084986,0.8805243098912452,0.8811427573814028
preconditioned_pi,0.015,0.0,1,0.905322726353949,0.8817853800169193,0.8387250455236708
preconditioned_pi,0.015,0.0,2,0.8925189850819598,0.8688761534559635,0.8919022863933352
