mode,m_test,test_phi,seed,m_pulse_b
baseline,0.005,0.0,1,0.03714458583951055
baseline,0.005,0.0,2,0.05157044492541235
baseline,0.005,0.0,3,0.03666656446617447
baseline,0.005,3.14,1,0.04911372498361554
baseline,0.005,3.14,2,0.048971169287320364
baseline,0.005,3.14,3,0.05000945261370712
baseline,0.015,0.0,1,0.11793672970180308
baseline,0.015,0.0,2,0.11178337898728136
baseline,0.015,0.0,3,0.11595984322779067
baseline,0.015,3.14,1,0.11990950840704116
baseline,0.015,3.14,2,0.1353577667049897
baseline,0.015,3.14,3,0.11698525744060723
baseline,0.01,0.0,1,0.07563207484871177
baseline,0.01,0.0,2,0.09082611564660285
baseline,0.01,0.0,3,0.08711071606898312
baseline,0.01,3.14,1,0.09402761920546315
baseline,0.01,3.14,2,0.08751747204546496
baseline,0.01,3.14,3,0.10241742886547303
baseline,0.025,0.0,1,0.2515097379756321
baseline,0.025,0.0,2,0.22634979813878048
baseline,0.025,0.0,3,0.24507548135305626
baseline,0.025,3.14,1,0.206425737540217
baseline,0.025,3.14,2,0.19662743146189307
baseline,0.025,3.14,3,0.2049445368702659
baseline,0.02,0.0,1,0.2030905501196472
baseline,0.02,0.0,2,0.2041318466213763
baseline,0.02,0.0,3,0.17442479793932417
baseline,0.02,3.14,1,0.15482998470359866
baseline,0.02,3.14,2,0.15274674190427476
baseline,0.02,3.14,3,0.19689026375594987
baseline,0.03,0.0,1,0.27060468025568407
baseline,0.03,0.0,2,0.29318261839166515
baseline,0.03,0.0,3,0.2673946955577987
baseline,0.03,3.14,1,0.28288197387840547
baseline,0.03,3.14,2,0.24775752337002288
baseline,0.03,3.14,3,0.24129946586584605
baseline,0.04,0.0,1,0.0
baseline,0.04,0.0,2,0.0
baseline,0.04,0.0,3,0.0
baseline,0.04,3.14,1,0.0
baseline,0.04,3.14,2,0.0
baseline,0.04,3.14,3,0.0
baseline,0.06,0.0,1,0.0
baseline,0.06,0.0,2,0.0
baseline,0.06,0.0,3,0.0
baseline,0.06,3.14,1,0.0
baseline,0.06,3.14,2,0.0
baseline,0.06,3.14,3,0.0
baseline,0.08,0.0,1,0.0
baseline,0.08,0.0,2,0.0
baseline,0.08,0.0,3,0.0
baseline,0.08,3.14,1,0.0
baseline,0.08,3.14,2,0.0
baseline,0.08,3.14,3,0.0
baseline,0.1,0.0,1,0.0
baseline,0.1,0.0,2,0.0
baseline,0.1,0.0,3,0.0
baseline,0.1,3.14,1,0.0
baseline,0.1,3.14,2,0.0
baseline,0.1,3.14,3,0.0
preconditioned_0,0.005,0.0,1,0.11531941515358168
preconditioned_0,0.005,0.0,2,0.12993576270141863
preconditioned_0,0.005,0.0,3,0.15642368593460448
preconditioned_0,0.005,3.14,1,0.12791711651174104
preconditioned_0,0.005,3.14,2,0.10459155096620915
preconditioned_0,0.005,3.14,3,0.12072349170383116
preconditioned_0,0.015,0.0,1,0.24549027910410495
preconditioned_0,0.015,0.0,2,0.24180845048965505
preconditioned_0,0.015,0.0,3,0.23091244355509147
preconditioned_0,0.015,3.14,1,0.24857125714791345
preconditioned_0,0.015,3.14,2,0.24666189827534296
preconditioned_0,0.015,3.14,3,0.2487331065647781
preconditioned_0,0.01,0.0,1,0.17945147598831068
preconditioned_0,0.01,0.0,2,0.2070281433851296
preconditioned_0,0.01,0.0,3,0.19892722098330332
preconditioned_0,0.01,3.14,1,0.18645328401795713
preconditioned_0,0.01,3.14,2,0.15658232112099887
preconditioned_0,0.01,3.14,3,0.17877510561446236
preconditioned_0,0.025,0.0,1,0.33466939245505833
preconditioned_0,0.025,0.0,2,0.33107235174231575
preconditioned_0,0.025,0.0,3,0.3264519557810482
preconditioned_0,0.025,3.14,1,0.3555518482904552
preconditioned_0,0.025,3.14,2,0.33292947017189106
preconditioned_0,0.025,3.14,3,0.30614178890474114
preconditioned_0,0.02,0.0,1,0.30412773309737395
preconditioned_0,0.02,0.0,2,0.2872300904432916
preconditioned_0,0.02,0.0,3,0.2998248307912442
preconditioned_0,0.02,3.14,1,0.26324225110499266
preconditioned_0,0.02,3.14,2,0.26807672666954874
preconditioned_0,0.02,3.14,3,0.27066221352244435
preconditioned_0,0.03,0.0,1,0.3567402059310271
preconditioned_0,0.03,0.0,2,0.3885907897713254
preconditioned_0,0.03,0.0,3,0.3794951715969752
preconditioned_0,0.03,3.14,1,0.3860944211499276
preconditioned_0,0.03,3.14,2,0.380094813701175
preconditioned_0,0.03,3.14,3,0.431846927514237
preconditioned_0,0.04,0.0,1,0.0
preconditioned_0,0.04,0.0,2,0.0
preconditioned_0,0.04,0.0,3,0.0
preconditioned_0,0.04,3.14,1,0.0
preconditioned_0,0.04,3.14,2,0.0
preconditioned_0,0.04,3.14,3,0.0
preconditioned_0,0.06,0.0,1,0.0
preconditioned_0,0.06,0.0,2,0.0
preconditioned_0,0.06,0.0,3,0.0
preconditioned_0,0.06,3.14,1,0.0
preconditioned_0,0.06,3.14,2,0.0
preconditioned_0,0.06,3.14,3,0.0
preconditioned_0,0.08,0.0,1,0.0
preconditioned_0,0.08,0.0,2,0.0
preconditioned_0,0.08,0.0,3,0.0
preconditioned_0,0.08,3.14,1,0.0
preconditioned_0,0.08,3.14,2,0.0
preconditioned_0,0.08,3.14,3,0.0
preconditioned_0,0.1,0.0,1,0.0
preconditioned_0,0.1,0.0,2,0.0
preconditioned_0,0.1,0.0,3,0.0
preconditioned_0,0.1,3.14,1,0.0
preconditioned_0,0.1,3.14,2,0.0
