model,mode,s_or_mismatch,kappa,seed,metric
abm,grid_sweep,0.01,0.1,1,0.017508338117949322
abm,grid_sweep,0.01,0.1,2,0.4374707031731319
abm,grid_sweep,0.01,0.1,3,0.3557833402988209
abm,grid_sweep,0.01,0.5,1,0.026897874250707655
abm,grid_sweep,0.01,0.5,2,0.0536759848985138
abm,grid_sweep,0.01,0.5,3,
abm,grid_sweep,0.01,1.0,1,0.0317045160674419
abm,grid_sweep,0.01,1.0,2,0.40150752198437195
abm,grid_sweep,0.01,1.0,3,0.013711919638833227
abm,grid_sweep,0.05,0.1,1,0.017508338117949322
abm,grid_sweep,0.05,0.1,2,0.04625808060328073
abm,grid_sweep,0.05,0.1,3,0.008331257217817797
abm,grid_sweep,0.05,0.5,1,0.026897874250707655
abm,grid_sweep,0.05,0.5,2,0.0536759848985138
abm,grid_sweep,0.05,0.5,3,0.4422931005797125
abm,grid_sweep,0.05,1.0,1,0.5313666814333774
abm,grid_sweep,0.05,1.0,2,0.05276734585044538
abm,grid_sweep,0.05,1.0,3,0.013711919638833227
abm,grid_sweep,0.1,0.1,1,0.017508338117949322
abm,grid_sweep,0.1,0.1,2,0.04625808060328073
abm,grid_sweep,0.1,0.1,3,0.48721574503381465
pde,baseline,0.02,0.6,1,0.0
pde,baseline,0.02,0.6,2,0.0
pde,baseline,0.02,0.6,3,0.0
pde,baseline,0.05,0.6,1,0.0
pde,baseline,0.05,0.6,2,0.0
pde,baseline,0.05,0.6,3,0.0
pde,baseline,0.15,0.6,1,1.0
pde,baseline,0.15,0.6,2,1.0
pde,baseline,0.15,0.6,3,1.0
pde,baseline,0.1,0.6,1,0.9296875
pde,baseline,0.1,0.6,2,0.9296875
pde,baseline,0.1,0.6,3,0.9140625
pde,persistence,0.0,0.1,1,1.0
pde,persistence,0.0,0.1,2,1.0
pde,persistence,0.0,0.1,3,1.0
pde,persistence,0.0,0.5,1,1.0
pde,persistence,0.0,0.5,2,1.0
pde,persistence,0.0,0.5,3,1.0
pde,persistence,0.0,0.9,1,1.0
pde,persistence,0.0,0.9,2,1.0
pde,persistence,0.0,0.9,3,1.0
pde,preconditioned,0.02,0.6,1,1.0
pde,preconditioned,0.02,0.6,2,1.0
pde,preconditioned,0.02,0.6,3,1.0
pde,preconditioned,0.05,0.6,1,1.0
pde,preconditioned,0.05,0.6,2,1.0
pde,preconditioned,0.05,0.6,3,1.0
pde,preconditioned,0.15,0.6,1,1.0
pde,preconditioned,0.15,0.6,2,1.0
pde,preconditioned,0.15,0.6,3,1.0
pde,preconditioned,0.1,0.6,1,1.0
pde,preconditioned,0.1,0.6,2,1.0
pde,preconditioned,0.1,0.6,3,1.0
