model,feedback,seed,stability,residue
pde,0.0,100,0.3359375,
pde,0.2,100,0.3359375,
agent,0.0,100,0.3183053888289089,0.36787944117145266
agent,0.5,100,0.46816953404586054,0.3550127069967479
pde,0.0,101,0.3359375,
pde,0.2,101,0.3359375,
agent,0.0,101,0.26457863011800314,0.36787944117145266
agent,0.5,101,0.48761444319903985,0.3516593047679516
pde,0.0,102,0.3359375,
pde,0.2,102,0.3359375,
agent,0.0,102,0.3526861872616348,0.36787944117145266
agent,0.5,102,0.49952577224881545,0.34969277305801094
pde,0.0,103,0.3359375,
pde,0.2,103,0.3359375,
agent,0.0,103,,0.36787944117145266
agent,0.5,103,0.5021126381663126,0.3518847216795589
pde,0.0,104,0.3359375,
pde,0.2,104,0.3359375,
agent,0.0,104,,0.36787944117145266
agent,0.5,104,0.45051271399692333,0.3514957375656494
pde,0.0,105,0.3359375,
pde,0.2,105,0.3359375,
agent,0.0,105,0.3473646278704088,0.36787944117145266
agent,0.5,105,0.4336955856974199,0.35371099992150123
pde,0.0,106,0.3359375,
pde,0.2,106,0.3359375,
agent,0.0,106,0.29459860421205525,0.36787944117145266
agent,0.5,106,0.40000704794724756,0.35801627724291757
pde,0.0,107,0.3359375,
pde,0.2,107,0.3359375,
agent,0.0,107,0.31883088663346876,0.36787944117145266
agent,0.5,107,0.5302174353958098,0.3475340380397684
pde,0.0,108,0.3359375,
pde,0.2,108,0.3359375,
agent,0.0,108,0.3984332989620398,0.36787944117145266
agent,0.5,108,,
pde,0.0,109,0.3359375,
pde,0.2,109,0.3359375,
agent,0.0,109,0.35383356525280163,0.36787944117145266
agent,0.5,109,0.44974213471302293,0.35598157546440534
pde,0.0,110,0.3359375,
pde,0.2,110,0.3359375,
agent,0.0,110,0.31791152596624517,0.36787944117145266
agent,0.5,110,0.3931126743411168,0.3597363238605281
pde,0.0,111,0.3359375,
pde,0.2,111,0.3359375,
agent,0.0,111,0.32416472503574134,0.36787944117145266
agent,0.5,111,,
pde,0.0,112,0.3359375,
pde,0.2,112,0.3359375,
agent,0.0,112,0.39492821057755073,0.36787944117145266
agent,0.5,112,0.5036352937287318,0.3536254311447792
pde,0.0,113,0.3359375,
pde,0.2,113,0.3359375,
agent,0.0,113,0.3660004245354467,0.36787944117145266
agent,0.5,113,0.4854754810441332,0.34998488408707584
pde,0.0,114,0.3359375,
pde,0.2,114,0.3359375,
agent,0.0,114,0.2914915983004507,0.36787944117145266
agent,0.5,114,0.3942391703416434,0.35677600882209554
pde,0.0,115,0.3359375,
pde,0.2,115,0.3359375,
agent,0.0,115,0.27264768494293384,0.36787944117145266
agent,0.5,115,0.46606427713195653,0.3514356510656407
pde,0.0,116,0.3359375,
pde,0.2,116,0.3359375,
agent,0.0,116,0.3572515431837294,0.36787944117145266
agent,0.5,116,0.469005443031434,0.3517210432491526
pde,0.0,117,0.3359375,
pde,0.2,117,0.3359375,
agent,0.0,117,0.3305309802889054,0.36787944117145266
agent,0.5,117,,
pde,0.0,118,0.3359375,
pde,0.2,118,0.3359375,
agent,0.0,118,0.2747482345852623,0.36787944117145266
agent,0.5,118,,
pde,0.0,119,0.3359375,
pde,0.2,119,0.3359375,
agent,0.0,119,0.3327673136868019,0.36787944117145266
agent,0.5,119,,
