active_count_final,active_without_admissible_continuation_total,delta_recouple_events_total,forbidden_occupancy_events_total,inadmissible_edge_add_fraction_max,model,outside_activation_no_recouple_fraction_max,recouple_asymmetry_mean,run_name,seed,signal_outside_domain_fraction_max,signal_outside_domain_fraction_mean,traceability_failure_fraction_max,transitions_count_mean,transitions_to_forbidden_total,variant
,,592,,,rd,0.9411764705882353,,rd_baseline__seed101,101,0.04341979290416549,0.005177456505325881,,,,baseline
,,592,,,rd,0.9411764705882353,,rd_baseline__seed102,102,0.04341979290416549,0.005177456505325881,,,,baseline
,,592,,,rd,0.9411764705882353,,rd_baseline__seed103,103,0.04341979290416549,0.005177456505325881,,,,baseline
,,356,,,rd,0.9225352112676056,,rd_negative_no_recouple__seed101,101,0.2983965217045266,0.10956039274207977,,,,negative_no_recouple
,,356,,,rd,0.9225352112676056,,rd_negative_no_recouple__seed102,102,0.2983965217045266,0.10956039274207977,,,,negative_no_recouple
,,356,,,rd,0.9225352112676056,,rd_negative_no_recouple__seed103,103,0.2983965217045266,0.10956039274207977,,,,negative_no_recouple
1000,0,,0,,fsa,,,fsa_baseline__seed101,101,,,,1000.0,0,baseline
1000,0,,0,,fsa,,,fsa_baseline__seed102,102,,,,1000.0,0,baseline
314,686,,0,,fsa,,,fsa_baseline__seed103,103,,,,349.26666666666665,0,baseline
,,,,0.0,graph,,0.019771124504916023,graph_baseline__seed101,101,,,0.0,,,baseline
,,,,0.0,graph,,0.019012593413279603,graph_baseline__seed102,102,,,0.0,,,baseline
,,,,0.0,graph,,0.018517900839737162,graph_baseline__seed103,103,,,0.0,,,baseline
