step,active_count,mean_residue,transitions_count,forbidden_active_before,active_without_admissible_continuation,transitions_from_forbidden,transitions_to_forbidden
0,1000,1.0,1000,0,0,0,0
1,1000,2.0,1000,0,0,0,0
2,1000,3.0,1000,0,0,0,0
3,1000,4.0,1000,0,0,0,0
4,1000,5.0,1000,0,0,0,0
5,1000,6.0,1000,0,0,0,0
6,1000,7.0,1000,0,0,0,0
7,1000,8.0,1000,0,0,0,0
8,1000,9.0,1000,0,0,0,0
9,1000,10.0,1000,0,0,0,0
10,1000,11.0,1000,0,0,0,0
11,1000,12.0,1000,0,0,0,0
12,1000,13.0,1000,0,0,0,0
13,1000,14.0,1000,0,0,0,0
14,1000,15.0,1000,0,0,0,0
15,1000,16.0,1000,0,0,0,0
16,1000,17.0,1000,0,0,0,0
17,1000,18.0,1000,0,0,0,0
18,1000,19.0,1000,0,0,0,0
19,1000,20.0,1000,0,0,0,0
20,1000,21.0,1000,0,0,0,0
21,1000,22.0,1000,0,0,0,0
22,1000,23.0,1000,0,0,0,0
23,1000,24.0,1000,0,0,0,0
24,1000,25.0,1000,0,0,0,0
25,1000,26.0,1000,0,0,0,0
26,1000,27.0,1000,0,0,0,0
27,1000,28.0,1000,0,0,0,0
28,1000,29.0,1000,0,0,0,0
29,1000,30.0,1000,0,0,0,0
30,1000,31.0,1000,0,0,0,0
31,1000,32.0,1000,0,0,0,0
32,1000,33.0,1000,0,0,0,0
33,1000,34.0,1000,0,0,0,0
34,1000,35.0,1000,0,0,0,0
35,1000,36.0,1000,0,0,0,0
36,1000,37.0,1000,0,0,0,0
37,1000,38.0,1000,0,0,0,0
38,1000,39.0,1000,0,0,0,0
39,1000,40.0,1000,0,0,0,0
40,1000,41.0,1000,0,0,0,0
41,1000,42.0,1000,0,0,0,0
42,1000,43.0,1000,0,0,0,0
43,1000,44.0,1000,0,0,0,0
44,1000,45.0,1000,0,0,0,0
45,1000,46.0,1000,0,0,0,0
46,1000,47.0,1000,0,0,0,0
47,1000,48.0,1000,0,0,0,0
48,1000,49.0,1000,0,0,0,0
49,1000,50.0,1000,0,0,0,0
50,1000,51.0,1000,0,0,0,0
51,1000,52.0,1000,0,0,0,0
52,1000,53.0,1000,0,0,0,0
53,1000,54.0,1000,0,0,0,0
54,1000,55.0,1000,0,0,0,0
55,1000,56.0,1000,0,0,0,0
56,1000,57.0,1000,0,0,0,0
57,1000,58.0,1000,0,0,0,0
58,1000,59.0,1000,0,0,0,0
59,1000,60.0,1000,0,0,0,0
