step,time,active_area,total_signal,max_signal,delta_recouple_events,outside_activation_events,pending_outside_activations,outside_activation_no_recouple_total,outside_activation_events_total,outside_activation_no_recouple_fraction,signal_outside_domain_fraction
0,0.0,28.419999999999998,5.800000000000001,0.2,0,0,0,0,0,0.0,0.0
1,0.1,27.840962000000005,11.5942,0.39980000000000004,0,20,20,0,20,0.0,0.028317607079401765
2,0.2,27.268771446630645,17.3826058,0.5994002,0,24,44,0,44,0.0,0.051736094854841624
3,0.30000000000000004,26.70837589083491,23.165223194200003,0.7988007998000001,0,0,44,0,44,0.0,0.07148174129450555
4,0.4,26.16390917992382,28.942057971005802,0.9973976090084915,0,0,44,0,44,0.0,0.08838824998442113
5,0.5,25.638781032354238,34.7131159130348,1.1945194157414158,0,0,44,0,44,0.0,0.10305094563912341
6,0.6000000000000001,25.135753483355185,40.47840279712176,1.3896348875757454,0,0,44,0,44,0.0,0.11590940722428675
7,0.7000000000000001,24.657011854146855,46.23792439432464,1.5823878382585197,0,0,44,0,44,0.0,0.12729667854698512
8,0.8,24.204232534166565,51.991686469930315,1.7725738325559088,0,0,44,0,44,0.0,0.13747042450145086
9,0.9,23.778647729904975,57.73969478346039,1.9601033014487974,0,8,52,0,52,0.0,0.14663369436927523
10,1.0,23.381106595106356,63.48195508867692,2.1449669098332955,0,0,52,0,52,0.0,0.1549484295986989
11,1.1,23.012132034600775,69.21847313358825,2.3272076058752584,0,8,60,0,60,0.0,0.16254622971941496
12,1.2000000000000002,22.6719726097012,74.94925466045466,2.5068996551776714,0,0,60,0,60,0.0,0.16953442060532814
13,1.3,22.360649196021424,80.6743054057942,2.6841336289201534,0,0,60,0,60,0.0,0.17600214473912293
14,1.4000000000000001,22.07799627320729,86.3936311003884,2.859006048696924,0,12,72,0,72,0.0,0.18202392731033387
15,1.5,21.823697923968105,92.10723746928801,3.0316125054701133,0,0,72,0,72,0.0,0.18766208061250209
16,1.6,21.597318773910743,97.81513023181873,3.202043291974562,0,0,72,0,72,0.0,0.19296980251974025
17,1.7000000000000002,21.39833021302762,103.51731510158692,3.3703808119085825,0,0,72,0,72,0.0,0.19799239330177953
18,1.8,21.22613230907719,109.21379778648533,3.5366982200093764,0,0,72,0,72,0.0,0.20276874057459038
19,1.9000000000000001,21.080071859627218,114.90458398869885,3.701058897640158,0,0,72,0,72,0.0,0.20733240029541905
20,2.0,20.959457040688807,120.58967940471015,3.863516482394573,0,0,72,0,72,0.0,0.21171246111625314
21,2.1,20.86356910252011,126.26908972530542,4.0241152541358405,0,0,72,0,72,0.0,0.21593424136968964
22,2.2,20.791671543130953,131.94282063558012,4.182890740603669,0,0,72,0,72,0.0,0.22001985548695613
23,2.3000000000000003,20.74301716190039,137.61087781494456,4.339870449046871,0,0,72,0,72,0.0,0.22398867764197805
24,2.4000000000000004,20.71685336302363,143.2732669371296,4.495074660888658,0,0,72,0,72,0.0,0.22785772383627667
25,2.5,20.712426043739924,148.92999367019246,4.648517247724742,0,0,72,0,72,0.0,0.23164196878005094
