step,active_count,mean_residue,transitions_count,forbidden_active_before,active_without_admissible_continuation,transitions_from_forbidden,transitions_to_forbidden
0,1000,1.0,1000,0,0,0,0
1,1000,2.0,1000,0,0,0,0
2,832,3.0,832,0,168,0,0
3,757,4.0,757,0,75,0,0
4,716,5.0,716,0,41,0,0
5,655,6.0,655,0,61,0,0
6,616,7.0,616,0,39,0,0
7,561,8.0,561,0,55,0,0
8,518,9.0,518,0,43,0,0
9,470,10.0,470,0,48,0,0
10,421,11.0,421,0,49,0,0
11,385,12.0,385,0,36,0,0
12,357,13.0,357,0,28,0,0
13,340,14.0,340,0,17,0,0
14,314,15.0,314,0,26,0,0
15,314,16.0,314,0,0,0,0
16,314,17.0,314,0,0,0,0
17,314,18.0,314,0,0,0,0
18,314,19.0,314,0,0,0,0
19,314,20.0,314,0,0,0,0
20,314,21.0,314,0,0,0,0
21,314,22.0,314,0,0,0,0
22,314,23.0,314,0,0,0,0
23,314,24.0,314,0,0,0,0
24,314,25.0,314,0,0,0,0
25,314,26.0,314,0,0,0,0
26,314,27.0,314,0,0,0,0
27,314,28.0,314,0,0,0,0
28,314,29.0,314,0,0,0,0
29,314,30.0,314,0,0,0,0
30,314,31.0,314,0,0,0,0
31,314,32.0,314,0,0,0,0
32,314,33.0,314,0,0,0,0
33,314,34.0,314,0,0,0,0
34,314,35.0,314,0,0,0,0
35,314,36.0,314,0,0,0,0
36,314,37.0,314,0,0,0,0
37,314,38.0,314,0,0,0,0
38,314,39.0,314,0,0,0,0
39,314,40.0,314,0,0,0,0
40,314,41.0,314,0,0,0,0
41,314,42.0,314,0,0,0,0
42,314,43.0,314,0,0,0,0
43,314,44.0,314,0,0,0,0
44,314,45.0,314,0,0,0,0
45,314,46.0,314,0,0,0,0
46,314,47.0,314,0,0,0,0
47,314,48.0,314,0,0,0,0
48,314,49.0,314,0,0,0,0
49,314,50.0,314,0,0,0,0
50,314,51.0,314,0,0,0,0
51,314,52.0,314,0,0,0,0
52,314,53.0,314,0,0,0,0
53,314,54.0,314,0,0,0,0
54,314,55.0,314,0,0,0,0
55,314,56.0,314,0,0,0,0
56,314,57.0,314,0,0,0,0
57,314,58.0,314,0,0,0,0
58,314,59.0,314,0,0,0,0
59,314,60.0,314,0,0,0,0
60,314,61.0,314,0,0,0,0
61,314,62.0,314,0,0,0,0
62,314,63.0,314,0,0,0,0
63,314,64.0,314,0,0,0,0
64,314,65.0,314,0,0,0,0
65,314,66.0,314,0,0,0,0
66,314,67.0,314,0,0,0,0
67,314,68.0,314,0,0,0,0
68,314,69.0,314,0,0,0,0
69,314,70.0,314,0,0,0,0
70,314,71.0,314,0,0,0,0
71,314,72.0,314,0,0,0,0
72,314,73.0,314,0,0,0,0
73,314,74.0,314,0,0,0,0
74,314,75.0,314,0,0,0,0
75,314,76.0,314,0,0,0,0
76,314,77.0,314,0,0,0,0
77,314,78.0,314,0,0,0,0
78,314,79.0,314,0,0,0,0
79,314,80.0,314,0,0,0,0
80,314,81.0,314,0,0,0,0
81,314,82.0,314,0,0,0,0
82,314,83.0,314,0,0,0,0
83,314,84.0,314,0,0,0,0
84,314,85.0,314,0,0,0,0
85,314,86.0,314,0,0,0,0
86,314,87.0,314,0,0,0,0
87,314,88.0,314,0,0,0,0
88,314,89.0,314,0,0,0,0
89,314,90.0,314,0,0,0,0
90,314,91.0,314,0,0,0,0
91,314,92.0,314,0,0,0,0
92,314,93.0,314,0,0,0,0
93,314,94.0,314,0,0,0,0
94,314,95.0,314,0,0,0,0
95,314,96.0,314,0,0,0,0
96,314,97.0,314,0,0,0,0
97,314,98.0,314,0,0,0,0
98,314,99.0,314,0,0,0,0
99,314,100.0,314,0,0,0,0
100,314,101.0,314,0,0,0,0
101,314,102.0,314,0,0,0,0
102,314,103.0,314,0,0,0,0
103,314,104.0,314,0,0,0,0
104,314,105.0,314,0,0,0,0
105,314,106.0,314,0,0,0,0
106,314,107.0,314,0,0,0,0
107,314,108.0,314,0,0,0,0
108,314,109.0,314,0,0,0,0
109,314,110.0,314,0,0,0,0
110,314,111.0,314,0,0,0,0
111,314,112.0,314,0,0,0,0
112,314,113.0,314,0,0,0,0
113,314,114.0,314,0,0,0,0
114,314,115.0,314,0,0,0,0
115,314,116.0,314,0,0,0,0
116,314,117.0,314,0,0,0,0
117,314,118.0,314,0,0,0,0
118,314,119.0,314,0,0,0,0
119,314,120.0,314,0,0,0,0
