mechanism,kappa,R_c,seed,order_parameter,mismatch_mean,output_dir
abm,0.01,0.5,1,0.049720620675126656,2.3618859748270142,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.01_Rc_0.5_seed_1
abm,0.01,0.5,2,0.03202644482955058,2.3664356366359387,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.01_Rc_0.5_seed_2
abm,0.01,0.5,3,0.019586359917791563,2.3664062502709085,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.01_Rc_0.5_seed_3
abm,0.01,2.0,1,0.34743751475493106,2.1177186144283255,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.01_Rc_2.0_seed_1
abm,0.01,2.0,2,0.257765816763275,2.275236430489983,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.01_Rc_2.0_seed_2
abm,0.01,2.0,3,0.15062581779171189,2.3827606054892123,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.01_Rc_2.0_seed_3
abm,0.1,0.5,1,0.09198406724391626,2.4007805554895905,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.1_Rc_0.5_seed_1
abm,0.1,0.5,2,0.044721862208082414,2.4197739877040543,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.1_Rc_0.5_seed_2
abm,0.1,0.5,3,0.02555538596094865,2.407006896094179,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.1_Rc_0.5_seed_3
abm,0.1,2.0,1,0.954895392612167,0.6971529260188065,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.1_Rc_2.0_seed_1
abm,0.1,2.0,2,0.950074819907959,0.7165284528696628,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.1_Rc_2.0_seed_2
abm,0.1,2.0,3,0.9510163686951906,0.7249629597440459,outputs/runs/research_emergence_threshold_2026-05-01/jobs/abm_k_0.1_Rc_2.0_seed_3
