mechanism,kappa,D_epsilon,seed,epsilon_mean,epsilon_max,localization_ratio,output_dir
pde,0.01,0.01,10,0.20206349656986156,0.20314731015699983,1.0053637277664527,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.01_D_0.01_seed_10
pde,0.01,0.01,11,0.20219120753867048,0.20315639386105241,1.0047736315249878,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.01_D_0.01_seed_11
pde,0.01,0.01,12,0.20224372733827806,0.20316347246726388,1.004547706577062,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.01_D_0.01_seed_12
pde,0.01,0.1,10,0.20270337094461366,0.20314770699108148,1.0021920506027955,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.01_D_0.1_seed_10
pde,0.01,0.1,11,0.2027175635979947,0.203152927296294,1.002147636793636,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.01_D_0.1_seed_11
pde,0.01,0.1,12,0.2027257978197162,0.2031554172969642,1.002119214633108,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.01_D_0.1_seed_12
pde,0.5,0.01,10,1.4064137887651023,1.4162289874253553,1.006978883980419,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.5_D_0.01_seed_10
pde,0.5,0.01,11,1.4070667407616773,1.4163100841627514,1.0065692288313706,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.5_D_0.01_seed_11
pde,0.5,0.01,12,1.407357890716595,1.4163535365350008,1.0063918679660264,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.5_D_0.01_seed_12
pde,0.5,0.1,10,1.409536215172078,1.4169749256404356,1.0052774170598018,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.5_D_0.1_seed_10
pde,0.5,0.1,11,1.409753211068816,1.4170210641636443,1.0051554080797718,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.5_D_0.1_seed_11
pde,0.5,0.1,12,1.4098669787049176,1.4170394107464819,1.005087311178926,outputs/runs/research_emergence_threshold_2026-05-01/jobs/pde_k_0.5_D_0.1_seed_12
