Starting CA simulation on 128x128 grid for 1000 steps...
Step 0: Active Fraction = 0.0015, Mean Residue = 0.0960
Step 50: Active Fraction = 0.0063, Mean Residue = 0.0125
Step 100: Active Fraction = 0.0095, Mean Residue = 0.0016
Step 150: Active Fraction = 0.0195, Mean Residue = 0.0002
Step 200: Active Fraction = 0.0455, Mean Residue = 0.0000
Step 250: Active Fraction = 0.0943, Mean Residue = 0.0000
Step 300: Active Fraction = 0.1710, Mean Residue = 0.0000
Step 350: Active Fraction = 0.2769, Mean Residue = 0.0000
Step 400: Active Fraction = 0.4149, Mean Residue = 0.0000
Step 450: Active Fraction = 0.5858, Mean Residue = 0.0000
Step 500: Active Fraction = 0.7951, Mean Residue = 0.0000
Step 550: Active Fraction = 0.9252, Mean Residue = 0.0000
Step 600: Active Fraction = 0.9868, Mean Residue = 0.0000
Step 650: Active Fraction = 1.0000, Mean Residue = 0.0000
Step 700: Active Fraction = 1.0000, Mean Residue = 0.0000
Step 750: Active Fraction = 1.0000, Mean Residue = 0.0000
Step 800: Active Fraction = 1.0000, Mean Residue = 0.0000
Step 850: Active Fraction = 1.0000, Mean Residue = 0.0000
Step 900: Active Fraction = 1.0000, Mean Residue = 0.0000
Step 950: Active Fraction = 1.0000, Mean Residue = 0.0000
Simulation complete. Outputs saved to outputs/runs/research_floor_convergence_2026-05-01/jobs/ca_extreme_rg_0.0_seed_2
