case,forcing_s,spatial_offset,seed,alignment_success_rate,residue_max
control,0.08,0.0,42,0.0,0.002652550082696244
hysteretic,0.08,0.0,42,0.37109375,0.07532074983841587
control,0.08,0.0,43,0.0,0.002652550082696244
hysteretic,0.08,0.0,43,0.37109375,0.07532074983841587
control,0.08,0.0,44,0.0,0.002652550082696244
hysteretic,0.08,0.0,44,0.37109375,0.07532074983841587
control,0.08,0.2,42,0.0,0.002652550082696244
hysteretic,0.08,0.2,42,0.37109375,0.07531786324181615
control,0.08,0.2,43,0.0,0.002652550082696244
hysteretic,0.08,0.2,43,0.37109375,0.07531786324181615
control,0.08,0.2,44,0.0,0.002652550082696244
hysteretic,0.08,0.2,44,0.37109375,0.07531786324181615
control,0.08,0.5,42,0.0,0.002652550082696244
hysteretic,0.08,0.5,42,0.1875,0.07554960773931153
control,0.08,0.5,43,0.0,0.002652550082696244
hysteretic,0.08,0.5,43,0.1875,0.07554960773931153
control,0.08,0.5,44,0.0,0.002652550082696244
hysteretic,0.08,0.5,44,0.1875,0.07554960773931153
control,0.1,0.0,42,0.0,0.003312211521844955
hysteretic,0.1,0.0,42,0.37890625,0.07585083811151566
control,0.1,0.0,43,0.0,0.003312211521844955
hysteretic,0.1,0.0,43,0.37890625,0.07585083811151566
control,0.1,0.0,44,0.0,0.003312211521844955
hysteretic,0.1,0.0,44,0.37890625,0.07585083811151566
control,0.1,0.2,42,0.0,0.003312211521844955
hysteretic,0.1,0.2,42,0.3828125,0.07584795597368589
control,0.1,0.2,43,0.0,0.003312211521844955
hysteretic,0.1,0.2,43,0.3828125,0.07584795597368589
control,0.1,0.2,44,0.0,0.003312211521844955
hysteretic,0.1,0.2,44,0.3828125,0.07584795597368589
control,0.1,0.5,42,0.0,0.003312211521844955
hysteretic,0.1,0.5,42,0.19140625,0.07607929343433106
control,0.1,0.5,43,0.0,0.003312211521844955
hysteretic,0.1,0.5,43,0.19140625,0.07607929343433106
control,0.1,0.5,44,0.0,0.003312211521844955
hysteretic,0.1,0.5,44,0.19140625,0.07607929343433106
control,0.12,0.0,42,0.0,0.003970494650507679
hysteretic,0.12,0.0,42,0.39453125,0.07638006599443822
control,0.12,0.0,43,0.0,0.003970494650507679
hysteretic,0.12,0.0,43,0.39453125,0.07638006599443822
control,0.12,0.0,44,0.0,0.003970494650507679
hysteretic,0.12,0.0,44,0.39453125,0.07638006599443822
control,0.12,0.2,42,0.0,0.003970494650507679
hysteretic,0.12,0.2,42,0.39453125,0.07637718829962434
control,0.12,0.2,43,0.0,0.003970494650507679
hysteretic,0.12,0.2,43,0.39453125,0.07637718829962434
control,0.12,0.2,44,0.0,0.003970494650507679
hysteretic,0.12,0.2,44,0.39453125,0.07637718829962434
control,0.12,0.5,42,0.0,0.003970494650507679
hysteretic,0.12,0.5,42,0.19921875,0.07660812021414601
control,0.12,0.5,43,0.0,0.003970494650507679
hysteretic,0.12,0.5,43,0.19921875,0.07660812021414601
control,0.12,0.5,44,0.0,0.003970494650507679
hysteretic,0.12,0.5,44,0.19921875,0.07660812021414601
