model,feedback_strength,seed,stability_metric,residue
pde,0.0,10,0.3359375,
pde,0.05,10,0.3359375,
pde,0.2,10,0.3359375,
agent,0.0,10,0.3784766919006878,0.36787944117145266
agent,0.1,10,0.35348258550124945,0.36394177587373955
agent,0.5,10,0.46616363638490393,0.35437769099590627
pde,0.0,20,0.3359375,
pde,0.05,20,0.3359375,
pde,0.2,20,0.3359375,
agent,0.0,20,0.35850612519527025,0.36787944117145266
agent,0.1,20,0.3662884641715716,0.35931746695745836
agent,0.5,20,,
pde,0.0,30,0.3359375,
pde,0.05,30,0.3359375,
pde,0.2,30,0.3359375,
agent,0.0,30,0.36250533207066377,0.36787944117145266
agent,0.1,30,0.30239270091952597,0.3658030768470939
agent,0.5,30,0.3564217023830849,0.36178224347985866
