mechanism,param_val,seed,order_parameter,mismatch_mean,residue_mean,output_dir
abm,0.01,1,0.3514363481719686,0.44574510107094467,11.596620033994501,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_mr_0.01_seed_1
abm,0.01,2,0.1906759169013435,0.4791185308853709,11.897789768965227,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_mr_0.01_seed_2
abm,0.01,3,0.18001852766747575,0.477214638742089,11.849296207443658,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_mr_0.01_seed_3
abm,0.05,1,0.3514363481719686,2.2287255053547232,57.9831001699725,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_mr_0.05_seed_1
abm,0.05,2,0.1906759169013435,2.395592654426855,59.48894884482613,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_mr_0.05_seed_2
abm,0.05,3,0.18001852766747575,2.3860731937104456,59.246481037218295,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_mr_0.05_seed_3
abm,0.1,1,0.3514363481719686,4.4574510107094465,115.966200339945,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_mr_0.1_seed_1
abm,0.1,2,0.1906759169013435,4.79118530885371,118.97789768965227,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_mr_0.1_seed_2
abm,0.1,3,0.18001852766747575,4.772146387420891,118.49296207443659,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_mr_0.1_seed_3
abm_fv3,0.0,1,0.04210022980260299,2.274290559224234,57.37526556987466,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_fv3_kappa_0_seed_1
abm_fv3,0.0,2,0.020890163940223232,2.2861000367506645,57.69160584882636,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_fv3_kappa_0_seed_2
abm_fv3,0.0,3,0.02015366031630123,2.2755815960195074,57.47458645290078,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_fv3_kappa_0_seed_3
abm_fv4,1.0,1,0.5171307380819322,0.5253247770950823,44.76580953623561,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_fv4_init_seed_1
abm_fv4,1.0,2,0.21772352423085647,0.5304682830137394,45.12369189234435,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_fv4_init_seed_2
abm_fv4,1.0,3,0.06122287452845748,0.530986853228147,45.08193897776466,outputs/runs/research_one_process_stability_2026-05-01/jobs/abm_fv4_init_seed_3
