forcing_s,spacing_d,seed,alignment_success_rate,residue_max
0.08,0.0,42,0.244140625,0.07311390709760153
0.08,0.0,43,0.244140625,0.07311390709760153
0.08,0.0,44,0.244140625,0.07311390709760153
0.08,0.05,42,0.2421875,0.07310712579351906
0.08,0.05,43,0.2421875,0.07310712579351906
0.08,0.05,44,0.2421875,0.07310712579351906
0.08,0.1,42,0.2421875,0.07311221171624734
0.08,0.1,43,0.2421875,0.07311221171624734
0.08,0.1,44,0.2421875,0.07311221171624734
0.08,0.2,42,0.2421875,0.07310712579351906
0.08,0.2,43,0.2421875,0.07310712579351906
0.08,0.2,44,0.2421875,0.07310712579351906
0.08,0.4,42,0.220703125,0.07311221342629157
0.08,0.4,43,0.220703125,0.07311221342629157
0.08,0.4,44,0.220703125,0.07311221342629157
0.1,0.0,42,0.248046875,0.07364819640129906
0.1,0.0,43,0.248046875,0.07364819640129906
0.1,0.0,44,0.248046875,0.07364819640129906
0.1,0.05,42,0.25,0.07364142552675193
0.1,0.05,43,0.25,0.07364142552675193
0.1,0.05,44,0.25,0.07364142552675193
0.1,0.1,42,0.248046875,0.07364650362739063
0.1,0.1,43,0.248046875,0.07364650362739063
0.1,0.1,44,0.248046875,0.07364650362739063
0.1,0.2,42,0.25,0.07364142552675193
0.1,0.2,43,0.25,0.07364142552675193
0.1,0.2,44,0.25,0.07364142552675193
0.1,0.4,42,0.22265625,0.07364650533126145
0.1,0.4,43,0.22265625,0.07364650533126145
0.1,0.4,44,0.22265625,0.07364650533126145
0.12,0.0,42,0.255859375,0.07418160947774921
0.12,0.0,43,0.255859375,0.07418160947774921
0.12,0.0,44,0.255859375,0.07418160947774921
0.12,0.05,42,0.2578125,0.07417484899561959
0.12,0.05,43,0.2578125,0.07417484899561959
0.12,0.05,44,0.2578125,0.07417484899561959
0.12,0.1,42,0.255859375,0.07417991930200668
0.12,0.1,43,0.255859375,0.07417991930200668
0.12,0.1,44,0.255859375,0.07417991930200668
0.12,0.2,42,0.2578125,0.07417484899561959
0.12,0.2,43,0.2578125,0.07417484899561959
0.12,0.2,44,0.2578125,0.07417484899561959
0.12,0.4,42,0.2265625,0.07417992099973549
0.12,0.4,43,0.2265625,0.07417992099973549
0.12,0.4,44,0.2265625,0.07417992099973549
