activation_fraction_of_admissible_mean,corridor_signal_corr,inadmissible_activation_fraction_max,model,recouple_asymmetry_mean,run_name,seed,signal_outside_domain_fraction_max,signal_outside_domain_fraction_mean,traceability_failure_fraction_max,variant
4.8780487804878004e-05,,0.0,ca,,ca_baseline__seed101,101,,,0.0,baseline
0.0,,0.0,ca,,ca_baseline__seed102,102,,,0.0,baseline
6.4516129032258e-05,,0.0,ca,,ca_baseline__seed103,103,,,0.0,baseline
,,0.0,graph,0.019771124504916023,graph_baseline__seed101,101,,,0.0,baseline
,,0.0,graph,0.019012593413279603,graph_baseline__seed102,102,,,0.0,baseline
,,0.0,graph,0.018517900839737162,graph_baseline__seed103,103,,,0.0,baseline
,0.6467661432155782,1.0,rd,,rd_baseline__seed101,101,0.04341979290416549,0.005177456505325881,1.0,baseline
,0.6467661432155782,1.0,rd,,rd_baseline__seed102,102,0.04341979290416549,0.005177456505325881,1.0,baseline
,0.6467661432155782,1.0,rd,,rd_baseline__seed103,103,0.04341979290416549,0.005177456505325881,1.0,baseline
,0.6284322958056439,1.0,rd,,rd_falsify_leak__seed101,101,0.1940476281855774,0.03301939366247741,1.0,falsify_leak
,0.6284322958056439,1.0,rd,,rd_falsify_leak__seed102,102,0.1940476281855774,0.03301939366247741,1.0,falsify_leak
,0.6284322958056439,1.0,rd,,rd_falsify_leak__seed103,103,0.1940476281855774,0.03301939366247741,1.0,falsify_leak
