step,active_fraction,mean_mismatch,mean_residue,admissible_cells,activation_events,activation_fraction_of_admissible,inadmissible_update_count,inadmissible_update_fraction,inadmissible_activation_count,inadmissible_activation_fraction,traceability_failure_count,traceability_failure_fraction,trace_depth_mean
0,0.0400390625,0.019639567077509225,0.10100195312499999,164,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1,0.02978515625,0.019649659766124754,0.10148119140624998,122,0,0.0,0,0.0,0,0.0,0,0.0,0.0
2,0.029296875,0.01963798909203061,0.10193122324218748,120,0,0.0,0,0.0,0,0.0,0,0.0,0.0
3,0.032958984375,0.01962558935166481,0.1025598602285156,135,0,0.0,0,0.0,0,0.0,0,0.0,0.0
4,0.03369140625,0.019573070339569707,0.10321883193873047,138,0,0.0,0,0.0,0,0.0,0,0.0,0.0
5,0.03466796875,0.019574821742064978,0.10392004205684313,142,0,0.0,0,0.0,0,0.0,0,0.0,0.0
6,0.033935546875,0.019516328867454705,0.10457761898002471,139,0,0.0,0,0.0,0,0.0,0,0.0,0.0
7,0.033447265625,0.01943466993624099,0.10520420607147446,137,0,0.0,0,0.0,0,0.0,0,0.0,0.0
8,0.0263671875,0.01934573472271077,0.10547052338575977,108,0,0.0,0,0.0,0,0.0,0,0.0,0.0
9,0.026123046875,0.01925803956814786,0.10572197049565216,107,0,0.0,0,0.0,0,0.0,0,0.0,0.0
10,0.023681640625,0.019146057611852063,0.10584883282194564,97,0,0.0,0,0.0,0,0.0,0,0.0,0.0
11,0.01708984375,0.01906345713972864,0.10564483668122612,70,0,0.0,0,0.0,0,0.0,0,0.0,0.0
12,0.004638671875,0.019035381913776423,0.10482032190816391,19,0,0.0,0,0.0,0,0.0,0,0.0,0.0
13,0.0068359375,0.019029520974550372,0.10411391556408225,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
14,0.004150390625,0.01901371797276654,0.10328029593969144,17,0,0.0,0,0.0,0,0.0,0,0.0,0.0
15,0.007568359375,0.01898637667733066,0.1026259109490445,31,0,0.0,0,0.0,0,0.0,0,0.0,0.0
16,0.007080078125,0.01894666108868651,0.10195365574580408,29,0,0.0,0,0.0,0,0.0,0,0.0,0.0
17,0.00634765625,0.01891614081780184,0.10125150200084598,26,0,0.0,0,0.0,0,0.0,0,0.0,0.0
18,0.00341796875,0.018903116089565433,0.10040988541833754,14,0,0.0,0,0.0,0,0.0,0,0.0,0.0
19,0.002685546875,0.018910625822472184,0.09954006390790418,11,0,0.0,0,0.0,0,0.0,0,0.0,0.0
20,0.00439453125,0.018923678884355578,0.0987643898313251,18,0,0.0,0,0.0,0,0.0,0,0.0,0.0
21,0.0048828125,0.018924066567462268,0.09802088655801193,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0
22,0.0048828125,0.01892361504400763,0.09728481831743177,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0
23,0.0068359375,0.018926227762734484,0.09665376700925744,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
24,0.008056640625,0.018918776534768242,0.09609006137041488,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
25,0.003173828125,0.018930823601466074,0.09528785216296072,13,0,0.0,0,0.0,0,0.0,0,0.0,0.0
26,0.005126953125,0.018946251697723914,0.09459132129758113,21,0,0.0,0,0.0,0,0.0,0,0.0,0.0
27,0.0068359375,0.01893689349443851,0.09398720495960527,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
28,0.010009765625,0.01888089862871923,0.09354782119125925,41,0,0.0,0,0.0,0,0.0,0,0.0,0.0
29,0.004638671875,0.018838019249325502,0.09284427657309663,19,0,0.0,0,0.0,0,0.0,0,0.0,0.0
30,0.006103515625,0.018824761135044173,0.09222100958861568,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0
31,0.005126953125,0.018834472309764178,0.09155514714897951,21,0,0.0,0,0.0,0,0.0,0,0.0,0.0
32,0.005859375,0.01884528608800393,0.09093256442748976,24,0,0.0,0,0.0,0,0.0,0,0.0,0.0
33,0.005859375,0.01884549106109906,0.09031620753321486,24,0,0.0,0,0.0,0,0.0,0,0.0,0.0
34,0.00634765625,0.018842742226065766,0.08973042827038269,26,0,0.0,0,0.0,0,0.0,0,0.0,0.0
35,0.006103515625,0.018845615541274324,0.08913829976892886,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0
36,0.0048828125,0.01884015923329775,0.08849105739623961,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0
37,0.0048828125,0.018836348277029444,0.08785028744727719,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0
38,0.00439453125,0.018826930581848655,0.0871915111353044,18,0,0.0,0,0.0,0,0.0,0,0.0,0.0
39,0.0087890625,0.018814668429506666,0.08675904914895136,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
40,0.008544921875,0.018790799812964103,0.08631870475121185,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
41,0.010009765625,0.01874376003707786,0.08595600598494971,41,0,0.0,0,0.0,0,0.0,0,0.0,0.0
42,0.005859375,0.018743057160800214,0.08538941467510022,24,0,0.0,0,0.0,0,0.0,0,0.0,0.0
43,0.0068359375,0.018745709394377964,0.08487731740334924,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
44,0.008056640625,0.01874798327203386,0.08443137626056574,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
45,0.0087890625,0.018730953976546783,0.08402651562296007,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
46,0.006591796875,0.018743756520123375,0.08351584031048048,27,0,0.0,0,0.0,0,0.0,0,0.0,0.0
47,0.007080078125,0.018737367976435916,0.08303468581362569,29,0,0.0,0,0.0,0,0.0,0,0.0,0.0
48,0.007080078125,0.01873811442275681,0.08255834286173941,29,0,0.0,0,0.0,0,0.0,0,0.0,0.0
49,0.004150390625,0.01873917476826002,0.08194027896437203,17,0,0.0,0,0.0,0,0.0,0,0.0,0.0
50,0.004150390625,0.018749634946299748,0.0813283957059783,17,0,0.0,0,0.0,0,0.0,0,0.0,0.0
51,0.004150390625,0.018767774906581138,0.08072263128016852,17,0,0.0,0,0.0,0,0.0,0,0.0,0.0
52,0.007568359375,0.018752024506749117,0.08029382293611682,31,0,0.0,0,0.0,0,0.0,0,0.0,0.0
53,0.0107421875,0.01871282106354994,0.08002799408175566,44,0,0.0,0,0.0,0,0.0,0,0.0,0.0
54,0.00927734375,0.018697488666961665,0.07969158132843811,38,0,0.0,0,0.0,0,0.0,0,0.0,0.0
55,0.008056640625,0.018697544178229476,0.07929749754640372,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
56,0.009765625,0.01868409990635627,0.07899280382093968,40,0,0.0,0,0.0,0,0.0,0,0.0,0.0
57,0.010498046875,0.018670496121158835,0.07872777812648028,43,0,0.0,0,0.0,0,0.0,0,0.0,0.0
58,0.00634765625,0.018673542173055512,0.07825788315771551,26,0,0.0,0,0.0,0,0.0,0,0.0,0.0
59,0.0068359375,0.018658579828620864,0.07781710120113833,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
60,0.006591796875,0.018665085628551813,0.07736852003287695,27,0,0.0,0,0.0,0,0.0,0,0.0,0.0
61,0.008544921875,0.018659829580871923,0.07702208092629818,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
62,0.00537109375,0.018663800987712746,0.07652041480453521,22,0,0.0,0,0.0,0,0.0,0,0.0,0.0
63,0.008544921875,0.018655849072434644,0.07618245675023985,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
64,0.0078125,0.0186581058124499,0.07581125718273746,32,0,0.0,0,0.0,0,0.0,0,0.0,0.0
65,0.007080078125,0.018666110243753586,0.07540714851716006,29,0,0.0,0,0.0,0,0.0,0,0.0,0.0
66,0.0107421875,0.01864088631462954,0.07519018640698846,44,0,0.0,0,0.0,0,0.0,0,0.0,0.0
67,0.009521484375,0.018621995405800833,0.0749143587616686,39,0,0.0,0,0.0,0,0.0,0,0.0,0.0
68,0.008056640625,0.018621077909100114,0.07456804720530191,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
69,0.010009765625,0.018605252806213987,0.0743228550144989,41,0,0.0,0,0.0,0,0.0,0,0.0,0.0
70,0.008056640625,0.018579337192975137,0.07398245849560389,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
71,0.0078125,0.01857513295777971,0.07363325891064784,32,0,0.0,0,0.0,0,0.0,0,0.0,0.0
72,0.009521484375,0.01858445082246707,0.07337300054029137,39,0,0.0,0,0.0,0,0.0,0,0.0,0.0
73,0.00732421875,0.01856754222811341,0.07300548147238847,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0
74,0.009521484375,0.01856743136882421,0.07275150087641458,39,0,0.0,0,0.0,0,0.0,0,0.0,0.0
75,0.007568359375,0.018576701499902905,0.07240240383640043,31,0,0.0,0,0.0,0,0.0,0,0.0,0.0
76,0.007080078125,0.018581326300756408,0.07203238370428641,29,0,0.0,0,0.0,0,0.0,0,0.0,0.0
77,0.0078125,0.018593278844067182,0.07170268486724357,32,0,0.0,0,0.0,0,0.0,0,0.0,0.0
78,0.01025390625,0.018579121753978724,0.07149835333107114,42,0,0.0,0,0.0,0,0.0,0,0.0,0.0
79,0.008056640625,0.018545815189412736,0.07118620182901042,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
80,0.01123046875,0.01851866435589454,0.0710358632482203,46,0,0.0,0,0.0,0,0.0,0,0.0,0.0
81,0.010498046875,0.01850228532713634,0.0708504069594881,43,0,0.0,0,0.0,0,0.0,0,0.0,0.0
82,0.00830078125,0.0185027640505789,0.07055694195239323,34,0,0.0,0,0.0,0,0.0,0,0.0,0.0
83,0.008544921875,0.018501643462522064,0.0702786186266193,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
84,0.009521484375,0.018494624044126315,0.0700519066591031,39,0,0.0,0,0.0,0,0.0,0,0.0,0.0
85,0.010009765625,0.01850229362005485,0.06985187587376206,41,0,0.0,0,0.0,0,0.0,0,0.0,0.0
86,0.0068359375,0.018504594084310027,0.06949515399002446,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
87,0.0087890625,0.01850450638608206,0.06923965557512421,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
88,0.010498046875,0.018508353357627353,0.06907216136312297,43,0,0.0,0,0.0,0,0.0,0,0.0,0.0
89,0.00830078125,0.018513885818065484,0.06879647881199173,34,0,0.0,0,0.0,0,0.0,0,0.0,0.0
90,0.00927734375,0.018512194511950908,0.06857238121137181,38,0,0.0,0,0.0,0,0.0,0,0.0,0.0
91,0.01318359375,0.018497079505953716,0.0685458370867581,54,0,0.0,0,0.0,0,0.0,0,0.0,0.0
92,0.0126953125,0.01846601136506595,0.06849514434089052,52,0,0.0,0,0.0,0,0.0,0,0.0,0.0
93,0.0107421875,0.01845046475439066,0.06834730227248162,44,0,0.0,0,0.0,0,0.0,0,0.0,0.0
94,0.009521484375,0.01843275047156385,0.06813990346850679,39,0,0.0,0,0.0,0,0.0,0,0.0,0.0
95,0.00927734375,0.0184270928955748,0.06792237162132173,38,0,0.0,0,0.0,0,0.0,0,0.0,0.0
96,0.01171875,0.01843617049394978,0.06782908540510851,48,0,0.0,0,0.0,0,0.0,0,0.0,0.0
97,0.0068359375,0.01843383916944978,0.06749259142605743,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
98,0.007568359375,0.018431944362625744,0.06719608348054686,31,0,0.0,0,0.0,0,0.0,0,0.0,0.0
99,0.0087890625,0.0184411266590903,0.06696357577074138,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
100,0.0087890625,0.01842963737934339,0.06673339313803398,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
101,0.0087890625,0.01841833540151034,0.06650551233165364,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
102,0.009765625,0.018409393514509702,0.06632873845833709,40,0,0.0,0,0.0,0,0.0,0,0.0,0.0
103,0.0107421875,0.018392778470736726,0.06620256044875372,44,0,0.0,0,0.0,0,0.0,0,0.0,0.0
104,0.01171875,0.018367331041486454,0.06612647234426619,48,0,0.0,0,0.0,0,0.0,0,0.0,0.0
105,0.0087890625,0.01835079465565428,0.06590466074582352,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
106,0.008544921875,0.018352885774317734,0.06567286023211527,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
107,0.006591796875,0.01833624477542002,0.06534572147354413,27,0,0.0,0,0.0,0,0.0,0,0.0,0.0
108,0.010498046875,0.018322624621463182,0.06521716660255869,43,0,0.0,0,0.0,0,0.0,0,0.0,0.0
109,0.01318359375,0.018320545127673938,0.06522417462403311,54,0,0.0,0,0.0,0,0.0,0,0.0,0.0
110,0.009521484375,0.01832276264529216,0.06504800709654276,39,0,0.0,0,0.0,0,0.0,0,0.0,0.0
