step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
0,0.0,0.05427791426900959,133,5.32,124,0,0.0,0,0.0,0,0.0,0.0
1,0.05,0.05543338865933987,133,5.32,127,0,0.0,0,0.0,0,0.0,0.0
2,0.1,0.05660262358898689,137,5.48,127,4,0.031496062992125984,0,0.0,0,0.0,0.0
3,0.15000000000000002,0.05777710506609386,140,5.6,124,3,0.024193548387096774,0,0.0,0,0.0,0.0
4,0.2,0.05895974765335926,144,5.76,122,4,0.03278688524590164,0,0.0,0,0.0,0.0
5,0.25,0.06013988854477863,141,5.64,118,0,0.0,0,0.0,0,0.0,0.0
6,0.30000000000000004,0.06124564330434874,141,5.64,117,1,0.008547008547008548,0,0.0,0,0.0,0.0
7,0.35000000000000003,0.06242033360670212,142,5.68,119,2,0.01680672268907563,0,0.0,0,0.0,0.0
8,0.4,0.06355901224395197,145,5.8,120,3,0.025,0,0.0,0,0.0,0.0
9,0.45,0.06470961150777217,147,5.88,117,2,0.017094017094017096,0,0.0,0,0.0,0.0
10,0.5,0.06587526625656377,149,5.96,112,3,0.026785714285714284,0,0.0,0,0.0,0.0
11,0.55,0.06700391491959538,148,5.92,112,0,0.0,0,0.0,0,0.0,0.0
12,0.6000000000000001,0.06813506172390021,150,6.0,112,4,0.03571428571428571,0,0.0,0,0.0,0.0
13,0.65,0.06933464242245964,152,6.08,106,2,0.018867924528301886,0,0.0,0,0.0,0.0
14,0.7000000000000001,0.07053891300138243,156,6.24,105,5,0.047619047619047616,0,0.0,0,0.0,0.0
15,0.75,0.07171956201157785,156,6.24,102,0,0.0,0,0.0,0,0.0,0.0
16,0.8,0.07290880666240472,157,6.28,100,3,0.03,0,0.0,0,0.0,0.0
17,0.8500000000000001,0.07412830894830721,159,6.36,100,2,0.02,0,0.0,0,0.0,0.0
18,0.9,0.0753579636775148,160,6.4,96,1,0.010416666666666666,0,0.0,0,0.0,0.0
19,0.9500000000000001,0.07658829606089809,163,6.52,96,3,0.03125,0,0.0,0,0.0,0.0
20,1.0,0.07781945443666428,164,6.56,95,2,0.021052631578947368,0,0.0,0,0.0,0.0
21,1.05,0.07900698979628142,165,6.6,94,1,0.010638297872340425,0,0.0,0,0.0,0.0
22,1.1,0.0802028167929824,167,6.68,93,2,0.021505376344086023,0,0.0,0,0.0,0.0
23,1.1500000000000001,0.0814099472981985,167,6.68,91,0,0.0,0,0.0,0,0.0,0.0
24,1.2000000000000002,0.08262543465501167,171,6.84,91,5,0.054945054945054944,0,0.0,0,0.0,0.0
25,1.25,0.08380371274607376,173,6.92,88,2,0.022727272727272728,0,0.0,0,0.0,0.0
26,1.3,0.08499853007812844,175,7.0,86,2,0.023255813953488372,0,0.0,0,0.0,0.0
27,1.35,0.08620010197453974,178,7.12,82,4,0.04878048780487805,0,0.0,0,0.0,0.0
28,1.4000000000000001,0.08740118618387765,180,7.2,79,2,0.02531645569620253,0,0.0,0,0.0,0.0
29,1.4500000000000002,0.08861537656699955,180,7.2,77,0,0.0,0,0.0,0,0.0,0.0
30,1.5,0.0898351989164367,179,7.16,78,0,0.0,0,0.0,0,0.0,0.0
31,1.55,0.09105774419350064,179,7.16,79,1,0.012658227848101266,0,0.0,0,0.0,0.0
32,1.6,0.09228272633575392,181,7.24,78,2,0.02564102564102564,0,0.0,0,0.0,0.0
33,1.6500000000000001,0.093507990645371,182,7.28,78,1,0.01282051282051282,0,0.0,0,0.0,0.0
34,1.7000000000000002,0.09473732230742224,182,7.28,82,1,0.012195121951219513,0,0.0,0,0.0,0.0
35,1.75,0.09591883460551069,185,7.4,82,3,0.036585365853658534,0,0.0,0,0.0,0.0
36,1.8,0.09710295783702391,186,7.44,84,1,0.011904761904761904,0,0.0,0,0.0,0.0
37,1.85,0.09828990303412996,187,7.48,84,1,0.011904761904761904,0,0.0,0,0.0,0.0
38,1.9000000000000001,0.09948058917480777,189,7.56,86,2,0.023255813953488372,0,0.0,0,0.0,0.0
39,1.9500000000000002,0.10067450670149068,191,7.64,86,2,0.023255813953488372,0,0.0,0,0.0,0.0
40,2.0,0.10185900913900457,192,7.68,86,1,0.011627906976744186,0,0.0,0,0.0,0.0
41,2.0500000000000003,0.10303960405596826,192,7.68,86,1,0.011627906976744186,0,0.0,0,0.0,0.0
42,2.1,0.1042412902753949,193,7.72,86,1,0.011627906976744186,0,0.0,0,0.0,0.0
43,2.15,0.10544901736893282,195,7.8,91,2,0.02197802197802198,0,0.0,0,0.0,0.0
44,2.2,0.10666098157247235,197,7.88,90,2,0.022222222222222223,0,0.0,0,0.0,0.0
45,2.25,0.10787929966086543,197,7.88,88,1,0.011363636363636364,0,0.0,0,0.0,0.0
46,2.3000000000000003,0.10913082624526652,197,7.88,89,1,0.011235955056179775,0,0.0,0,0.0,0.0
47,2.35,0.11035321053351325,197,7.88,91,2,0.02197802197802198,0,0.0,0,0.0,0.0
48,2.4000000000000004,0.1114784613761173,199,7.96,92,3,0.03260869565217391,0,0.0,0,0.0,0.0
49,2.45,0.11262293368130068,201,8.04,92,2,0.021739130434782608,0,0.0,0,0.0,0.0
50,2.5,0.11377799684319106,203,8.12,91,2,0.02197802197802198,0,0.0,0,0.0,0.0
51,2.5500000000000003,0.11493697714696759,203,8.12,93,2,0.021505376344086023,0,0.0,0,0.0,0.0
52,2.6,0.11613124965669461,207,8.28,92,5,0.05434782608695652,0,0.0,0,0.0,0.0
53,2.6500000000000004,0.11734163397581115,208,8.32,87,1,0.011494252873563218,0,0.0,0,0.0,0.0
54,2.7,0.11855878543494118,211,8.44,86,3,0.03488372093023256,0,0.0,0,0.0,0.0
