step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
0,0.0,0.18893078650525402,130,5.2,134,2,0.014925373134328358,0,0.0,0,0.0,0.0
1,0.05,0.18921593884728838,131,5.24,128,1,0.0078125,0,0.0,0,0.0,0.0
2,0.1,0.18949856017459443,135,5.4,128,4,0.03125,0,0.0,0,0.0,0.0
3,0.15000000000000002,0.18975741321530407,135,5.4,126,1,0.007936507936507936,0,0.0,0,0.0,0.0
4,0.2,0.19006610050945172,138,5.52,126,3,0.023809523809523808,0,0.0,0,0.0,0.0
5,0.25,0.19037326876966437,142,5.68,125,5,0.04,0,0.0,0,0.0,0.0
6,0.30000000000000004,0.1907168646041359,146,5.84,119,4,0.03361344537815126,0,0.0,0,0.0,0.0
7,0.35000000000000003,0.19105623353669945,149,5.96,114,3,0.02631578947368421,0,0.0,0,0.0,0.0
8,0.4,0.19139333207207965,151,6.04,110,2,0.01818181818181818,0,0.0,0,0.0,0.0
9,0.45,0.19172852510055952,158,6.32,106,7,0.0660377358490566,0,0.0,0,0.0,0.0
10,0.5,0.19205978668261353,160,6.4,99,2,0.020202020202020204,0,0.0,0,0.0,0.0
11,0.55,0.1923887046851706,161,6.44,95,1,0.010526315789473684,0,0.0,0,0.0,0.0
12,0.6000000000000001,0.19271635582804866,160,6.4,94,0,0.0,0,0.0,0,0.0,0.0
13,0.65,0.19300457711695618,161,6.44,94,1,0.010638297872340425,0,0.0,0,0.0,0.0
14,0.7000000000000001,0.19328989343378883,163,6.52,90,2,0.022222222222222223,0,0.0,0,0.0,0.0
15,0.75,0.1935738902826803,164,6.56,88,1,0.011363636363636364,0,0.0,0,0.0,0.0
16,0.8,0.19385640528474735,168,6.72,87,4,0.04597701149425287,0,0.0,0,0.0,0.0
17,0.8500000000000001,0.19413938505213024,167,6.68,84,0,0.0,0,0.0,0,0.0,0.0
18,0.9,0.19444757164309212,168,6.72,84,1,0.011904761904761904,0,0.0,0,0.0,0.0
19,0.9500000000000001,0.1947549760616563,167,6.68,83,1,0.012048192771084338,0,0.0,0,0.0,0.0
