step,active_count,mean_residue
0,1000,1.0
1,688,2.0
2,557,3.0
3,497,4.0
4,457,5.0
5,423,6.0
6,396,7.0
7,366,8.0
8,326,9.0
9,302,10.0
10,275,11.0
11,257,12.0
12,236,13.0
13,220,14.0
14,200,15.0
15,180,16.0
16,167,17.0
17,155,18.0
18,141,19.0
19,131,20.0
20,121,21.0
21,112,22.0
22,103,23.0
23,91,24.0
24,83,25.0
25,81,26.0
26,76,27.0
27,68,28.0
28,59,29.0
29,51,30.0
30,51,31.0
31,51,32.0
32,51,33.0
33,51,34.0
34,51,35.0
35,51,36.0
36,51,37.0
37,51,38.0
38,51,39.0
39,51,40.0
40,51,41.0
41,51,42.0
42,51,43.0
43,51,44.0
44,51,45.0
45,51,46.0
46,51,47.0
47,51,48.0
48,51,49.0
49,51,50.0
50,51,51.0
51,51,52.0
52,51,53.0
53,51,54.0
54,51,55.0
55,51,56.0
56,51,57.0
57,51,58.0
58,51,59.0
59,51,60.0
60,51,61.0
61,51,62.0
62,51,63.0
63,51,64.0
64,51,65.0
65,51,66.0
66,51,67.0
67,51,68.0
68,51,69.0
69,51,70.0
70,51,71.0
71,51,72.0
72,51,73.0
73,51,74.0
74,51,75.0
75,51,76.0
76,51,77.0
77,51,78.0
78,51,79.0
79,51,80.0
80,51,81.0
81,51,82.0
82,51,83.0
83,51,84.0
84,51,85.0
85,51,86.0
86,51,87.0
87,51,88.0
88,51,89.0
89,51,90.0
90,51,91.0
91,51,92.0
92,51,93.0
93,51,94.0
94,51,95.0
95,51,96.0
96,51,97.0
97,51,98.0
98,51,99.0
99,51,100.0
