vector,test_name,mechanism,seed,alignment_success_rate,epsilon_max,output_dir
FV-3,pde_kappa_0,pde,42,0.37109375,0.30322686035199853,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_pde_kappa_0_seed_42
FV-3,pde_kappa_0,pde,43,0.37109375,0.30322686035199853,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_pde_kappa_0_seed_43
FV-3,pde_kappa_0,pde,44,0.37109375,0.30322686035199853,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_pde_kappa_0_seed_44
FV-3,pde_lambda_R_0,pde,42,0.37109375,0.30440871940038955,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_pde_lambda_R_0_seed_42
FV-3,pde_lambda_R_0,pde,43,0.37109375,0.30440871940038955,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_pde_lambda_R_0_seed_43
FV-3,pde_lambda_R_0,pde,44,0.37109375,0.30440871940038955,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_pde_lambda_R_0_seed_44
FV-3,pde_h_0,pde,42,0.37109375,0.30552095883442504,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_pde_h_0_seed_42
FV-3,pde_h_0,pde,43,0.37109375,0.30552095883442504,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_pde_h_0_seed_43
FV-3,pde_h_0,pde,44,0.37109375,0.30552095883442504,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_pde_h_0_seed_44
FV-4,pde_uniform_noise,pde,42,0.55078125,0.0730387901808119,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-4_pde_uniform_noise_seed_42
FV-4,pde_uniform_noise,pde,43,0.55078125,0.0730392119406141,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-4_pde_uniform_noise_seed_43
FV-4,pde_uniform_noise,pde,44,0.55078125,0.07588695738179378,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-4_pde_uniform_noise_seed_44
FV-3,agent_kappa_0,agent,42,,0.0,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_agent_kappa_0_seed_42
FV-3,agent_kappa_0,agent,43,0.2683136921149703,0.0,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_agent_kappa_0_seed_43
FV-3,agent_kappa_0,agent,44,,0.0,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-3_agent_kappa_0_seed_44
FV-4,agent_random_R_c,agent,42,0.2755759326183378,0.0,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-4_agent_random_R_c_seed_42
FV-4,agent_random_R_c,agent,43,0.31986438358655145,0.0,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-4_agent_random_R_c_seed_43
FV-4,agent_random_R_c,agent,44,,0.0,outputs\runs\research_resolution_falsification_2026-05-03\jobs\FV-4_agent_random_R_c_seed_44
