resolution_param,forcing_s,alignment_success_rate
32,0.05,0.34375
32,0.08,0.34375
32,0.1,0.34375
32,0.12,0.34375
32,0.15,0.40625
64,0.05,0.328125
64,0.08,0.359375
64,0.1,0.359375
64,0.12,0.359375
64,0.15,0.390625
128,0.05,0.3359375
128,0.08,0.3515625
128,0.1,0.3671875
128,0.12,0.3671875
128,0.15,0.3984375
256,0.05,0.33984375
256,0.08,0.35546875
256,0.1,0.36328125
256,0.12,0.37109375
256,0.15,0.39453125
512,0.05,0.337890625
512,0.08,0.353515625
512,0.1,0.361328125
512,0.12,0.373046875
512,0.15,0.392578125
