model,resolution,seed,metric_value
pde,32,10,0.34375
pde,32,20,0.34375
pde,32,30,0.34375
pde,32,40,0.34375
pde,32,50,0.34375
pde,512,10,0.322265625
pde,512,20,0.322265625
pde,512,30,0.322265625
pde,512,40,0.322265625
pde,512,50,0.322265625
agent,100,10,
agent,100,20,0.4733403212085024
agent,100,30,0.28299277076469115
agent,100,40,0.4490634523283801
agent,100,50,0.31694069244967565
agent,1600,10,0.015233980129441705
agent,1600,20,0.03146167347450251
agent,1600,30,0.009986963839569887
agent,1600,40,0.014896668551685626
agent,1600,50,0.021780971585773346
