step,active_count,mean_residue
0,100,1.0
1,100,2.0
2,100,3.0
3,100,4.0
4,100,5.0
5,100,6.0
6,100,7.0
7,100,8.0
8,100,9.0
9,100,10.0
10,100,11.0
11,100,12.0
12,100,13.0
13,100,14.0
14,100,15.0
15,100,16.0
16,100,17.0
17,100,18.0
18,100,19.0
19,100,20.0
20,100,21.0
21,100,22.0
22,100,23.0
23,100,24.0
24,100,25.0
25,100,26.0
26,100,27.0
27,100,28.0
28,100,29.0
29,100,30.0
30,100,31.0
31,100,32.0
32,100,33.0
33,100,34.0
34,100,35.0
35,100,36.0
36,100,37.0
37,100,38.0
38,100,39.0
39,100,40.0
40,100,41.0
41,100,42.0
42,100,43.0
43,100,44.0
44,100,45.0
45,100,46.0
46,100,47.0
47,100,48.0
48,100,49.0
49,100,50.0
50,100,51.0
51,100,52.0
52,100,53.0
53,100,54.0
54,100,55.0
55,100,56.0
56,100,57.0
57,100,58.0
58,100,59.0
59,100,60.0
60,100,61.0
61,100,62.0
62,100,63.0
63,100,64.0
64,100,65.0
65,100,66.0
66,100,67.0
67,100,68.0
68,100,69.0
69,100,70.0
70,100,71.0
71,100,72.0
72,100,73.0
73,100,74.0
74,100,75.0
75,100,76.0
76,100,77.0
77,100,78.0
78,100,79.0
79,100,80.0
80,100,81.0
81,100,82.0
82,100,83.0
83,100,84.0
84,100,85.0
85,100,86.0
86,100,87.0
87,100,88.0
88,100,89.0
89,100,90.0
90,100,91.0
91,100,92.0
92,100,93.0
93,100,94.0
94,100,95.0
95,100,96.0
96,100,97.0
97,100,98.0
98,100,99.0
99,100,100.0
