tool,s,kappa,mode,seed,obs
agent,0.0,0.0,cold,1000,0.03179554799470486
agent,0.0,0.0,cold,1001,0.044629180963768604
agent,0.0,0.0,cold,1002,0.008274279793526252
agent,0.0,0.75,cold,1000,0.0397984160068354
agent,0.0,0.75,cold,1001,0.05112327812400422
agent,0.0,0.75,cold,1002,0.014244549044034749
agent,0.0,1.5,cold,1000,0.2343529251519843
agent,0.0,1.5,cold,1001,0.29456668710839723
agent,0.0,1.5,cold,1002,0.01421454389979063
agent,0.05,0.0,cold,1000,0.15858826870483236
agent,0.05,0.0,cold,1001,0.0269749488771276
agent,0.05,0.0,cold,1002,0.008274279793526252
agent,0.05,0.75,cold,1000,0.0643674722712169
agent,0.05,0.75,cold,1001,0.05112327812400422
agent,0.05,0.75,cold,1002,
agent,0.05,1.5,cold,1000,0.03986834063873252
agent,0.05,1.5,cold,1001,0.05070955178716458
agent,0.05,1.5,cold,1002,0.01421454389979063
agent,0.1,0.0,cold,1000,0.03640765760495718
agent,0.1,0.0,cold,1001,0.044629180963768604
agent,0.1,0.0,cold,1002,0.008274279793526252
agent,0.1,0.75,cold,1000,0.0397984160068354
agent,0.1,0.75,cold,1001,0.05112327812400422
agent,0.1,0.75,cold,1002,0.014244549044034749
agent,0.1,1.5,cold,1000,0.31956936323574814
agent,0.1,1.5,cold,1001,0.05070955178716458
agent,0.1,1.5,cold,1002,0.01421454389979063
agent,0.0,0.0,warm,1000,0.9995661388775714
agent,0.0,0.0,warm,1001,0.9995922588384218
agent,0.0,0.0,warm,1002,0.9995766909387436
agent,0.0,0.75,warm,1000,0.9995108290442386
agent,0.0,0.75,warm,1001,0.9995190774434215
agent,0.0,0.75,warm,1002,0.9995166504640142
agent,0.0,1.5,warm,1000,0.9995201664975228
agent,0.0,1.5,warm,1001,0.9995265324024165
agent,0.0,1.5,warm,1002,0.9995308361717518
agent,0.05,0.0,warm,1000,0.9995661388775714
agent,0.05,0.0,warm,1001,
agent,0.05,0.0,warm,1002,0.9995947144372089
agent,0.05,0.75,warm,1000,0.9995108290442386
agent,0.05,0.75,warm,1001,0.9995190774434215
agent,0.05,0.75,warm,1002,0.9995166504640142
agent,0.05,1.5,warm,1000,0.9995201664975228
agent,0.05,1.5,warm,1001,0.9995265324024165
agent,0.05,1.5,warm,1002,0.9995308361717518
agent,0.1,0.0,warm,1000,0.9995661388775714
agent,0.1,0.0,warm,1001,0.9995922588384218
agent,0.1,0.0,warm,1002,0.9995947144372089
agent,0.1,0.75,warm,1000,
agent,0.1,0.75,warm,1001,0.9995190774434215
agent,0.1,0.75,warm,1002,0.9995166504640142
agent,0.1,1.5,warm,1000,0.9995201664975228
agent,0.1,1.5,warm,1001,
agent,0.1,1.5,warm,1002,
