mechanism,type,s,kappa,seed,active_fraction
pde,initiation,0.04,0.6,1,0.0
pde,initiation,0.04,0.6,2,0.0
pde,initiation,0.04,0.6,3,0.0
pde,initiation,0.05,0.6,1,0.0
pde,initiation,0.05,0.6,2,0.0
pde,initiation,0.05,0.6,3,0.0
pde,initiation,0.06,0.6,1,0.0
pde,initiation,0.06,0.6,2,0.0
pde,initiation,0.06,0.6,3,0.0
pde,initiation,0.07,0.6,1,0.0
pde,initiation,0.07,0.6,2,0.0
pde,initiation,0.07,0.6,3,0.0
pde,initiation,0.08,0.6,1,0.0
pde,initiation,0.08,0.6,2,0.0
pde,initiation,0.08,0.6,3,0.0
pde,initiation,0.09,0.6,1,0.015625
pde,initiation,0.09,0.6,2,0.015625
pde,initiation,0.09,0.6,3,0.015625
pde,initiation,0.1,0.6,1,1.0
pde,initiation,0.1,0.6,2,1.0
pde,initiation,0.1,0.6,3,1.0
pde,persistence,0.0,0.0,42,0.0
pde,persistence,0.0,0.0,43,0.0
pde,persistence,0.0,0.0,44,0.0
pde,persistence,0.0,0.2,42,0.0
pde,persistence,0.0,0.2,43,0.0
pde,persistence,0.0,0.2,44,0.0
pde,persistence,0.0,0.4,42,0.0
pde,persistence,0.0,0.4,43,0.0
pde,persistence,0.0,0.4,44,0.0
pde,persistence,0.0,0.6,42,0.0
pde,persistence,0.0,0.6,43,0.0
pde,persistence,0.0,0.6,44,0.0
pde,persistence,0.0,0.8,42,0.1328125
pde,persistence,0.0,0.8,43,0.1328125
pde,persistence,0.0,0.8,44,0.1328125
pde,persistence,0.0,1.0,42,0.2578125
pde,persistence,0.0,1.0,43,0.2578125
pde,persistence,0.0,1.0,44,0.2578125
pde,grid_2d,0.0,0.0,42,0.0
pde,grid_2d,0.0,0.5,42,0.0
pde,grid_2d,0.0,1.0,42,0.0
pde,grid_2d,0.1,0.0,42,1.0
pde,grid_2d,0.1,0.5,42,1.0
pde,grid_2d,0.1,1.0,42,1.0
agent,variance_study,,0.05,301,0.4152570827597969
agent,variance_study,,0.05,302,0.45190724771895063
agent,variance_study,,0.05,303,
agent,variance_study,,0.05,304,0.5238163289214672
agent,variance_study,,0.05,305,0.2423585555332409
agent,variance_study,,0.05,306,0.29539566839238857
agent,variance_study,,0.05,307,0.15531181194291235
agent,variance_study,,0.05,308,0.45400490182675934
agent,variance_study,,0.05,309,
agent,variance_study,,0.05,310,0.5349612082747791
agent,variance_study,,0.0,301,0.07482809136426598
agent,variance_study,,0.0,302,0.07003529085523731
agent,variance_study,,0.0,303,0.17941741775032238
agent,variance_study,,0.0,304,0.21324879418483886
agent,variance_study,,0.0,305,0.11621372485187771
agent,variance_study,,0.0,306,0.10345863149728937
agent,variance_study,,0.0,307,0.0778193017713693
agent,variance_study,,0.0,308,0.014422372946172914
agent,variance_study,,0.0,309,0.05553764167682658
agent,variance_study,,0.0,310,0.07254651792915327
agent,variance_study,,0.1,301,0.5800456320751922
agent,variance_study,,0.1,302,0.6966001153249795
agent,variance_study,,0.1,303,0.45112233736883345
agent,variance_study,,0.1,304,0.48451535623993286
agent,variance_study,,0.1,305,0.5674224760135825
agent,variance_study,,0.1,306,0.5114429664151267
agent,variance_study,,0.1,307,
agent,variance_study,,0.1,308,0.5238358513109519
agent,variance_study,,0.1,309,0.48316881409601337
agent,variance_study,,0.1,310,0.5957567854982675
agent,variance_study,,0.2,301,0.49405269980393646
agent,variance_study,,0.2,302,0.7247710177936943
agent,variance_study,,0.2,303,0.8097877326120362
agent,variance_study,,0.2,304,0.7862445914273399
agent,variance_study,,0.2,305,0.8538591617382036
agent,variance_study,,0.2,306,0.577818893668924
agent,variance_study,,0.2,307,0.6717482957064672
agent,variance_study,,0.2,308,0.6554891983871506
agent,variance_study,,0.2,309,0.6836657760088138
agent,variance_study,,0.2,310,0.5743369407760938
