mechanism,type,s,kappa,mismatch_rate,seed,active_fraction
agent,variance_study,,0.0,,305.5,0.09775277848273536
agent,variance_study,,0.05,,305.5,0.3841266006712869
agent,variance_study,,0.1,,305.5,0.5437678149269867
agent,variance_study,,0.2,,305.5,0.683177430792266
pde,grid_2d,0.0,0.0,,42.0,0.0
pde,grid_2d,0.0,0.5,,42.0,0.0
pde,grid_2d,0.0,1.0,,42.0,0.0
pde,grid_2d,0.1,0.0,,42.0,1.0
pde,grid_2d,0.1,0.5,,42.0,1.0
pde,grid_2d,0.1,1.0,,42.0,1.0
pde,initiation,0.04,0.6,,2.0,0.0
pde,initiation,0.05,0.6,,2.0,0.0
pde,initiation,0.06,0.6,,2.0,0.0
pde,initiation,0.07,0.6,,2.0,0.0
pde,initiation,0.08,0.6,,2.0,0.0
pde,initiation,0.09,0.6,,2.0,0.015625
pde,initiation,0.1,0.6,,2.0,1.0
pde,persistence,0.0,0.0,,43.0,0.0
pde,persistence,0.0,0.2,,43.0,0.0
pde,persistence,0.0,0.4,,43.0,0.0
pde,persistence,0.0,0.6,,43.0,0.0
pde,persistence,0.0,0.8,,43.0,0.1328125
pde,persistence,0.0,1.0,,43.0,0.2578125
