mechanism,type,s,kappa,seed,active_fraction,epsilon_max,mismatch_rate
pde,initiation,0.005,0.6,1,0.0,0.008416575402487888,
pde,initiation,0.005,0.6,2,0.0,0.009702181501909235,
pde,initiation,0.005,0.6,3,0.0,0.010289995741517795,
pde,initiation,0.015,0.6,1,0.0,0.013683435910058692,
pde,initiation,0.015,0.6,2,0.0,0.014962627027319512,
pde,initiation,0.015,0.6,3,0.0,0.015547516614807496,
pde,initiation,0.01,0.6,1,0.0,0.011052259629375802,
pde,initiation,0.01,0.6,2,0.0,0.012334652802463826,
pde,initiation,0.01,0.6,3,0.0,0.012921002240382843,
pde,initiation,0.025,0.6,1,0.0,0.01893231983305103,
pde,initiation,0.025,0.6,2,0.0,0.02020513926217744,
pde,initiation,0.025,0.6,3,0.0,0.020787123917011794,
pde,initiation,0.02,0.6,1,0.0,0.016310118058874334,
pde,initiation,0.02,0.6,2,0.0,0.01758611794375196,
pde,initiation,0.02,0.6,3,0.0,0.018169552610647274,
pde,initiation,0.03,0.6,1,0.0,0.021550054933003,
pde,initiation,0.03,0.6,2,0.0,0.02281970463644658,
pde,initiation,0.03,0.6,3,0.0,0.02340024416655831,
pde,initiation,0.04,0.6,1,0.0,0.026772179629579018,
pde,initiation,0.04,0.6,2,0.0,0.028035521886840057,
pde,initiation,0.04,0.6,3,0.0,0.028613185745307752,
pde,initiation,0.0,0.6,1,0.0,0.007380099676876925,
pde,initiation,0.0,0.6,2,0.0,0.007891236777399818,
pde,initiation,0.0,0.6,3,0.0,0.008171288811833408,
pde,initiation,0.1,0.6,1,1.0,0.10879024057005891,
pde,initiation,0.1,0.6,2,1.0,0.10921712398515805,
pde,initiation,0.1,0.6,3,1.0,0.10944988572395244,
pde,initiation,0.2,0.6,1,1.0,0.19845313440522455,
pde,initiation,0.2,0.6,2,1.0,0.19881433150479566,
pde,initiation,0.2,0.6,3,1.0,0.1990102814477893,
pde,initiation,0.3,0.6,1,1.0,0.2786726042605256,
pde,initiation,0.3,0.6,2,1.0,0.27898171823482454,
pde,initiation,0.3,0.6,3,1.0,0.2791485281672718,
pde,initiation,0.4,0.6,1,1.0,0.351178148240302,
pde,initiation,0.4,0.6,2,1.0,0.3514453553558408,
pde,initiation,0.4,0.6,3,1.0,0.35158876017008844,
pde,initiation,0.5,0.6,1,1.0,0.41729389239770626,
pde,initiation,0.5,0.6,2,1.0,0.41752694454097744,
pde,initiation,0.5,0.6,3,1.0,0.417651309403555,
pde,persistence,0.0,0.0,42,0.1953125,0.0628005419217728,
pde,persistence,0.0,0.0,43,0.1953125,0.0628005419217728,
pde,persistence,0.0,0.0,44,0.1953125,0.0628005419217728,
pde,persistence,0.0,0.2,42,0.2421875,0.07294451615838497,
pde,persistence,0.0,0.2,43,0.2421875,0.07294451615838497,
pde,persistence,0.0,0.2,44,0.2421875,0.07294451615838497,
