mechanism,type,s,kappa,mismatch_rate,seed,active_fraction
agent,initiation,,0.05,0.0,2.0,0.8049246587349607
agent,initiation,,0.05,0.02,2.0,0.479796303935128
agent,initiation,,0.05,0.04,2.0,0.19285775258900076
agent,initiation,,0.05,0.06,2.0,0.1608044218579058
agent,initiation,,0.05,0.08,2.0,0.09408429964648835
agent,initiation,,0.05,0.1,2.0,0.10249501891336031
agent,persistence,,0.0,0.02,2.0,0.07418775380860504
agent,persistence,,0.01,0.02,2.0,0.10030060314496198
agent,persistence,,0.02,0.02,2.0,0.18729291367456105
agent,persistence,,0.05,0.02,2.0,0.4487851928830005
agent,persistence,,0.1,0.02,2.0,0.4446692259214537
agent,persistence,,0.2,0.02,2.0,0.7661730001976093
pde,initiation,0.0,0.6,,2.0,0.0
pde,initiation,0.1,0.6,,2.0,1.0
pde,initiation,0.2,0.6,,2.0,1.0
pde,initiation,0.3,0.6,,2.0,1.0
pde,initiation,0.4,0.6,,2.0,1.0
pde,initiation,0.5,0.6,,2.0,1.0
pde,persistence,0.0,0.0,,43.0,0.1953125
pde,persistence,0.0,0.2,,43.0,0.2421875
pde,persistence,0.0,0.4,,43.0,0.2734375
pde,persistence,0.0,0.6,,43.0,0.3046875
pde,persistence,0.0,0.8,,43.0,0.3359375
pde,persistence,0.0,1.0,,43.0,0.3515625
