mechanism,param,seed,active_fraction
structural_box,0.2,42,0.43359375
structural_box,0.2,43,0.43359375
structural_box,0.2,44,0.43359375
structural_box,0.2,45,0.43359375
structural_box,0.2,46,0.43359375
structural_box,0.2,47,0.43359375
structural_box,0.2,48,0.43359375
structural_box,0.2,49,0.43359375
structural_box,0.2,50,0.43359375
structural_box,0.2,51,0.43359375
structural_box,0.2,52,0.43359375
structural_box,0.2,53,0.43359375
structural_box,0.2,54,0.43359375
structural_box,0.2,55,0.43359375
structural_box,0.2,56,0.43359375
structural_box,0.2,57,0.43359375
structural_box,0.2,58,0.43359375
structural_box,0.2,59,0.43359375
structural_box,0.2,60,0.43359375
structural_box,0.2,61,0.43359375
structural_box,0.2,62,0.43359375
structural_box,0.2,63,0.43359375
structural_box,0.2,64,0.43359375
structural_box,0.2,65,0.43359375
structural_box,0.2,66,0.43359375
structural_box,0.2,67,0.43359375
structural_box,0.2,68,0.43359375
structural_box,0.2,69,0.43359375
structural_box,0.2,70,0.43359375
structural_box,0.2,71,0.43359375
structural_box,0.2,72,0.43359375
structural_box,0.2,73,0.43359375
structural_box,0.18,42,0.41015625
structural_box,0.18,43,0.41015625
structural_box,0.18,44,0.41015625
structural_box,0.18,45,0.41015625
structural_box,0.18,46,0.41015625
structural_box,0.18,47,0.41015625
structural_box,0.18,48,0.41015625
structural_box,0.18,49,0.41015625
structural_box,0.18,50,0.41015625
structural_box,0.18,51,0.41015625
structural_box,0.18,52,0.41015625
structural_box,0.18,53,0.41015625
structural_box,0.18,54,0.41015625
structural_box,0.18,55,0.41015625
structural_box,0.18,56,0.41015625
structural_box,0.18,57,0.41015625
structural_box,0.18,58,0.41015625
structural_box,0.18,59,0.41015625
structural_box,0.18,60,0.41015625
structural_box,0.18,61,0.41015625
structural_box,0.18,62,0.41015625
structural_box,0.18,63,0.41015625
structural_box,0.18,64,0.41015625
structural_box,0.18,65,0.41015625
structural_box,0.18,66,0.41015625
structural_box,0.18,67,0.41015625
structural_box,0.18,68,0.41015625
structural_box,0.18,69,0.41015625
structural_box,0.18,70,0.41015625
structural_box,0.18,71,0.41015625
structural_box,0.18,72,0.41015625
structural_box,0.18,73,0.41015625
structural_box,0.16,42,0.39453125
structural_box,0.16,43,0.39453125
structural_box,0.16,44,0.39453125
structural_box,0.16,45,0.39453125
structural_box,0.16,46,0.39453125
structural_box,0.16,47,0.39453125
structural_box,0.16,48,0.39453125
structural_box,0.16,49,0.39453125
structural_box,0.16,50,0.39453125
structural_box,0.16,51,0.39453125
structural_box,0.16,52,0.39453125
structural_box,0.16,53,0.39453125
structural_box,0.16,54,0.39453125
structural_box,0.16,55,0.39453125
structural_box,0.16,56,0.39453125
structural_box,0.16,57,0.39453125
structural_box,0.16,58,0.39453125
structural_box,0.16,59,0.39453125
structural_box,0.16,60,0.39453125
structural_box,0.16,61,0.39453125
structural_box,0.16,62,0.39453125
structural_box,0.16,63,0.39453125
structural_box,0.16,64,0.39453125
structural_box,0.16,65,0.39453125
structural_box,0.16,66,0.39453125
structural_box,0.16,67,0.39453125
structural_box,0.16,68,0.39453125
structural_box,0.16,69,0.39453125
structural_box,0.16,70,0.39453125
structural_box,0.16,71,0.39453125
structural_box,0.16,72,0.39453125
structural_box,0.16,73,0.39453125
structural_box,0.14,42,0.37890625
structural_box,0.14,43,0.37890625
structural_box,0.14,44,0.37890625
structural_box,0.14,45,0.37890625
structural_box,0.14,46,0.37890625
structural_box,0.14,47,0.37890625
structural_box,0.14,48,0.37890625
structural_box,0.14,49,0.37890625
structural_box,0.14,50,0.37890625
structural_box,0.14,51,0.37890625
structural_box,0.14,52,0.37890625
structural_box,0.14,53,0.37890625
structural_box,0.14,54,0.37890625
structural_box,0.14,55,0.37890625
structural_box,0.14,56,0.37890625
structural_box,0.14,57,0.37890625
structural_box,0.14,58,0.37890625
structural_box,0.14,59,0.37890625
structural_box,0.14,60,0.37890625
structural_box,0.14,61,0.37890625
structural_box,0.14,62,0.37890625
structural_box,0.14,63,0.37890625
structural_box,0.14,64,0.37890625
structural_box,0.14,65,0.37890625
structural_box,0.14,66,0.37890625
structural_box,0.14,67,0.37890625
structural_box,0.14,68,0.37890625
structural_box,0.14,69,0.37890625
structural_box,0.14,70,0.37890625
structural_box,0.14,71,0.37890625
structural_box,0.14,72,0.37890625
structural_box,0.14,73,0.37890625
structural_box,0.12,42,0.37109375
structural_box,0.12,43,0.37109375
structural_box,0.12,44,0.37109375
structural_box,0.12,45,0.37109375
structural_box,0.12,46,0.37109375
structural_box,0.12,47,0.37109375
structural_box,0.12,48,0.37109375
structural_box,0.12,49,0.37109375
structural_box,0.12,50,0.37109375
structural_box,0.12,51,0.37109375
structural_box,0.12,52,0.37109375
structural_box,0.12,53,0.37109375
structural_box,0.12,54,0.37109375
structural_box,0.12,55,0.37109375
structural_box,0.12,56,0.37109375
structural_box,0.12,57,0.37109375
structural_box,0.12,58,0.37109375
structural_box,0.12,59,0.37109375
structural_box,0.12,60,0.37109375
structural_box,0.12,61,0.37109375
structural_box,0.12,62,0.37109375
structural_box,0.12,63,0.37109375
structural_box,0.12,64,0.37109375
structural_box,0.12,65,0.37109375
structural_box,0.12,66,0.37109375
structural_box,0.12,67,0.37109375
structural_box,0.12,68,0.37109375
structural_box,0.12,69,0.37109375
structural_box,0.12,70,0.37109375
structural_box,0.12,71,0.37109375
structural_box,0.12,72,0.37109375
structural_box,0.12,73,0.37109375
structural_box,0.1,42,0.35546875
structural_box,0.1,43,0.35546875
structural_box,0.1,44,0.35546875
structural_box,0.1,45,0.35546875
structural_box,0.1,46,0.35546875
structural_box,0.1,47,0.35546875
structural_box,0.1,48,0.35546875
structural_box,0.1,49,0.35546875
structural_box,0.1,50,0.35546875
structural_box,0.1,51,0.35546875
structural_box,0.1,52,0.35546875
structural_box,0.1,53,0.35546875
structural_box,0.1,54,0.35546875
structural_box,0.1,55,0.35546875
structural_box,0.1,56,0.35546875
structural_box,0.1,57,0.35546875
structural_box,0.1,58,0.35546875
structural_box,0.1,59,0.35546875
structural_box,0.1,60,0.35546875
structural_box,0.1,61,0.35546875
structural_box,0.1,62,0.35546875
structural_box,0.1,63,0.35546875
structural_box,0.1,64,0.35546875
structural_box,0.1,65,0.35546875
structural_box,0.1,66,0.35546875
structural_box,0.1,67,0.35546875
structural_box,0.1,68,0.35546875
structural_box,0.1,69,0.35546875
structural_box,0.1,70,0.35546875
structural_box,0.1,71,0.35546875
structural_box,0.1,72,0.35546875
structural_box,0.1,73,0.35546875
structural_box,0.08,42,0.34765625
structural_box,0.08,43,0.34765625
structural_box,0.08,44,0.34765625
structural_box,0.08,45,0.34765625
structural_box,0.08,46,0.34765625
structural_box,0.08,47,0.34765625
structural_box,0.08,48,0.34765625
structural_box,0.08,49,0.34765625
structural_box,0.08,50,0.34765625
structural_box,0.08,51,0.34765625
structural_box,0.08,52,0.34765625
structural_box,0.08,53,0.34765625
structural_box,0.08,54,0.34765625
structural_box,0.08,55,0.34765625
structural_box,0.08,56,0.34765625
structural_box,0.08,57,0.34765625
structural_box,0.08,58,0.34765625
structural_box,0.08,59,0.34765625
structural_box,0.08,60,0.34765625
structural_box,0.08,61,0.34765625
structural_box,0.08,62,0.34765625
structural_box,0.08,63,0.34765625
structural_box,0.08,64,0.34765625
structural_box,0.08,65,0.34765625
structural_box,0.08,66,0.34765625
structural_box,0.08,67,0.34765625
structural_box,0.08,68,0.34765625
structural_box,0.08,69,0.34765625
structural_box,0.08,70,0.34765625
structural_box,0.08,71,0.34765625
structural_box,0.08,72,0.34765625
structural_box,0.08,73,0.34765625
structural_box,0.06,42,0.33984375
structural_box,0.06,43,0.33984375
structural_box,0.06,44,0.33984375
structural_box,0.06,45,0.33984375
structural_box,0.06,46,0.33984375
structural_box,0.06,47,0.33984375
structural_box,0.06,48,0.33984375
structural_box,0.06,49,0.33984375
structural_box,0.06,50,0.33984375
structural_box,0.06,51,0.33984375
structural_box,0.06,52,0.33984375
structural_box,0.06,53,0.33984375
structural_box,0.06,54,0.33984375
structural_box,0.06,55,0.33984375
structural_box,0.06,56,0.33984375
structural_box,0.06,57,0.33984375
structural_box,0.06,58,0.33984375
structural_box,0.06,59,0.33984375
structural_box,0.06,60,0.33984375
structural_box,0.06,61,0.33984375
structural_box,0.06,62,0.33984375
structural_box,0.06,63,0.33984375
structural_box,0.06,64,0.33984375
structural_box,0.06,65,0.33984375
structural_box,0.06,66,0.33984375
structural_box,0.06,67,0.33984375
structural_box,0.06,68,0.33984375
structural_box,0.06,69,0.33984375
structural_box,0.06,70,0.33984375
structural_box,0.06,71,0.33984375
structural_box,0.06,72,0.33984375
structural_box,0.06,73,0.33984375
structural_box,0.04,42,0.33203125
structural_box,0.04,43,0.33203125
structural_box,0.04,44,0.33203125
structural_box,0.04,45,0.33203125
structural_box,0.04,46,0.33203125
structural_box,0.04,47,0.33203125
structural_box,0.04,48,0.33203125
structural_box,0.04,49,0.33203125
structural_box,0.04,50,0.33203125
structural_box,0.04,51,0.33203125
structural_box,0.04,52,0.33203125
structural_box,0.04,53,0.33203125
structural_box,0.04,54,0.33203125
structural_box,0.04,55,0.33203125
structural_box,0.04,56,0.33203125
structural_box,0.04,57,0.33203125
structural_box,0.04,58,0.33203125
structural_box,0.04,59,0.33203125
structural_box,0.04,60,0.33203125
structural_box,0.04,61,0.33203125
structural_box,0.04,62,0.33203125
structural_box,0.04,63,0.33203125
structural_box,0.04,64,0.33203125
structural_box,0.04,65,0.33203125
structural_box,0.04,66,0.33203125
structural_box,0.04,67,0.33203125
structural_box,0.04,68,0.33203125
structural_box,0.04,69,0.33203125
structural_box,0.04,70,0.33203125
structural_box,0.04,71,0.33203125
structural_box,0.04,72,0.33203125
structural_box,0.04,73,0.33203125
structural_box,0.02,42,0.32421875
structural_box,0.02,43,0.32421875
structural_box,0.02,44,0.32421875
structural_box,0.02,45,0.32421875
structural_box,0.02,46,0.32421875
structural_box,0.02,47,0.32421875
structural_box,0.02,48,0.32421875
structural_box,0.02,49,0.32421875
structural_box,0.02,50,0.32421875
structural_box,0.02,51,0.32421875
structural_box,0.02,52,0.32421875
structural_box,0.02,53,0.32421875
structural_box,0.02,54,0.32421875
structural_box,0.02,55,0.32421875
structural_box,0.02,56,0.32421875
structural_box,0.02,57,0.32421875
structural_box,0.02,58,0.32421875
structural_box,0.02,59,0.32421875
structural_box,0.02,60,0.32421875
structural_box,0.02,61,0.32421875
structural_box,0.02,62,0.32421875
structural_box,0.02,63,0.32421875
structural_box,0.02,64,0.32421875
structural_box,0.02,65,0.32421875
structural_box,0.02,66,0.32421875
structural_box,0.02,67,0.32421875
structural_box,0.02,68,0.32421875
structural_box,0.02,69,0.32421875
structural_box,0.02,70,0.32421875
structural_box,0.02,71,0.32421875
structural_box,0.02,72,0.32421875
structural_box,0.02,73,0.32421875
stochastic,0.1,42,0.0
stochastic,0.1,43,0.0
stochastic,0.1,44,0.0
stochastic,0.1,45,0.0
stochastic,0.1,46,0.0
stochastic,0.1,47,0.0
stochastic,0.1,48,0.0
stochastic,0.1,49,0.0
stochastic,0.1,50,0.0
stochastic,0.1,51,0.0
stochastic,0.1,52,0.0
stochastic,0.1,53,0.0
stochastic,0.1,54,0.0
stochastic,0.1,55,0.0
stochastic,0.1,56,0.0
stochastic,0.1,57,0.0
stochastic,0.1,58,0.0
stochastic,0.1,59,0.0
stochastic,0.1,60,0.0
stochastic,0.1,61,0.0
stochastic,0.1,62,0.0
stochastic,0.1,63,0.0
stochastic,0.1,64,0.0
stochastic,0.1,65,0.0
stochastic,0.1,66,0.0
stochastic,0.1,67,0.0
stochastic,0.1,68,0.0
stochastic,0.1,69,0.0
stochastic,0.1,70,0.0
stochastic,0.1,71,0.0
stochastic,0.1,72,0.0
stochastic,0.1,73,0.0
stochastic,0.09,42,0.0
stochastic,0.09,43,0.0
stochastic,0.09,44,0.0
stochastic,0.09,45,0.0
stochastic,0.09,46,0.0
stochastic,0.09,47,0.0
stochastic,0.09,48,0.0
stochastic,0.09,49,0.0
stochastic,0.09,50,0.0
stochastic,0.09,51,0.0
stochastic,0.09,52,0.0
stochastic,0.09,53,0.0
stochastic,0.09,54,0.0
stochastic,0.09,55,0.0
stochastic,0.09,56,0.0
stochastic,0.09,57,0.0
stochastic,0.09,58,0.0
stochastic,0.09,59,0.0
stochastic,0.09,60,0.0
stochastic,0.09,61,0.0
stochastic,0.09,62,0.0
stochastic,0.09,63,0.0
stochastic,0.09,64,0.0
stochastic,0.09,65,0.0
stochastic,0.09,66,0.0
stochastic,0.09,67,0.0
stochastic,0.09,68,0.0
stochastic,0.09,69,0.0
stochastic,0.09,70,0.0
