mechanism,param,mean,std
stochastic,0.01,0.0,0.0
stochastic,0.02,0.0,0.0
stochastic,0.03,0.0,0.0
stochastic,0.04,0.0,0.0
stochastic,0.05,0.0,0.0
stochastic,0.06,0.0,0.0
stochastic,0.07,0.0,0.0
stochastic,0.08,0.0,0.0
stochastic,0.09,0.0,0.0
stochastic,0.1,0.0,0.0
stochastic_sensitive,0.01,0.0,0.0
stochastic_sensitive,0.02,0.0,0.0
stochastic_sensitive,0.03,0.006500000155938324,0.010634696969925667
stochastic_sensitive,0.04,0.10915624981862493,0.08866068287765676
stochastic_sensitive,0.05,0.8232812490314245,0.022236607684815467
stochastic_sensitive,0.06,0.9306875057518482,0.030029488771677746
stochastic_sensitive,0.07,1.0,0.0
stochastic_sensitive,0.08,1.0,0.0
stochastic_sensitive,0.09,1.0,0.0
stochastic_sensitive,0.1,1.0,0.0
structural_box,0.02,0.32421875,0.0
structural_box,0.04,0.33203125,0.0
structural_box,0.06,0.33984375,0.0
structural_box,0.08,0.34765625,0.0
structural_box,0.1,0.35546875,0.0
structural_box,0.12,0.37109375,0.0
structural_box,0.14,0.37890625,0.0
structural_box,0.16,0.39453125,0.0
structural_box,0.18,0.41015625,0.0
structural_box,0.2,0.43359375,0.0
