s,kappa,seed,active_fraction
0.02,0.1,100,0.32421875
0.02,0.1,101,0.32421875
0.02,0.1,102,0.32421875
0.02,0.1,103,0.32421875
0.02,0.1,104,0.32421875
0.02,0.1,105,0.32421875
0.02,0.1,106,0.32421875
0.02,0.1,107,0.32421875
0.02,0.1,108,0.32421875
0.01,1.0,100,0.31640625
0.01,1.0,101,0.31640625
0.01,1.0,102,0.31640625
0.01,1.0,103,0.31640625
0.01,1.0,104,0.31640625
0.01,1.0,105,0.31640625
0.01,1.0,106,0.31640625
0.01,1.0,107,0.31640625
0.01,1.0,108,0.31640625
0.01,1.0,109,0.31640625
0.01,1.0,110,0.31640625
0.01,1.0,111,0.31640625
0.01,1.0,112,0.31640625
0.01,1.0,113,0.31640625
0.01,1.0,114,0.31640625
0.01,1.0,115,0.31640625
0.01,0.9,100,0.31640625
0.01,0.9,101,0.31640625
0.01,0.9,102,0.31640625
0.01,0.9,103,0.31640625
0.01,0.9,104,0.31640625
0.01,0.9,105,0.31640625
0.01,0.9,106,0.31640625
0.01,0.9,107,0.31640625
0.01,0.9,108,0.31640625
0.01,0.9,109,0.31640625
0.01,0.9,110,0.31640625
0.01,0.9,111,0.31640625
0.01,0.9,112,0.31640625
0.01,0.9,113,0.31640625
0.01,0.9,114,0.31640625
0.01,0.9,115,0.31640625
0.01,0.8,100,0.31640625
0.01,0.8,101,0.31640625
0.01,0.8,102,0.31640625
0.01,0.8,103,0.31640625
0.01,0.8,104,0.31640625
0.01,0.8,105,0.31640625
0.01,0.8,106,0.31640625
0.01,0.8,107,0.31640625
0.01,0.8,108,0.31640625
0.01,0.8,109,0.31640625
0.01,0.8,110,0.31640625
0.01,0.8,111,0.31640625
0.01,0.8,112,0.31640625
0.01,0.8,113,0.31640625
0.01,0.8,114,0.31640625
0.01,0.8,115,0.31640625
0.01,0.7,100,0.31640625
0.01,0.7,101,0.31640625
0.01,0.7,102,0.31640625
0.01,0.7,103,0.31640625
0.01,0.7,104,0.31640625
0.01,0.7,105,0.31640625
0.01,0.7,106,0.31640625
0.01,0.7,107,0.31640625
0.01,0.7,108,0.31640625
0.01,0.7,109,0.31640625
0.01,0.7,110,0.31640625
0.01,0.7,111,0.31640625
0.01,0.7,112,0.31640625
0.01,0.7,113,0.31640625
0.01,0.7,114,0.31640625
0.01,0.7,115,0.31640625
0.01,0.6,100,0.31640625
0.01,0.6,101,0.31640625
0.01,0.6,102,0.31640625
0.01,0.6,103,0.31640625
0.01,0.6,104,0.31640625
0.01,0.6,105,0.31640625
0.01,0.6,106,0.31640625
0.01,0.6,107,0.31640625
0.01,0.6,108,0.31640625
0.01,0.6,109,0.31640625
0.01,0.6,110,0.31640625
0.01,0.6,111,0.31640625
0.01,0.6,112,0.31640625
0.01,0.6,113,0.31640625
0.01,0.6,114,0.31640625
0.01,0.6,115,0.31640625
0.01,0.5,100,0.31640625
0.01,0.5,101,0.31640625
0.01,0.5,102,0.31640625
0.01,0.5,103,0.31640625
0.01,0.5,104,0.31640625
0.01,0.5,105,0.31640625
0.01,0.5,106,0.31640625
0.01,0.5,107,0.31640625
0.01,0.5,108,0.31640625
0.01,0.5,109,0.31640625
0.01,0.5,110,0.31640625
0.01,0.5,111,0.31640625
0.01,0.5,112,0.31640625
0.01,0.5,113,0.31640625
