s,kappa,mean,std,count
0.01,0.1,0.31640625,0.0,16
0.01,0.2,0.31640625,0.0,24
0.01,0.3,0.31640625,0.0,16
0.01,0.4,0.31640625,0.0,24
0.01,0.5,0.31640625,0.0,16
0.01,0.6,0.31640625,0.0,24
0.01,0.7,0.31640625,0.0,16
0.01,0.8,0.31640625,0.0,24
0.01,0.9,0.31640625,0.0,16
0.01,1.0,0.31640625,0.0,24
0.02,0.1,0.32421875,0.0,9
0.05,0.2,0.33203125,0.0,8
0.05,0.4,0.33203125,0.0,8
0.05,0.6,0.33203125,0.0,8
0.05,0.8,0.33203125,0.0,8
0.05,1.0,0.33203125,0.0,8
0.1,0.2,0.35546875,0.0,8
0.1,0.4,0.35546875,0.0,8
0.1,0.6,0.35546875,0.0,8
0.1,0.8,0.35546875,0.0,8
0.1,1.0,0.35546875,0.0,8
0.2,0.2,0.43359375,0.0,8
0.2,0.4,0.43359375,0.0,8
0.2,0.6,0.43359375,0.0,8
0.2,0.8,0.43359375,0.0,8
0.2,1.0,0.43359375,0.0,8
0.4,0.2,1.0,0.0,8
0.4,0.4,1.0,0.0,8
0.4,0.6,1.0,0.0,8
0.4,0.8,1.0,0.0,8
0.4,1.0,1.0,0.0,8
