s_perturb,seed,recovered_active,is_hysteresis
0.8,300,1.0,True
0.8,301,1.0,True
0.8,302,1.0,True
0.8,303,1.0,True
0.8,304,1.0,True
0.8,305,1.0,True
0.8,306,1.0,True
0.8,307,1.0,True
0.6,300,0.44140625,True
0.6,301,0.44140625,True
0.6,302,0.44140625,True
0.6,303,0.44140625,True
0.6,304,0.44140625,True
0.6,305,0.44140625,True
0.6,306,0.44140625,True
0.6,307,0.44140625,True
0.5,300,0.41015625,True
0.5,301,0.41015625,True
0.5,302,0.41015625,True
0.5,303,0.41015625,True
0.5,304,0.41015625,True
0.5,305,0.41015625,True
0.5,306,0.41015625,True
0.5,307,0.41015625,True
0.4,300,0.38671875,True
0.4,301,0.38671875,True
0.4,302,0.38671875,True
0.4,303,0.38671875,True
0.4,304,0.38671875,True
0.4,305,0.38671875,True
0.4,306,0.38671875,True
0.4,307,0.38671875,True
0.3,300,0.37109375,False
0.3,301,0.37109375,False
0.3,302,0.37109375,False
0.3,303,0.37109375,False
0.3,304,0.37109375,False
0.3,305,0.37109375,False
0.3,306,0.37109375,False
0.3,307,0.37109375,False
0.2,300,0.35546875,False
0.2,301,0.35546875,False
0.2,302,0.35546875,False
0.2,303,0.35546875,False
0.2,304,0.35546875,False
0.2,305,0.35546875,False
0.2,306,0.35546875,False
0.2,307,0.35546875,False
0.1,300,0.34765625,False
0.1,301,0.34765625,False
0.1,302,0.34765625,False
0.1,303,0.34765625,False
0.1,304,0.34765625,False
0.1,305,0.34765625,False
0.1,306,0.34765625,False
0.1,307,0.34765625,False
