s,steps,seed,final_active
0.1,5000,400,1.0
0.1,5000,401,1.0
0.1,5000,402,1.0
0.1,5000,403,1.0
0.1,5000,404,1.0
0.1,5000,405,1.0
0.1,5000,406,1.0
0.1,5000,407,1.0
0.1,20000,400,1.0
0.1,20000,401,1.0
0.1,20000,402,1.0
0.1,20000,403,1.0
0.1,20000,404,1.0
0.1,20000,405,1.0
0.1,20000,406,1.0
0.1,20000,407,1.0
0.1,10000,400,1.0
0.1,10000,401,1.0
0.1,10000,402,1.0
0.1,10000,403,1.0
0.1,10000,404,1.0
0.1,10000,405,1.0
0.1,10000,406,1.0
0.1,10000,407,1.0
0.1,1000,400,0.33203125
0.1,1000,401,0.33203125
0.1,1000,402,0.33203125
0.1,1000,403,0.33203125
0.1,1000,404,0.33203125
0.1,1000,405,0.33203125
0.1,1000,406,0.33203125
0.1,1000,407,0.33203125
0.01,5000,400,0.33203125
0.01,5000,401,0.33203125
0.01,5000,402,0.33203125
0.01,5000,403,0.33203125
0.01,5000,404,0.33203125
0.01,5000,405,0.33203125
0.01,5000,406,0.33203125
0.01,5000,407,0.33203125
0.01,20000,400,0.39453125
0.01,20000,401,0.39453125
0.01,20000,402,0.39453125
0.01,20000,403,0.39453125
0.01,20000,404,0.39453125
0.01,20000,405,0.39453125
0.01,20000,406,0.39453125
0.01,20000,407,0.39453125
0.01,10000,400,0.35546875
0.01,10000,401,0.35546875
0.01,10000,402,0.35546875
0.01,10000,403,0.35546875
0.01,10000,404,0.35546875
0.01,10000,405,0.35546875
0.01,10000,406,0.35546875
0.01,10000,407,0.35546875
0.01,1000,400,0.31640625
0.01,1000,401,0.31640625
0.01,1000,402,0.31640625
0.01,1000,403,0.31640625
0.01,1000,404,0.31640625
0.01,1000,405,0.31640625
0.01,1000,406,0.31640625
0.01,1000,407,0.31640625
