s_perturb,seed,recovered_active,is_hysteresis
0.44,500,0.39453125,True
0.44,501,0.39453125,True
0.44,502,0.39453125,True
0.44,503,0.39453125,True
0.44,504,0.39453125,True
0.44,505,0.39453125,True
0.44,506,0.39453125,True
0.44,507,0.39453125,True
0.42,500,0.39453125,True
0.42,501,0.39453125,True
0.42,502,0.39453125,True
0.42,503,0.39453125,True
0.42,504,0.39453125,True
0.42,505,0.39453125,True
0.42,506,0.39453125,True
0.42,507,0.39453125,True
0.4,500,0.38671875,True
0.4,501,0.38671875,True
0.4,502,0.38671875,True
0.4,503,0.38671875,True
0.4,504,0.38671875,True
0.4,505,0.38671875,True
0.4,506,0.38671875,True
0.4,507,0.38671875,True
0.38,500,0.38671875,True
0.38,501,0.38671875,True
0.38,502,0.38671875,True
0.38,503,0.38671875,True
0.38,504,0.38671875,True
0.38,505,0.38671875,True
0.38,506,0.38671875,True
0.38,507,0.38671875,True
0.36,500,0.38671875,True
0.36,501,0.38671875,True
0.36,502,0.38671875,True
0.36,503,0.38671875,True
0.36,504,0.38671875,True
0.36,505,0.38671875,True
0.36,506,0.38671875,True
0.36,507,0.38671875,True
0.34,500,0.37890625,False
0.34,501,0.37890625,False
0.34,502,0.37890625,False
0.34,503,0.37890625,False
0.34,504,0.37890625,False
0.34,505,0.37890625,False
0.34,506,0.37890625,False
0.34,507,0.37890625,False
0.32,500,0.37890625,False
0.32,501,0.37890625,False
0.32,502,0.37890625,False
0.32,503,0.37890625,False
0.32,504,0.37890625,False
0.32,505,0.37890625,False
0.32,506,0.37890625,False
0.32,507,0.37890625,False
0.3,500,0.37109375,False
0.3,501,0.37109375,False
0.3,502,0.37109375,False
0.3,503,0.37109375,False
0.3,504,0.37109375,False
0.3,505,0.37109375,False
0.3,506,0.37109375,False
0.3,507,0.37109375,False
