theta,seed,stoch,ca
0.05,101,1.0,0.095947265625
0.05,202,1.0,0.095947265625
0.05,303,1.0,0.095947265625
0.1,101,1.0,0.062744140625
0.1,202,1.0,0.062744140625
0.1,303,1.0,0.062744140625
0.15,101,1.0,0.049072265625
0.15,202,0.9980000257492065,0.049072265625
0.15,303,0.9729999899864197,0.049072265625
0.2,101,1.0,0.038330078125
0.2,202,0.9779999852180481,0.038330078125
0.2,303,0.7369999885559082,0.038330078125
0.25,101,1.0,0.038330078125
0.25,202,0.8930000066757202,0.038330078125
0.25,303,0.5479999780654907,0.038330078125
