step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00164167,0.00732263,1708,0.00163849,0.03575,0.00220279,0.104248
100,0.366364,0.00234054,9403,0.103215,1.12579,0.00294511,0.573914
200,1.42671,0.0105487,11882,0.200323,1.1044,0.00385894,0.72522
300,3.07452,0.0107401,12716,0.254274,1.26017,0.00542293,0.776123
400,4.60489,0.0109781,12980,0.282532,1.36781,0.00692453,0.792236
500,5.78822,0.00469794,13143,0.304319,1.33617,0.00743892,0.802185
600,6.85752,0.00860329,13271,0.322474,1.24311,0.00805121,0.809998
700,7.57693,0.00975511,13323,0.324721,1.22189,0.00859976,0.813171
800,8.32025,0.00890906,13399,0.34112,1.29102,0.00937571,0.81781
900,9.16448,0.0176499,13507,0.35687,1.31087,0.0102427,0.824402
999,9.90107,0.0062718,13598,0.361983,1.36212,0.0116288,0.829956
