step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00161701,0.0037951,1666,0.00161386,0.0362192,0.0107497,0.101685
100,0.378087,0.0059484,10457,0.111209,0.921363,0.0108243,0.638245
200,1.56721,0.00292421,12340,0.207308,1.04779,0.0113284,0.753174
300,3.11287,0.00944075,12838,0.255206,1.19071,0.0118034,0.783569
400,4.62286,0.0177578,13023,0.284672,1.2031,0.0119411,0.794861
500,5.87013,0.00306655,13170,0.30276,1.23379,0.0113921,0.803833
600,6.71897,0.0130368,13212,0.315337,1.23874,0.01173,0.806396
700,7.53174,0.019598,13361,0.326617,1.24049,0.0120255,0.815491
800,8.28642,0.0181889,13434,0.341846,1.25902,0.0117419,0.819946
900,8.86256,0.00676603,13457,0.351313,1.40024,0.0114176,0.82135
999,9.52705,0.0115071,13551,0.356001,1.25141,0.011185,0.827087
