step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00161701,0.0037951,1666,0.00161386,0.0362192,0.0107497,0.101685
100,0.270939,0.00972653,9029,0.0783049,0.647188,0.0106523,0.551086
200,0.826354,0.00716337,11421,0.137839,0.83807,0.0107007,0.697083
300,1.57197,0.00265164,12278,0.16813,0.885756,0.010723,0.74939
400,2.27267,0.005005,12472,0.187273,0.899139,0.0106337,0.76123
500,2.80759,0.011071,12618,0.198554,0.865957,0.0113746,0.770142
600,3.2595,0.00589098,12847,0.206235,0.916322,0.0115293,0.784119
700,3.65152,0.0136229,12977,0.217252,0.965476,0.0117475,0.792053
800,3.90652,0.00516512,13024,0.219381,0.909959,0.0120289,0.794922
900,4.19246,0.00579049,13101,0.226099,0.902837,0.012254,0.799622
999,4.54421,0.0108197,13204,0.235068,0.947412,0.0122684,0.805908
