step,alive_count,survival_fraction,x_mean,x_rms,y_mean,y_rms,z_mean,z_rms,delta_mean,delta_rms,px_rms,py_rms,emittance_proxy_x,emittance_proxy_y
0,10000,1.0,2.7634690306692945e-05,0.0020032217208075702,7.006329746967949e-06,0.001996802160379582,-8.808920433834224e-05,0.010015080793328737,2.6392109636913696e-06,0.0009976274043890958,0.0004970957612440012,0.0005016265883729445,9.957015399687971e-07,1.001648501016489e-06
1,10000,1.0,1.3198435572596295e-05,0.0021234631222771527,-7.790682337707321e-07,0.002599536815051825,-8.149117692911378e-05,0.010342107154708754,2.5577254056796828e-06,0.001000259060923356,0.0005524702320753274,0.0004326157513643438,9.956987933218308e-07,1.001637708835687e-06
2,10000,1.0,-1.4446956589604653e-06,0.0027804561622268766,-8.554326442946752e-06,0.0035819617794603173,-7.509686341491461e-05,0.011252773063611853,2.482633021361407e-06,0.001005490781582883,0.0006001462419952466,0.00035884955364973636,9.956963798904755e-07,1.0016275338738404e-06
3,10000,1.0,-1.6066324555084497e-05,0.003671218507662557,-1.6198635214272878e-05,0.004672015805192173,-6.889028086151105e-05,0.012629163444240497,2.4137454567341205e-06,0.001013333992520928,0.0006391710254889213,0.0002830438735975341,9.956942910228718e-07,1.001617977614482e-06
4,10000,1.0,-3.0438404592616763e-05,0.004625153913044697,-2.3593207392756955e-05,0.005761016191877872,-6.285591721967575e-05,0.014349239046417241,2.350889388663317e-06,0.0010238058816121418,0.0006688084202251026,0.00021025760728398193,9.956925244944947e-07,1.0016090365602018e-06
5,10000,1.0,-4.4336782238848305e-05,0.005566044144429951,-3.062313096604246e-05,0.006797635944236904,-5.6978693748017416e-05,0.01631881891474897,2.293906063925005e-06,0.0010369294996405748,0.0006885183293561895,0.0001526161076436456,9.95691084632488e-07,1.0016007021118186e-06
6,9998,0.9998,-5.361366646687834e-05,0.006448126140434793,-3.2166505779667656e-05,0.007743319637198017,-5.360577978997456e-05,0.018475648775057734,2.138573952091397e-06,0.0010528036646758278,0.00069749768320995,0.00013660046185235935,9.948477120542955e-07,1.000651103468141e-06
7,9992,0.9992,-5.687324525986675e-05,0.007247577347388988,-2.1020853425073973e-05,0.008565036031606967,-5.006019071657946e-05,0.020778069779407635,1.962291690679355e-06,0.001071308457254698,0.0006957769394319422,0.00017459445490465564,9.937930264213528e-07,9.979169209698053e-07
8,9973,0.9973,-6.649855153797375e-05,0.00793300380260203,-1.6907357777410657e-05,0.009219998600441875,-4.3941208966002364e-05,0.02320296883035146,2.026264254807527e-06,0.001092644407923043,0.0006823324535081112,0.00023946323262881016,9.911414482288288e-07,9.909045460720894e-07
9,9938,0.9938,-7.436544927941408e-05,0.008473433818869294,-4.0609047767306844e-05,0.00970393785815873,-3.743371773674302e-05,0.025719700281620784,2.0888567507760775e-06,0.0011163403728389803,0.0006568281577808289,0.00031069016399315713,9.855419401910923e-07,9.804379811731132e-07
10,9907,0.9907,-9.637615285965447e-05,0.008901262995157685,-3.686922328627447e-05,0.010050291908514352,-4.235873746476848e-05,0.02834840519426758,1.266337993856657e-06,0.0011436311349960686,0.0006229207410145332,0.00038141861129113854,9.816719780914584e-07,9.72296823779424e-07
11,9870,0.987,-0.00011534872984416737,0.009171872897358255,-4.3547984197118526e-05,0.010247729989100557,-5.530677183781317e-05,0.03107318194342501,5.281471549999501e-07,0.0011733273005670782,0.0005789415240066831,0.0004477735913780597,9.746374526772042e-07,9.651566157647172e-07
12,9857,0.9857,-0.00012173286858874309,0.009343661970338663,-3.249955257122743e-05,0.010340913076993648,-5.47678243712426e-05,0.03389320535225387,5.956456132007746e-07,0.0012058478237619802,0.0005296888758692454,0.0005102716885294467,9.724695783790743e-07,9.62618502384338e-07
13,9854,0.9854,-0.00012353328561994433,0.00938820132746371,-3.2846741144157775e-05,0.010301611127454207,-5.2684715712877784e-05,0.03682384415506893,5.153641539504173e-07,0.0012417728394174125,0.0004740570346898132,0.0005668084359212409,9.71687536039818e-07,9.62202522001645e-07
14,9854,0.9854,-0.0001253339604801718,0.009301161929556089,-3.323386031325602e-05,0.010109631357391768,-5.139630532800172e-05,0.03985913714265613,4.638066455289881e-07,0.0012808063528408308,0.0004129228617065775,0.0006153631778342202,9.716906795268442e-07,9.62202572870664e-07
15,9854,0.9854,-0.00012517892666633775,0.009075456817285357,-3.310790179071174e-05,0.009765899758071675,-5.023678871417926e-05,0.04300388204530972,4.1336137293919875e-07,0.0013230810748320768,0.0003474976902606429,0.0006549313204324261,9.716944375233442e-07,9.622032798176593e-07
16,9854,0.9854,-0.00012307061552187747,0.008715127847881898,-3.247078656527297e-05,0.009276474733717396,-4.920338528183146e-05,0.04626390289673809,3.638920807082567e-07,0.001368696626478299,0.0002803129233799054,0.0006847861227827322,9.716988534642256e-07,9.622047200585097e-07
