step,active_count,mean_residue
0,1000,1.0
1,1000,2.0
2,1000,3.0
3,1000,4.0
4,1000,5.0
5,1000,6.0
6,1000,7.0
7,1000,8.0
8,1000,9.0
9,1000,10.0
10,1000,11.0
11,1000,12.0
12,1000,13.0
13,1000,14.0
14,1000,15.0
15,1000,16.0
16,1000,17.0
17,1000,18.0
18,1000,19.0
19,1000,20.0
20,1000,21.0
21,1000,22.0
22,1000,23.0
23,1000,24.0
24,1000,25.0
25,1000,26.0
26,1000,27.0
27,1000,28.0
28,1000,29.0
29,1000,30.0
30,1000,31.0
31,1000,32.0
32,1000,33.0
33,1000,34.0
34,1000,35.0
35,1000,36.0
36,1000,37.0
37,1000,38.0
38,1000,39.0
39,1000,40.0
40,1000,41.0
41,1000,42.0
42,1000,43.0
43,1000,44.0
44,1000,45.0
45,1000,46.0
46,1000,47.0
47,1000,48.0
48,1000,49.0
49,1000,50.0
50,1000,51.0
51,965,52.0
52,936,53.0
53,923,54.0
54,910,55.0
55,899,56.0
56,880,57.0
57,872,58.0
58,857,59.0
59,836,60.0
60,825,61.0
61,812,62.0
62,804,63.0
63,793,64.0
64,783,65.0
65,769,66.0
66,760,67.0
67,745,68.0
68,735,69.0
69,724,70.0
70,718,71.0
71,711,72.0
72,700,73.0
73,691,74.0
74,677,75.0
75,664,76.0
76,655,77.0
77,645,78.0
78,638,79.0
79,628,80.0
80,618,81.0
81,606,82.0
82,594,83.0
83,587,84.0
84,570,85.0
85,561,86.0
86,551,87.0
87,545,88.0
88,535,89.0
89,521,90.0
90,512,91.0
91,498,92.0
92,494,93.0
93,483,94.0
94,477,95.0
95,470,96.0
96,466,97.0
97,464,98.0
98,458,99.0
99,440,100.0
100,433,101.0
101,429,102.0
102,423,103.0
103,413,104.0
104,406,105.0
105,404,106.0
106,398,107.0
107,392,108.0
108,385,109.0
109,376,110.0
110,368,111.0
111,360,112.0
112,356,113.0
113,352,114.0
114,349,115.0
115,342,116.0
116,335,117.0
117,332,118.0
118,322,119.0
119,317,120.0
120,310,121.0
121,307,122.0
122,302,123.0
123,298,124.0
124,295,125.0
125,286,126.0
126,282,127.0
127,275,128.0
128,267,129.0
129,264,130.0
130,261,131.0
131,260,132.0
132,257,133.0
133,253,134.0
134,241,135.0
135,238,136.0
136,233,137.0
137,230,138.0
138,228,139.0
139,225,140.0
140,222,141.0
141,217,142.0
142,211,143.0
143,208,144.0
144,204,145.0
145,202,146.0
146,196,147.0
147,193,148.0
148,191,149.0
149,189,150.0
150,186,151.0
151,179,152.0
152,177,153.0
153,175,154.0
154,169,155.0
155,166,156.0
156,165,157.0
157,164,158.0
158,162,159.0
159,161,160.0
160,155,161.0
161,154,162.0
162,152,163.0
163,149,164.0
164,147,165.0
165,144,166.0
166,141,167.0
167,137,168.0
168,136,169.0
169,135,170.0
170,132,171.0
171,131,172.0
172,128,173.0
173,128,174.0
174,127,175.0
175,125,176.0
176,123,177.0
177,120,178.0
178,117,179.0
179,116,180.0
180,113,181.0
181,109,182.0
182,107,183.0
183,105,184.0
184,104,185.0
185,102,186.0
186,102,187.0
187,102,188.0
188,100,189.0
189,99,190.0
190,99,191.0
191,97,192.0
192,93,193.0
193,92,194.0
194,92,195.0
195,91,196.0
196,89,197.0
197,88,198.0
198,88,199.0
199,87,200.0
