fluid_volume,mean_velocity,step
3767.0,0.003026280860100876,0
3800.0,2.4805941591463685,50
3800.0,4.690409182612984,100
3800.0,4.468127637578149,150
3800.0,2.5673826316967787,200
3800.0,3.0301255429482206,250
3800.0,3.385791623184099,300
3800.0,3.3607051234361522,350
3800.0,3.2759664008740406,400
3800.0,3.350931091605581,450
3800.0,2.7813035306792835,500
3800.0,,550
3800.0,,600
3800.0,,650
3800.0,,700
3800.0,,750
3800.0,,800
3800.0,,850
3800.0,,900
3800.0,,950
3800.0,,1000
3800.0,,1050
3800.0,,1100
3800.0,,1150
3800.0,,1200
3800.0,,1250
3800.0,,1300
3800.0,,1350
3800.0,,1400
3800.0,,1450
3800.0,,1500
3800.0,,1550
3800.0,,1600
3800.0,,1650
3800.0,,1700
3800.0,,1750
3800.0,,1800
3800.0,,1850
3800.0,,1900
3800.0,,1950
