label,step,mean_H,std_H,mean_q,mean_p,q_rms,p_rms
fp32,0,-0.89199,0.112989,0.000943434,-0.00261939,0.39933,0.250359
fp32,20,-0.89199,0.112989,0.000407652,-0.00272151,0.395287,0.25626
fp32,40,-0.89199,0.112989,-0.000138371,-0.00272156,0.383147,0.272937
fp32,60,-0.89199,0.112988,-0.000674211,-0.00262013,0.363954,0.296557
fp32,80,-0.891991,0.112988,-0.00117998,-0.00242194,0.339549,0.32271
fp32,100,-0.891991,0.112988,-0.00163711,-0.00213552,0.312701,0.347506
fp32,120,-0.891991,0.112988,-0.0020291,-0.00177271,0.2872,0.367908
fp32,140,-0.891991,0.112987,-0.00234208,-0.00134801,0.267677,0.381744
fp32,160,-0.891991,0.112987,-0.00256528,-0.000877801,0.258622,0.387663
fp32,180,-0.891991,0.112987,-0.00269134,-0.000379692,0.262469,0.385113
fp32,200,-0.891991,0.112987,-0.00271651,0.000128025,0.27813,0.374339
fp32,220,-0.891991,0.112988,-0.00264072,0.000626827,0.301687,0.356382
fp32,240,-0.891991,0.112988,-0.00246759,0.0010984,0.328382,0.333104
fp32,260,-0.891991,0.112988,-0.00220434,0.0015252,0.354034,0.307221
fp32,280,-0.89199,0.112989,-0.00186157,0.00189107,0.375477,0.282314
fp32,300,-0.89199,0.112989,-0.00145291,0.00218203,0.390531,0.262645
fp32,320,-0.89199,0.112989,-0.000994486,0.00238704,0.397872,0.252378
fp32,340,-0.89199,0.112989,-0.00050431,0.0024987,0.396921,0.254022
fp32,360,-0.89199,0.112989,-1.44037e-06,0.00251378,0.387792,0.267074
fp32,380,-0.89199,0.112989,0.000494847,0.00243345,0.371296,0.28833
fp32,400,-0.891991,0.112988,0.000965941,0.00226308,0.348985,0.313505
fp32,420,-0.891991,0.112988,0.00139468,0.00201158,0.323262,0.338573
fp32,440,-0.891991,0.112988,0.00176595,0.00169058,0.297482,0.36029
fp32,460,-0.891991,0.112987,0.00206717,0.00131344,0.275892,0.376266
fp32,480,-0.891991,0.112987,0.00228853,0.000894341,0.263008,0.384912
fp32,500,-0.891991,0.112987,0.00242308,0.000447842,0.262063,0.385414
fp32,520,-0.891991,0.112987,0.00246682,-1.12875e-05,0.273277,0.377727
fp32,540,-0.891991,0.112987,0.00241873,-0.000467796,0.293713,0.362587
fp32,560,-0.891991,0.112988,0.00228094,-0.000905677,0.318901,0.34154
fp32,580,-0.891991,0.112988,0.00205881,-0.00130833,0.344498,0.316971
fp32,600,-0.89199,0.112988,0.00176105,-0.00165931,0.367037,0.292123
fp32,620,-0.89199,0.112989,0.00139953,-0.00194356,0.384039,0.270976
fp32,640,-0.89199,0.112989,0.000988883,-0.00214878,0.393919,0.25769
fp32,660,-0.89199,0.112989,0.000545838,-0.00226656,0.395869,0.255322
fp32,680,-0.89199,0.112989,8.83383e-05,-0.0022931,0.389792,0.264356
fp32,700,-0.89199,0.112989,-0.000365394,-0.00222945,0.376276,0.282443
fp32,720,-0.891991,0.112989,-0.000797807,-0.00208117,0.35662,0.30567
fp32,740,-0.891991,0.112988,-0.00119284,-0.00185747,0.332899,0.330018
fp32,760,-0.891991,0.112988,-0.00153655,-0.00157001,0.308052,0.352111
fp32,780,-0.891991,0.112988,-0.00181746,-0.00123166,0.285859,0.369389
